iteration	num_topics	hidden_size	dropout	learning_rate	epochs	TU	Inverted_RBO	TC_umass	TC_cv	TC_cnpmi
0	50	200	0.1	0.001	40	0.828	0.6697	-6.0426	0.5488	0.05
0	50	200	0.1	0.002	40	0.86	0.6758	-6.7159	0.5071	0.0239
0	50	200	0.1	0.005	40	0.728	0.6709	-5.2712	0.5628	0.0597
0	50	200	0.3	0.001	40	0.82	0.6634	-9.3395	0.3953	-0.0714
0	50	200	0.3	0.002	40	0.796	0.6751	-7.7763	0.4566	-0.038
0	50	200	0.3	0.005	40	0.768	0.6589	-7.5344	0.4517	-0.0228
0	50	200	0.5	0.001	40	0.638	0.6779	-8.9543	0.4047	-0.0795
0	50	200	0.5	0.002	40	0.608	0.6511	-7.9485	0.4322	-0.0434
0	50	200	0.5	0.005	40	0.54	0.6663	-7.709	0.4488	-0.0305
0	100	200	0.1	0.001	40	0.385	0.6646	-4.9304	0.5888	0.076
0	100	200	0.1	0.002	40	0.403	0.6738	-5.1018	0.5768	0.0635
0	100	200	0.1	0.005	40	0.348	0.6736	-5.0043	0.5754	0.0711
0	100	200	0.3	0.001	40	0.529	0.6734	-7.7869	0.428	-0.0363
0	100	200	0.3	0.002	40	0.555	0.672	-7.18	0.4601	-0.0072
0	100	200	0.3	0.005	40	0.57	0.6591	-7.5933	0.4505	-0.0179
0	100	200	0.5	0.001	40	0.446	0.6558	-8.6139	0.3981	-0.0643
0	100	200	0.5	0.002	40	0.398	0.6591	-7.617	0.4438	-0.0241
0	100	200	0.5	0.005	40	0.397	0.6738	-7.6088	0.4406	-0.0316
