ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	problem mouse drive boot disk switch fix floppy fine instal	2.6	2.4	3.0	0		3	"[(""'problem'"", ""'fix'""), (""'drive'"", ""'disk'""), (""'floppy'"", ""'disk'"")]"	0	
1	problem boot drive disk apple windows memory mouse help mac	2.2	1.8	2.8	0		7	"[(""'apple'"", ""'apple'""), (""'disk'"", ""'disk'""), (""'drive'"", ""'drive'""), (""'memory'"", ""'memory'""), (""'mouse'"", ""'mouse'""), (""'problem'"", ""'problem'""), (""'windows'"", ""'windows'"")]"	0	
2	svhs zach jaws itor toasterhead kelseyyrki montage orientiation cdq torkel	2.2	1.6	2.4	2	'cdq' 'torkel'	5	"[(""'svhs'"", ""'zach'""), (""'jaws'"", ""'itor'""), (""'toasterhead'"", ""'kelseyyrki'""), (""'montage'"", ""'orientiation'""), (""'cdq'"", ""'torkel'"")]"	0	
3	version software graphic available mail public windows user machine gnu	2.0	2.0	3.0	1	'gnu'	2	"[(""'version'"", ""'software'""), (""'gnu'"", ""'windows'"")]"	0	
4	clipper government announcement white house libertarian chip agency federal citizen	2.4	2.0	3.0	1	'chip'	6	"[(""'house'"", ""'house'""), (""'government'"", ""'government'""), (""'agency'"", ""'agency'""), (""'chip'"", ""'chip'""), (""'white'"", ""'white'""), (""'citizen'"", ""'citizen'"")]"	0	
5	hello cube password sphere geometry systems newsreader moselem unresolvable differet	2.2	2.2	2.4	2	'moselem' 'differet'	2	"[(""'cube'"", ""'systems'""), (""'geometry'"", ""'sphere'"")]"	1	'differet'
6	israel peace terrorism fbi favor waste kill reporter sexual jewish	2.2	2.2	2.4	1	'waste'	1	"[(""'israel'"", ""'jewish'"")]"	0	
7	drug right usage inalienable people amendment free study bear psychology	2.4	2.2	2.8	1	'bear'	7	"[(""'drug'"", ""'drug'""), (""'right'"", ""'right'""), (""'usage'"", ""'usage'""), (""'inalienable'"", ""'inalienable'""), (""'people'"", ""'people'""), (""'amendment'"", ""'amendment'""), (""'free'"", ""'free'"")]"	0	
8	kent daily amusing heart promise atheists dating jon ignorance sink	2.6	1.8	2.6	2	'atheists' 'sink'	7	"[(""'atheists'"", ""'atheists'""), (""'dating'"", ""'dating'""), (""'heart'"", ""'heart'""), (""'promise'"", ""'promise'""), (""'sink'"", ""'sink'""), (""'amusing'"", ""'amusing'""), (""'kent'"", ""'kent'"")]"	0	
9	clipper chip key phone cheap algorithm secure voice acceptance serial	2.4	2.0	3.0	0		3	"[(""'chip'"", ""'chip'""), (""'secure'"", ""'secure'""), (""'serial'"", ""'serial'"")]"	0	
10	announcement white lobby april washington abc bush prize museum schedule	2.6	1.8	3.0	2	'abc' 'bush'	3	"[(""'announcement'"", ""'schedule'""), (""'white'"", ""'bush'""), (""'lobby'"", ""'museum'"")]"	0	
11	problem window windows disk file run screen error mouse fine	2.6	2.4	2.8	1	'fine'	3	"[(""'problem'"", ""'error'""), (""'windows'"", ""'screen'""), (""'disk'"", ""'fine'"")]"	0	
12	thank year work people lot need think program thing want	2.0	1.6	3.0	0		5	"[(""'year'"", ""'time'""), (""'think'"", ""'consider'""), (""'people'"", ""'individuals'""), (""'lot'"", ""'many'""), (""'thing'"", ""'object'"")]"	0	
13	price offer pay sale sell speaker stereo deck buy receiver	3.0	2.6	3.0	3	'speaker' 'stereo' 'deck'	3	"[(""'price'"", ""'pay'""), (""'offer'"", ""'sale'""), (""'sell'"", ""'buy'"")]"	0	
14	graphic thank graphics mail format advance appreciate email internet site	2.2	2.4	2.8	1	'thank'	3	"[(""'graphic'"", ""'graphics'""), (""'email'"", ""'mail'""), (""'appreciate'"", ""'thank'"")]"	0	
15	sustain microcontroller heavily zach trumpet asked kelseyyrki torkel jaws newusers	2.0	2.2	2.6	2	'torkel' 'jaws'	5	"[(""'sustain'"", ""'sustain'""), (""'microcontroller'"", ""'microcontroller'""), (""'kelseyyrki'"", ""'kelseyyrki'""), (""'torkel'"", ""'torkel'""), (""'jaws'"", ""'jaws'"")]"	0	
16	like want know think time people window look ask problem	3.0	2.4	3.0	0		3	"[(""'like'"", ""'want'""), (""'know'"", ""'think'""), (""'people'"", ""'problem'"")]"	0	
17	musical zach enjoyable kelseyyrki iteration ulman torkel newusers explicable kck	2.2	2.0	2.0	1	'kck'	1	"[(""'musical'"", ""'kck'"")]"	0	
18	life god bible jesus christ love sin heaven experience feeling	2.6	2.2	3.0	0		7	"[(""'love'"", ""'love'""), (""'sin'"", ""'sin'""), (""'heaven'"", ""'heaven'""), (""'jesus'"", ""'jesus'""), (""'god'"", ""'god'""), (""'experience'"", ""'experience'""), (""'feeling'"", ""'feeling'"")]"	0	
19	team game player play hit year fan score compare bad	2.6	1.8	3.0	2	'compare' 'bad'	6	"[(""'team'"", ""'team'""), (""'game'"", ""'game'""), (""'player'"", ""'player'""), (""'play'"", ""'play'""), (""'score'"", ""'score'""), (""'fan'"", ""'fan'"")]"	0	
20	law jews jewish citizenship prevail nazis book great case german	2.8	2.0	2.8	1	'great'	2	"[(""'jews'"", ""'jewish'""), (""'german'"", ""'german'"")]"	0	
