ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	awesome fun mom promise band sure respect urge happen gossip	2.0	2.0	3.0	2	'band' 'gossip'	2	"[(""'mom'"", ""'sure'""), (""'band'"", ""'sure'"")]"	0	
1	tweet right book daily live smoke plan tomorrow week supper	2.0	2.0	3.0	0		2	"[(""'tweet'"", ""'live'""), (""'book'"", ""'daily'"")]"	0	
2	fatnesstofitness chase florida distance project lame blog research supplement blake	2.0	2.0	2.4	0		1	"[(""'blake'"", ""'lame'"")]"	0	
3	learn write wait maybe play remember hour everyday exercise tweet	2.0	2.0	3.0	2	'hour' 'maybe'	2	"[(""'learn'"", ""'remember'""), (""'everyday'"", ""'play'"")]"	0	
4	look cursing past apology mentally alcohol share blog involve ultron	2.0	2.0	3.0	1	'ultron'	1	"[(""'ultron'"", ""'mentally'"")]"	1	'mentally' - While a valid word
5	win look sure care entrepreneur christmas newyearseve fuck gift self	2.0	2.0	2.0	1	'fuck'	1	"[(""'self'"", ""'entrepreneur'"")]"	0	
6	pant mentally instagram weather typo simple ass hit selfimprovement follow	2.0	2.0	2.0	3	'mentally' 'weather' 'selfimprovement'	2	"[(""'instagram'"", ""'follow'""), (""'selfimprovement'"", ""'mentally'"")]"	2	'ass' 'hit'
7	quit write step shape ignore follow post wear hurt maybe	2.0	2.0	3.0	1	'maybe'	2	"[(""'write'"", ""'post'""), (""'step'"", ""'follow'"")]"	0	
8	smoke goal tweet drink read right club supper cigarette stay	2.0	2.0	3.0	1	'goal'	2	"[(""'smoke'"", ""'cigarette'""), (""'goal'"", ""'right'"")]"	0	
9	forreal lowcarb value lowcal distance experience economic tagof hash shed	2.0	2.0	2.0	0		2	"[(""'lowcarb'"", ""'lowcal'""), (""'hash'"", ""'tagof'"")]"	1	in this context as a topic word
10	unstoppable half screenwriting focus resume jack pretty enjoy body jewelry	2.0	2.0	3.0	2	'jack' 'jewelry'	1	"[(""'resume'"", ""'body'"")]"	0	
11	glass forreal bowl team approval bite growth little awesome girl	2.0	2.0	3.0	4	'forreal' 'team' 'approval' 'girl'	2	"[(""'bowl'"", ""'glass'""), (""'little'"", ""'girl'"")]"	0	
12	little awesome chance forward future past false win meet grow	2.0	2.0	3.0	2	'past' 'false'	2	"[(""'future'"", ""'forward'""), (""'win'"", ""'chance'"")]"	0	
13	right cigarette club supper smoke gym fitness read fit stay	2.0	2.0	3.0	3	'supper' 'read' 'stay'	2	"[(""'right'"", ""'fit'""), (""'cigarette'"", ""'smoke'"")]"	0	
14	come use read wait book quit eve month family live	2.0	2.0	3.0	0		2	"[(""'book'"", ""'read'""), (""'family'"", ""'live'"")]"	0	
15	roll pack bucketlist december ready school word follow invest anybody	2.0	2.0	3.0	2	'bucketlist' 'anybody'	2	"[(""'roll'"", ""'bucketlist'""), (""'school'"", ""'word'"")]"	0	
16	fatnesstofitness lame windbreaker outdoors kindle distance alllllll boomshakalaka amen supplement	2.0	2.0	2.0	3	'alllllll' 'boomshakalaka' 'amen'	2	"[(""'fatnesstofitness'"", ""'supplement'""), (""'windbreaker'"", ""'outdoors'"")]"	3	'alllllll' 'boomshakalaka' 'amen'
17	son resolve grow meet pant win way great future workhard	2.0	2.0	3.0	1	'pant'	2	"[(""'son'"", ""'grow'""), (""'workhard'"", ""'win'"")]"	0	
18	gym tomorrow friend lose weight workout cigarette smoke read book	2.0	2.0	3.0	2	'read' 'book'	2	"[(""'gym'"", ""'workout'""), (""'cigarette'"", ""'smoke'"")]"	2	'cigarette' 'smoke'
19	hard run nap write family share hopefully wait personal music	2.0	2.0	3.0	2	hopefully wait	2	"[(""'hard'"", ""'wait'""), (""'personal'"", ""'family'"")]"	0	
20	use drink instead learn stay know family post continue coffee	2.0	2.0	3.0	2	family coffee	1	"[(""'coffee'"", ""'drink'"")]"	1	'instead'**: While a valid word
21	lame fatnesstofitness windbreaker cary forreal segment laziness speak bake bedroom	2.0	2.0	2.0	1	'cary'	2	"[(""'fatnesstofitness'"", ""'laziness'""), (""'windbreaker'"", ""'bedroom'"")]"	0	
22	fit game workout spend kick lose watch gym look today	2.0	2.0	3.0	1	'today'	2	"[(""'workout'"", ""'gym'""), (""'fit'"", ""'look'"")]"	0	
23	hard way body lol finish smart matter drink addiction cross	2.0	2.0	2.0	2	'lol' 'drink'	2	"[(""'hard'"", ""'smart'""), (""'drink'"", ""'addiction'"")]"	0	
