	model	number of topics	topic id	topic words	text id	paper id	text	labels	llm_model	llm_model	under_coverage_example	over_coverage_example	under_coverage	over_coverage
0	lda	50	0	concentration control nutrient solution weed germination herbicide nacl spray foliar	138593	40549	the result be as follow :	equations | water conservation | soil aggregates | air drying | alkaline soils | soil structure | maize | soil organic matter | particle size | straw | irrigation | organic matter	llama-large	llama-large	"[""'result' ]"", ']', ""'result' ]"", ""'result' ]"", ""'result' ]""]"	[']', ']', ']', ']', ']']	1.0	0.0
1	lda	50	0	concentration control nutrient solution weed germination herbicide nacl spray foliar	287062	47616	experiment in control condition include treatment combination of experimental factor , with two intensity of sand burial , rhizobial inoculation and two type of NaCl treatment ( soil irrigation and foliar spray ) .	Anthyllis | biocenosis | biocoenosis | biomass | botany | chlorophylls | enzyme activity | irrigation | peroxidases | petioles | physiological response | salinity | sand | soil | symbiosis	llama-large	llama-large	"[""'experiment', 'rhizobial inoculation', 'sand burial', 'intensity', 'soil irrigation', 'treatment', 'combination"", ""'experiment', 'combination', 'treatment', 'intensity', 'burial', 'rhizobial', 'inoculation', '"", ""'burial', 'inoculation', 'irrigation', 'rhizobial', 'treatment', 'experiment' ]"", ""'experiment', 'combination', 'intensity', 'burial', 'rhizobial', 'inoculation', 'irrigation',"", ""'experiment', 'treatment', 'combination', 'factor', 'intensity', 'sand', 'burial', 'rhizobial',""]"	"[""'concentration', 'nutrient', 'solution', 'weed', 'germination', 'herbicide' ]"", ""'concentration', 'herbicide', 'nutrient', 'solution', 'weed' ]"", ""'concentration', 'nutrient', 'solution', 'weed', 'germination', 'herbicide' ]"", ""'concentration', 'nutrient', 'solution', 'weed', 'germination', 'herbicide' ]"", ""'concentration', 'nutrient', 'solution', 'weed', 'germination', 'herbicide' ]""]"	7.6	5.8
2	lda	50	0	concentration control nutrient solution weed germination herbicide nacl spray foliar	106831	12509	seepage loss from these unlined channel can be significantly alter relative to untreated control by manipulate the sediment particle size and concentration and pam concentration of irrigation water inflow .	irrigation canals | soil amendments | polyacrylamide | drainage water | clay | irrigation water	llama-large	llama-large	"[""'sediment', 'particle size', 'irrigation', 'water inflow', 'seepage', 'loss', 'channel', '"", ""'sediment', 'particle', 'size', 'seepage', 'loss', 'channel', 'irrigation', 'water', '"", ""'sediment', 'particle', 'size', 'seepage', 'loss', 'irrigation', 'water', 'inflow',"", ""'loss', 'sediment', 'particle', 'size', 'manipulate', 'seepage', 'irrigation', 'water"", ""'seepage', 'loss', 'sediment', 'particle', 'size', 'irrigation', 'water', 'inflow',""]"	"[""'nutrient', 'solution', 'weed', 'germination', 'herbicide', 'nacl', 'spray', 'foliar"", ""'nutrient', 'solution', 'weed', 'germination', 'herbicide', 'nacl', 'spray', 'foliar"", ""'nutrient', 'solution', 'weed', 'germination', 'herbicide', 'nacl', 'spray', 'foliar"", ""'nutrient', 'solution', 'weed', 'germination', 'herbicide', 'nacl', 'spray', 'foliar"", ""'nutrient', 'solution', 'weed', 'germination', 'herbicide', 'nacl', 'spray', 'foliar""]"	8.6	8.0
3	lda	50	0	concentration control nutrient solution weed germination herbicide nacl spray foliar	106406	31638	reduction in hydraulic conductivity from the control be determine as both observe and predict datum .	irrigation systems | models | planning | hydraulic conductivity | dispersions | sodium | swelling | water quality | electrolytes | guidelines | irrigation water	llama-large	llama-large	"[""'datum', 'hydraulic conductivity', 'observe', 'predict', 'reduction' ]"", ""'datum', 'hydraulic conductivity', 'observe', 'predict', 'reduction' ]"", ""'datum', 'hydraulic conductivity', 'reduction', 'observe', 'predict' ]"", ""'hydraulic', 'conductivity', 'datum', 'predict', 'observe', 'reduction' ]"", ""'hydraulic', 'conductivity', 'datum', 'reduction', 'observe', 'predict' ]""]"	"[""'weed', 'germination', 'herbicide', 'foliar', 'spray' ]"", ""'weed', 'foliar', 'germination', 'herbicide', 'spray', 'nutrient' ]"", ""'germination', 'herbicide', 'nacl', 'spray', 'foliar', 'nutrient', 'weed' ]"", ""'weed', 'germination', 'herbicide', 'spray', 'foliar' ]"", ""'weed', 'foliar', 'germination', 'herbicide', 'spray' ]""]"	5.4	5.6
4	lda	50	0	concentration control nutrient solution weed germination herbicide nacl spray foliar	20109	30066	result show that seed germination be not negatively affect by Al , but the germination rate decrease in both cultivar .	aluminium | roots | cultivars | irrigation water | proline | germination | vigour | vigor | seeds | Lactuca sativa | municipal wastewater | seed germination | aluminum | shoots | toxicity | seedlings | crop yield | irrigation rates | acid soils	llama-large	llama-large	"[""'Al', 'cultivar' ]"", ""'Al', 'rate', 'cultivar' ]"", ""'Al' , 'cultivar' ]"", ""'Al', 'seed', 'rate', 'cultivar' ]"", ""'Al', 'seed', 'rate', 'cultivar' ]""]"	"[""'concentration', 'control', 'nutrient', 'solution', 'weed', 'herbicide', 'nacl', 'spray',"", ""'concentration', 'control', 'nutrient', 'solution', 'weed', 'herbicide', 'nacl', 'spray',"", ""'concentration', 'control', 'nutrient', 'solution', 'weed', 'herbicide', 'nacl', 'spray',"", ""'control', 'herbicide', 'nacl', 'spray', 'foliar', 'concentration', 'nutrient', 'solution"", ""'concentration', 'control', 'herbicide', 'nacl', 'spray', 'foliar', 'weed' ]""]"	3.0	8.4
5	lda	50	1	area source variability runoff district sediment cultivate expansion cropland width	438338	41845	for this purpose , the target area be identify after the development of a land - use map for the basin .	irrigation systems | rapeseed | drought | risk | cost benefit analysis | ecosystems | lakes | land use | environment | soybeans | basins | watersheds | Iran (Islamic Republic of) | Carthamus tinctorius	llama-large	llama-large	"[""'development', 'land-use', 'map', 'basin', 'purpose' ]"", ""'land', 'use', 'map', 'basin', 'purpose', 'development', 'target' ]"", ""'land', 'use', 'map', 'basin', 'development', 'identify', 'target', 'purpose' ]"", ""'development', 'basin', 'land', 'map', 'identify', 'purpose' ]"", ""'land-use', 'map', 'basin', 'development', 'identify', 'target', 'purpose' ]""]"	"[""'variability', 'runoff', 'sediment', 'cultivate', 'expansion', 'cropland', 'width', 'source"", ""'source', 'variability', 'runoff', 'sediment', 'cultivate', 'expansion', 'cropland', 'width"", ""'variability', 'runoff', 'source', 'sediment', 'cultivate', 'expansion', 'cropland', 'width"", ""'source', 'variability', 'runoff', 'sediment', 'cultivate', 'expansion', 'cropland', 'width"", ""'source', 'variability', 'runoff', 'sediment', 'cultivate', 'expansion', 'cropland', 'width""]"	6.6	8.0
6	lda	50	1	area source variability runoff district sediment cultivate expansion cropland width	226728	29297	it be suggest that the chemical component of sediment and groundwater be mainly originate from source rock and seawater intrusion , with the minor impact of irrigation and industry .	iron | multivariate analysis | silicon | manganese | saltwater intrusion | strontium | irrigation | industry | neural networks | principal component analysis | calcium | sodium | aluminum | chlorides | potassium | silicones | groundwater | magnesium | watersheds	llama-large	llama-large	"[""'chemical', 'component', 'groundwater', 'seawater', 'intrusion', 'irrigation', 'industry' ]"", ""'chemical', 'component', 'groundwater', 'seawater', 'intrusion', 'irrigation', 'industry' ]"", ""'chemical', 'component', 'groundwater', 'seawater', 'intrusion', 'irrigation', 'industry' ]"", ""'chemical', 'component', 'groundwater', 'seawater', 'irrigation', 'industry' ]"", ""'chemical', 'groundwater', 'rock', 'seawater', 'irrigation', 'industry' ]""]"	"[""'area', 'variability', 'runoff', 'district', 'cultivate', 'expansion', 'cropland', 'width'"", ""'area', 'variability', 'runoff', 'district', 'cultivate', 'expansion', 'cropland', 'width'"", ""'area', 'variability', 'runoff', 'district', 'cultivate', 'expansion', 'cropland', 'width'"", ""'area', 'variability', 'runoff', 'district', 'cultivate', 'expansion', 'cropland', 'width'"", ""'area', 'variability', 'runoff', 'district', 'cultivate', 'expansion', 'cropland', 'width'""]"	6.6	8.0
7	lda	50	1	area source variability runoff district sediment cultivate expansion cropland width	150472	47234	the Villavicencio region ( Colombia ) be an equatorial area where rainfall ( near mm / year ) and temperature ( average ° c ) be high .	Colombia | agricultural land | arable soils | climatic factors | ecosystems | environmental assessment | heavy metals | irrigated soils | irrigation | leaching | organic matter | public health | rain | river water | rivers | soil properties | temperature | toxicity | trace elements | wastes | wastewater irrigation | water pollution	llama-large	llama-large	"[""'rainfall', 'temperature', 'region' ]"", ""'region', 'rainfall', 'temperature', 'Colombia' ]"", ""'rainfall', 'temperature', 'region' ]"", ""'region', 'rainfall', 'temperature' ]"", ""'region', 'rainfall', 'temperature', 'colombia' ]""]"	"[""'source', 'sediment', 'expansion', 'width' ]"", ""'source', 'variability', 'sediment', 'expansion', 'width' ]"", ""'expansion', 'sediment', 'source', 'width' ]"", ""'expansion', 'sediment', 'source', 'width' ]"", ""'source', 'variability', 'sediment', 'expansion', 'width' ]""]"	3.4	4.4
8	lda	50	1	area source variability runoff district sediment cultivate expansion cropland width	105437	26336	specie composition and spatio - temporal abundance of Anopheles ( Diptera : Culicidae ) larvae and their relationship with environmental variable be study in an endemic malarious area of northwestern Argentina , where Anopheles pseudopunctipennis be the main vector involve in malaria transmission .	environmental factors | Argentina (fish) | irrigation canals | risk | longitudinal studies | ponds | species diversity | Argentina | spring | habitats | larvae | water temperature | malaria | control methods | autumn | regression analysis	llama-large	llama-large	"[""'malaria', 'larvae', 'vector', 'transmission', 'environmental' ]"", ""'malaria', 'larvae', 'vector', 'transmission', 'environmental', 'abundance', 'spatio', 'temporal"", ""'larvae', 'malaria', 'vector', 'transmission', 'environmental' ]"", ""'malaria', 'vector', 'larvae', 'environmental', 'transmission' ]"", ""'Anopheles', 'Diptera', 'Culicidae', 'larvae', 'environmental', 'malaria', 'trans""]"	"[""'source', 'runoff', 'sediment', 'cultivate', 'expansion', 'cropland', 'width' ]"", ""'source', 'runoff', 'district', 'sediment', 'cultivate', 'expansion', 'cropland', 'width'"", ""'source', 'runoff', 'sediment', 'cultivate', 'expansion', 'cropland', 'width' ]"", ""'source', 'runoff', 'district', 'sediment', 'cultivate', 'expansion', 'cropland', 'width'"", ""'source', 'runoff', 'district', 'sediment', 'cultivate', 'expansion', 'cropland', 'width'""]"	6.0	7.6
9	lda	50	1	area source variability runoff district sediment cultivate expansion cropland width	170739	43036	in Europe , soybean still play a minor role and be cultivate mainly in the South and East .	rice | wheat | cotton | protein content | tofu | soybeans | soy protein | yield stability | proteins | cultivars | agronomy | irrigation | climate | temperature | Germany	llama-large	llama-large	"[""'Europe', 'South', 'East', 'role' ]"", ""'Europe', 'South', 'East', 'role' ]"", ""'role', 'Europe', 'South', 'East' ]"", ""'Europe', 'South', 'East', 'role' ]"", ""'Europe', 'South', 'East', 'role', 'play', 'minor' ]""]"	"[""'variability', 'runoff', 'sediment', 'expansion', 'cropland', 'width', 'source', 'area',"", ""'runoff', 'sediment', 'variability', 'source', 'expansion', 'cropland', 'width', 'area',"", ""'runoff', 'sediment', 'variability', 'source', 'expansion', 'width', 'area', 'cropland',"", ""'runoff', 'sediment', 'variability', 'width', 'expansion', 'source', 'area', 'district', 'cro"", ""'area', 'source', 'variability', 'runoff', 'district', 'sediment', 'expansion', 'cropland',""]"	4.4	9.0
