	F	I	tfidf	manual	H	H-tilde	H-tilde_std	N
!	0.017524903420612484	0.6652600733839531	2.888647499351548		9.263614848133553	9.928874921517506	0.017395695087681833	1184
#	0.00016281582569825786	-4.440892098500626e-16	6.014159600494562		3.4594316186372973	3.459431618637297	4.2146848510894035e-08	11
$	0.00028122733529699085	0.8215600249703576	8.54576960006127		3.4263674884732267	4.247927513443584	5.960464477539063e-08	19
&	0.0033599265848640487	0.13988937225622688	3.4205521510881813		7.6293903925677276	7.769279764823954	0.030072331569822017	227
'	0.0007696748123917645	0.680769230769231	6.97455190587541		5.0081320258334	5.688901256602631	0.017625291134543676	52
''	4.4404316099524875e-05	0.6666666666666669	11.57836153909948		0.9182958340544894	1.5849625007211563	0.0	3
's	0.0027382661594707006	0.03718593919971536	3.357304464916611		7.4516253118559685	7.488811251055684	0.01294989779010652	185
've	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
(	0.001110107902488122	0.0346666666666664	4.234515854943023		6.175485357162548	6.210152023829214	0.020827332469289098	75
)	0.0023534287532748182	0.45357546395757886	4.422218069455915		6.817323285350574	7.270898749308153	0.020090978610695514	159
,	0.01693284587261882	0.4281691698132377	2.5097128065800653		9.457835975682736	9.886005145495973	0.015502812244620192	1144
-	0.0033303237074643654	0.18461360767089374	3.4799439909334215		7.58104995576548	7.765663563436374	0.021222673682473502	225
--	0.00011841150959873299	-4.440892098500626e-16	6.332613331613096		3.0	2.9999999999999996	5.960464477539063e-08	8
---	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
---&gt;&gt	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
---fuck	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
-apologize	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
-better	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
-cp	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987		1.0	0.9999999999999999	1.0536712127723509e-08	2
-drop	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
-get	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
-johnathan	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
-learn	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
-ms	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
-only	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
-read	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
-son	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
.	0.044419117538224716	-0.06672251777896321	0.9669491938833498		10.95804314430365	10.891320626524687	0.012982224318065803	3001
..	0.0011545122185876468	0.05384615384615454	4.258349430146888		6.208479141939172	6.262325295785327	0.021299035545845266	78
...	0.004055594203756605	0.10918830294813286	3.1680909751520323		7.9118293457026665	8.0210176486508	0.023523376663582462	274
....	0.000828880567191131	0.053571428571428825	4.586888264755645		5.7359263506290326	5.789497779200461	0.01785714285704135	56
.....	0.00019241870309794111	0.15384615384615286	6.421077242130342		3.5465935642949384	3.7004397181410913	8.429369702178807e-08	13
......	5.9205754799366496e-05	-2.220446049250313e-16	7.025760512173042		2.0	1.9999999999999998	2.1073424255447017e-08	4
.......	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987		1.0	0.9999999999999999	1.0536712127723509e-08	2
.........	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
;	0.003981587010257397	0.15048103625259035	3.2856287105700135		7.853042706414752	8.003523742667342	0.015135719329021429	269
;)	8.880863219904975e-05	-4.440892098500626e-16	6.620295404064877		2.584962500721156	2.5849625007211556	4.2146848510894035e-08	6
;-)	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
;d	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
?	0.053285179319429846	1.6986424809936427	6.50878831457484		9.34985116916236	11.048493650156002	0.012130458220417252	3600
[	8.880863219904975e-05	-0.03333333333333366	6.620295404064877		2.584962500721156	2.5516291673878224	0.10000000000000782	6
\	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987		1.0	0.9999999999999999	1.0536712127723509e-08	2
]	8.880863219904975e-05	0.33333333333333304	8.163140353030599		2.2516291673878226	2.5849625007211556	4.2146848510894035e-08	6
a	0.01684403724041977	-0.008865154307772016	1.7465906232492752	1.0	9.88027352857931	9.871408374271539	0.019263359405889274	1138
aaron	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987		1.0	0.9999999999999999	1.0536712127723509e-08	2
ab	5.9205754799366496e-05	-2.220446049250313e-16	7.025760512173042		2.0	1.9999999999999998	2.1073424255447017e-08	4
abandon	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
abbey	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
abd	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
abide	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
able	0.0001776172643980995	0.0	5.927148223504932	1.0	3.584962500721156	3.584962500721156	0.0	12
about	0.002249818682375927	0.05131578947368354	3.6011642199489553	1.0	7.1558222502856905	7.207138039759374	0.018089114585708284	152
abouttime	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
above	4.4404316099524875e-05	2.220446049250313e-16	7.3134425846248226	1.0	1.584962500721156	1.5849625007211563	0.0	3
abraham	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
abroad	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
abs	4.4404316099524875e-05	2.220446049250313e-16	7.3134425846248226		1.584962500721156	1.5849625007211563	0.0	3
absolutely	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
abt	4.4404316099524875e-05	0.6666666666666669	11.57836153909948		0.9182958340544894	1.5849625007211563	0.0	3
accent	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
accept	0.00023682301919746598	0.24999999999999956	6.59771147848877		3.75	3.9999999999999996	4.2146848510894035e-08	16
acceptance	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
access	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987		1.0	0.9999999999999999	1.0536712127723509e-08	2
accident	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
accidentally	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
accomplish	0.00019241870309794111	-8.881784197001252e-16	5.847105515831395		3.700439718141092	3.7004397181410913	8.429369702178807e-08	13
accomplished	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
accord	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
account	0.00013321294829857463	4.440892098500626e-16	6.214830295956713		3.169925001442312	3.1699250014423126	0.0	9
accountable	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
achievable	7.400719349920812e-05	-4.440892098500626e-16	6.802616960858832		2.321928094887362	2.3219280948873617	4.2146848510894035e-08	5
achieve	0.0001776172643980995	0.0	5.927148223504932		3.584962500721156	3.584962500721156	0.0	12
achin	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
acknowledge	4.4404316099524875e-05	2.220446049250313e-16	7.3134425846248226		1.584962500721156	1.5849625007211563	0.0	3
aclever	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
acoustic	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
acquire	4.4404316099524875e-05	2.220446049250313e-16	7.3134425846248226		1.584962500721156	1.5849625007211563	0.0	3
across	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987	1.0	1.0	0.9999999999999999	1.0536712127723509e-08	2
