iteration	num_topics	hidden_size	dropout	learning_rate	epochs	TU	Inverted_RBO	TC_umass	TC_cv	TC_cnpmi
0	50	200	0.1	0.001	40	0.398	0.6762	-17.6202	0.4728	-0.4233
0	50	200	0.1	0.002	40	0.462	0.677	-17.7418	0.4792	-0.4069
0	50	200	0.1	0.005	40	0.484	0.6884	-17.8222	0.4691	-0.4068
0	50	200	0.3	0.001	40	0.338	0.6833	-18.3051	0.507	-0.453
0	50	200	0.3	0.002	40	0.436	0.6783	-17.7993	0.4793	-0.4117
0	50	200	0.3	0.005	40	0.558	0.6658	-18.9858	0.5176	-0.4526
0	50	200	0.5	0.001	40	0.34	0.6868	-18.6289	0.5162	-0.4656
0	50	200	0.5	0.002	40	0.428	0.6846	-18.9831	0.53	-0.475
0	50	200	0.5	0.005	40	0.374	0.6777	-17.0132	0.4658	-0.3884
0	100	200	0.1	0.001	40	0.305	0.6862	-19.3917	0.5441	-0.4751
0	100	200	0.1	0.002	40	0.507	0.6832	-19.3168	0.5145	-0.4298
0	100	200	0.1	0.005	40	0.549	0.6807	-19.4402	0.5069	-0.4238
0	100	200	0.3	0.001	40	0.371	0.6829	-19.3114	0.5398	-0.4669
0	100	200	0.3	0.002	40	0.369	0.682	-19.3552	0.5339	-0.4583
0	100	200	0.3	0.005	40	0.419	0.69	-18.7679	0.4977	-0.4213
0	100	200	0.5	0.001	40	0.268	0.6815	-19.0353	0.5317	-0.4698
0	100	200	0.5	0.002	40	0.326	0.6927	-19.3111	0.5388	-0.467
0	100	200	0.5	0.005	40	0.351	0.6846	-19.3944	0.5375	-0.4652
