ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	irrigation soil crop plant yield field growth irrigate root application	3.0	1.8	3.0	1	'application'	1	"[(""'irrigation'"", ""'irrigate'"")]"	0	
1	farmer agricultural farm policy analysis rural crop development adoption rmse	3.0	2.0	3.0	1	'rmse'	2	"[(""'farmer'"", ""'farm'""), (""'analysis'"", ""'rmse'"")]"	0	
2	rice paddy lowland cultivation yield emission farmer crop fertilizer flooding	3.0	2.0	3.0	0		1	"[(""'rice'"", ""'paddy'"")]"	0	
3	seed plant genotype cultivar height stem germination flowering harvest pine	3.0	2.0	3.0	1	'pine'	1	"[(""'seed'"", ""'germination'"")]"	0	
4	drought leaf photosynthetic chlorophyll antioxidant plant sap proline transpiration peroxidase	3.0	1.8	3.0	0		1	"[(""'chlorophyll'"", ""'photosynthetic'"")]"	0	
5	groundwater aquifer recharge hydrochemical basin region geochemical river alluvial irrigation	3.0	2.0	3.0	0		2	"[(""'aquifer'"", ""'basin'""), (""'hydrochemical'"", ""'geochemical'"")]"	0	
6	salinity saline nacl salinization tolerance soil sodium irrigation groundwater chloride	3.0	1.8	3.0	1	'tolerance'	2	"[(""'salinity'"", ""'salinization'""), (""'nacl'"", ""'sodium'"")]"	0	
7	herbicide pesticide pest insecticide aphid mosquito earthworm malaria spray larval	3.0	2.0	3.0	2	'earthworm' 'larval'	1	"[(""'herbicide'"", ""'pesticide'"")]"	0	
8	irrigation management efficiency deficit scheme crop policy yield agricultural requirement	3.0	2.2	3.0	1	'requirement'	1	"[(""'efficiency'"", ""'yield'"")]"	0	
9	nitrate nitrogen fertilizer nitrification ammonia nh₃ groundwater soil efficiency irrigation	3.0	1.8	3.0	2	'efficiency' 'irrigation'	2	"[(""'nitrate'"", ""'nitrogen'""), (""'ammonia'"", ""'nh₃'"")]"	0	
10	wastewater reuse sewage sludge contamination irrigate pollutant irrigation contaminate disposal	3.0	1.8	3.0	0		3	"[(""'wastewater'"", ""'sewage'""), (""'contamination'"", ""'contaminate'""), (""'irrigate'"", ""'irrigation'"")]"	0	
11	microbial coli bacteria antibiotic salmonella pathogen rhizosphere coliform lettuce wastewater	3.0	1.8	3.0	2	'lettuce' 'wastewater'	1	"[(""'coli'"", ""'coliform'"")]"	0	
12	wheat grain yield barley spike genotype spring cultivar irrigation grow	3.0	2.2	3.0	2	'spring' 'irrigation'	1	"[(""'wheat'"", ""'grain'"")]"	0	
13	temperature climate precipitation weather meteorological climatic annual humidity forecast region	3.0	2.0	3.0	3	'annual' 'forecast' 'region'	2	"[(""'temperature'"", ""'climatic'""), (""'weather'"", ""'meteorological'"")]"	0	
14	evapotranspiration evaporation estimate crop penman method irrigation precipitation requirement weather	3.0	1.8	3.0	2	'estimate' 'method'	1	"[(""'evapotranspiration'"", ""'evaporation'"")]"	0	
15	fruit orchard harvest yield acidity pear ripen irrigation vegetative brix	3.0	2.0	3.0	1	'vegetative'	1	"[(""'yield'"", ""'harvest'"")]"	0	
16	cotton lint boll seed production irrigation fibre crop cultivar planting	3.0	1.6	3.0	2	'production' 'irrigation'	2	"[(""'cotton'"", ""'fibre'""), (""'cotton'"", ""'crop'"")]"	0	
17	maize corn yield wheat crop irrigation growth drought year nebraska	3.0	1.8	3.0	2	'year' 'nebraska'	1	"[(""'maize'"", ""'corn'"")]"	0	
18	cadmium wastewater copper contamination pollution soil zinc sewage metalloid sediment	3.0	2.0	3.0	0		1	"[(""'wastewater'"", ""'sewage'"")]"	0	
19	tillage tiller straw tillering plow chisel soil crop harrow maize	3.0	1.8	3.0	1	'maize'	2	"[(""'tillage'"", ""'tiller'""), (""'tillage'"", ""'tillering'"")]"	0	
20	policy management allocation demand development agricultural stakeholder governance region reform	3.0	2.0	3.0	2	'region' 'reform'	1	"[(""'demand'"", ""'demand'"")]"	0	
21	turfgrass bermudagrass ryegrass bentgrass bluegrass perennial wheatgrass bromegrass pasture cultivar	3.0	2.0	3.0	1	'cultivar'	3	"[(""'ryegrass'"", ""'turfgrass'""), (""'bromegrass'"", ""'turgrass'""), (""'wheatgrass'"", ""'turfgrass'"")]"	0	
22	soil depth sample topsoil texture horizon surface land variability subsoil	3.0	2.0	3.0	2	'land' 'variability'	2	"[(""'soil'"", ""'topsoil'""), (""'soil'"", ""'subsoil'"")]"	0	
23	grape vineyard berry vine table chardonnay tannin fruit climate harvest	3.0	2.0	3.0	0		1	"[(""'grape'"", ""'berry'"")]"	0	
24	river reservoir runoff catchment streamflow hydrological downstream watershed flood tributary	3.0	2.0	3.0	0		3	"[(""'reservoir'"", ""'watershed'""), (""'streamflow'"", ""'runoff'""), (""'catchment'"", ""'watershed'"")]"	0	
25	potato tuber russet yield cultivar irrigation crop planting fertilizer kufri	3.0	2.0	3.0	1	'yield'	2	"[(""'tuber'"", ""'potato'""), (""'cultivar'"", ""'kufri'"")]"	0	
26	canopy vegetation ndvi reflectance uav infrared cwsi camera aerial resolution	3.0	2.2	3.0	2	'resolution' 'camera'	1	"[(""'reflectance'"", ""'ndvi'"")]"	0	
27	sir upland map rainfed ecosystem irrigated land rice area water	3.0	2.0	3.0	1	'map'	1	"[(""'rainfed'"", ""'irrigated'"")]"	0	
28	moisture sensor soil measurement zone substrate dielectric calibration surface wireless	3.0	2.0	3.0	1	'wireless'	1	"[(""'measurement'"", ""'sensor'"")]"	0	
29	arid region desert climate desertification agricultural zone ecosystem landscape adaptation	3.0	2.0	3.0	1	'adaptation'	1	"[(""'desert'"", ""'arid'"")]"	0	
30	pasture dairy grazing sheep livestock cattle beef feeding farm herd	3.0	2.0	3.0	1	'feeding'	2	"[(""'sheep'"", ""'livestock'""), (""'cattle'"", ""'livestock'"")]"	0	
31	mulch mulching straw biodegradable polyethylene mulched irrigation soil maize crop	3.0	1.6	3.0	0		2	"[(""'mulch'"", ""'mulching'""), (""'mulch'"", ""'mulched'"")]"	0	
32	olive oil europaea orchard fruit cultivar wastewater barnea irrigation phenolic	3.0	1.8	2.6	2	'wastewater' 'phenolic'	6	"[(""'olive'"", ""'olive'""), (""'oil'"", ""'oil'""), (""'europaea'"", ""'europaea'""), (""'orchard'"", ""'orchard'""), (""'fruit'"", ""'fruit'""), (""'cultivar'"", ""'cult"")]"	2	'europaea' 'barnea'
33	drought vulnerability agricultural climate meteorological spi region hydrological rainfall crop	3.0	2.2	3.0	1	'spi'	1	"[(""'meteorological'"", ""'hydrological'"")]"	0	
34	tomato yield irrigation cucumis plant fertigation hydroponic crop nitrogen fertilizer	3.0	1.8	3.0	1	'cucumis'	2	"[(""'cucumis'"", ""'plant'""), (""'fertilizer'"", ""'nitrogen'"")]"	0	
35	phytophthora fungicide fusarium pathogen pythium blight fungus fungal rhizoctonia sclerotiorum	3.0	2.0	3.0	0		5	"[(""'fungus'"", ""'fungal'""), (""'pathogen'"", ""'pythium'""), (""'pathogen'"", ""'fusarium'""), (""'pathogen'"", ""'rhizoctonia'""), (""'pathogen'"", ""'sclerotiorum'"")]"	0	
36	sodium adsorption hco₃ conductivity ratio carbonate permeability groundwater salinity calcium	2.8	2.0	3.0	1	'permeability'	1	"[(""'hco₃'"", ""'carbonate'"")]"	1	'hco₃'
37	fertilizer fertilization fertigation fertiliser application fertilize nutrient yield efficiency crop	3.0	2.0	3.0	3	'application' 'yield' 'efficiency'	1	"[(""'fertilizer'"", ""'fertiliser'"")]"	0	
38	leachate sorption adsorption soil desorption nutrient solution fertilizer solute capacity	3.0	2.0	3.0	2	'fertilizer' 'nutrient'	1	"[(""'adsorption'"", ""'sorption'"")]"	0	
39	sugarcane yield production officinarum crop cultivation jaggery plantation cultivar irrigation	3.0	2.2	3.0	2	'officinarum' 'jaggery'	1	"[(""'sugarcane'"", ""'cultivation'"")]"	1	'officinarum'
40	soybean glycine yield cultivar drought planting corn bean genotype crop	3.0	1.8	3.0	1	'corn'	2	"[(""'soybean'"", ""'bean'""), (""'corn'"", ""'crop'"")]"	0	
41	arsenic selenium groundwater selenite contamination iron soil toxicity inorganic food	2.6	2.0	3.0	1	'food'	1	"[(""'selenium'"", ""'selenite'"")]"	0	
42	manure fertilizer poultry organic compost feedlot soil nutrient cow farm	3.0	1.6	3.0	0		3	"[(""'fertilizer'"", ""'manure'""), (""'poultry'"", ""'feedlot'""), (""'compost'"", ""'manure'"")]"	0	
43	phosphorus phosphate nitrogen phosphorous fertilizer superphosphate nutrient soil alfalfa runoff	3.0	2.0	3.0	1	'runoff'	1	"[(""'phosphorus'"", ""'phosphorous'"")]"	1	'phosphorous'
44	sorghum grain forage biomass crop maize soybean wheat cultivar sudangrass	3.0	2.0	3.0	1	'sudangrass'	1	"[(""'grain'"", ""'crop'"")]"	0	
45	oil oleic seed linoleic palmitic tocopherol biodiesel lavender herbage peppermint	2.0	2.6	3.0	3	'lavender' 'herbage' 'peppermint'	3	"[(""'oleic'"", ""'linoleic'""), (""'lavender'"", ""'herbage'""), (""'peppermint'"", ""'herbage'"")]"	0	
46	wetland pond marsh ecosystem habitat landscape agricultural lake vegetation catchment	3.0	1.8	3.0	1	'agricultural'	1	"[(""'pond'"", ""'lake'"")]"	0	
47	clogging filter pressure particle underdrain microirrigation filtration dra dripper hydraulic	3.0	1.8	3.0	1	'dripper'	4	"[(""'clogging'"", ""'filtration'""), (""'filter'"", ""'filtration'""), (""'dripper'"", ""'microirrigation'""), (""'dra'"", ""'dripper'"")]"	1	'dra'
48	biochar soil increase straw nutrient organic compost wastewater biomass irrigation	3.0	2.2	3.0	2	'wastewater' 'irrigation'	2	"[(""'biochar'"", ""'compost'""), (""'straw'"", ""'biomass'"")]"	0	
49	clay sand silty soil texture thermic hyperthermic depth gravel slope	3.0	2.0	3.0	2	'slope' 'depth'	1	"[(""'thermic'"", ""'hyperthermic'"")]"	0	
50	alfalfa forage hay cultivar harvest salinity irrigation crop soil biomass	3.0	1.4	3.0	2	'salinity' 'irrigation'	2	"[(""'forage'"", ""'hay'""), (""'crop'"", ""'biomass'"")]"	0	
