ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	irrigation soil crop plant yield field growth irrigate root application	3.0	1.6	3.0	1	ˈæplɪˈkeɪʃən	2	"[(""'irrigation'"", ""'irrigate'""), (""'crop'"", ""'plant'"")]"	0	
1	farmer agricultural farm policy analysis rural crop development adoption rmse	3.0	1.0	3.0	1	rmse	2	"[(""'farmer'"", ""'agricultural'""), (""'farm'"", ""'agricultural'"")]"	0	
2	rice paddy lowland cultivation yield emission farmer crop fertilizer flooding	3.0	2.0	3.0	0		1	"[(""'rice'"", ""'paddy'"")]"	0	
3	seed plant genotype cultivar height stem germination flowering harvest pine	3.0	2.0	3.0	1	pine	1	"[(""'cultivar'"", ""'genotype'"")]"	0	
4	drought leaf photosynthetic chlorophyll antioxidant plant sap proline transpiration peroxidase	3.0	2.0	3.0	0		1	"[(""'plant'"", ""'leaf'"")]"	0	
5	groundwater aquifer recharge hydrochemical basin region geochemical river alluvial irrigation	3.0	2.0	3.0	1	river	1	"[(""'aquifer'"", ""'groundwater'"")]"	0	
6	salinity saline nacl salinization tolerance soil sodium irrigation groundwater chloride	3.0	1.0	3.0	0		3	"[(""'salinity'"", ""'saline'""), (""'sodium'"", ""'nacl'""), (""'salinization'"", ""'salinity'"")]"	0	
7	herbicide pesticide pest insecticide aphid mosquito earthworm malaria spray larval	3.0	1.6	3.0	2	ˈearthworm ˈmalaria	1	"[(""'pesticide'"", ""'insecticide'"")]"	0	
8	irrigation management efficiency deficit scheme crop policy yield agricultural requirement	3.0	2.0	3.0	1	ˈpolicy	1	"[(""'agricultural'"", ""'crop'"")]"	0	
9	nitrate nitrogen fertilizer nitrification ammonia nh₃ groundwater soil efficiency irrigation	3.0	1.0	3.0	2	'efficiency' 'irrigation'	1	"[(""'nh₃'"", ""'ammonia'"")]"	1	nh₃**: While a valid chemical formula
10	wastewater reuse sewage sludge contamination irrigate pollutant irrigation contaminate disposal	3.0	1.4	3.0	2	irrigate irrigation	2	"[(""'wastewater'"", ""'sewage'""), (""'irrigate'"", ""'irrigation'"")]"	0	
11	microbial coli bacteria antibiotic salmonella pathogen rhizosphere coliform lettuce wastewater	3.0	1.0	3.0	2	ˈlettuce ˈwastewater	1	"[(""'coli'"", ""'coliform'"")]"	0	
12	wheat grain yield barley spike genotype spring cultivar irrigation grow	3.0	1.6	3.0	0		2	"[(""'wheat'"", ""'grain'""), (""'grow'"", ""'cultivar'"")]"	0	
13	temperature climate precipitation weather meteorological climatic annual humidity forecast region	3.0	1.0	3.0	1	ˈregion	2	"[(""'climate'"", ""'climatic'""), (""'weather'"", ""'meteorological'"")]"	0	
14	evapotranspiration evaporation estimate crop penman method irrigation precipitation requirement weather	3.0	2.0	3.0	0		1	"[(""'evapotranspiration'"", ""'evaporation'"")]"	0	
