ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	level sub different regime method research irrigation recommend design test	2.2	2.0	3.0	2	'test' 'irrigation'	2	"[(""'research'"", ""'test'""), (""'design'"", ""'method'"")]"	1	'sub'
1	receive treatment control herbicide spray post pendimethalin hand pre treat	3.0	1.4	3.0	2	'hand' 'post'	2	"[(""'pre'"", ""'post'""), (""'treat'"", ""'treatment'"")]"	1	'pendimethalin'
2	state village respondent district province extension interview university training scheme	2.6	2.0	3.0	2	'university' 'interview'	2	"[(""'state'"", ""'province'""), (""'district'"", ""'village'"")]"	0	
3	scenario hydrological regional scale multi simulation different model series variable	3.0	1.8	3.0	2	'different' 'series'	2	"[(""'simulation'"", ""'model'""), (""'regional'"", ""'scale'"")]"	1	'hydrological'
4	profile saline moisture layer sandy soil texture clay sodic depth	3.0	2.0	3.0	1	'profile'	2	"[(""'sodic'"", ""'sandy'""), (""'clay'"", ""'soil'"")]"	1	'sodic'
5	cultivate rainfed rain feed cultivation region irrigate production expansion vegetable	3.0	1.0	3.0	2	'region' 'expansion'	2	"[(""'rain'"", ""'rainfed'""), (""'cultivate'"", ""'cultivation'"")]"	1	'rainfed'
6	phase vegetative stage early degree growth end reproductive flowering late	3.0	1.2	3.0	1	'degree'	2	"[(""'early'"", ""'late'""), (""'stage'"", ""'phase'"")]"	0	
7	water potential mpa stem deficit supply midday predawn capacity dawn	3.0	1.6	3.0	3	'midday' 'predawn' 'dawn'	0	[]	1	'mpa'
8	block row plastic space split apart design spacing plot bed	2.0	1.4	3.0	1	'design'	3	"[(""'space'"", ""'spacing'""), (""'row'"", ""'bed'""), (""'block'"", ""'plot'"")]"	1	'apart'
9	salt saline seedling salinity germination tolerance tolerant quinoa nacl rootstock	3.0	1.0	3.0	2	'quinoa' 'rootstock'	1	"[(""'salt'"", ""'nacl'"")]"	1	'nacl'
10	annual reduction runoff decline decrease loss increase storage percent year	3.0	1.0	3.0	2	'increase' 'storage'	7	"[(""'increase'"", ""'percent'""), (""'decline'"", ""'decrease'""), (""'decline'"", ""'reduction'""), (""'decline'"", ""'loss'""), (""'decrease'"", ""'loss'""), (""'decrease'"", ""'reduction'""), (""'loss'"", ""'reduction"")]"	1	'runoff'
11	fraction amendment organic biochar clay material manure matter sorption compost	3.0	1.8	3.0	1	'amendment'	1	"[(""'manure'"", ""'compost'"")]"	1	'biochar'
12	soil capacity moisture site depth irrigate plot low non field	3.0	1.8	3.0	2	'non' 'low'	1	"[(""'low'"", ""'non'"")]"	1	'non'
13	fresh weight decrease sugar shoot leave soluble solid increase length	2.0	2.0	3.0	3	'shoot' 'leave' 'length'	1	"[(""'increase'"", ""'decrease'"")]"	1	'shoot'
14	green source product waste industry material environment urban produce consumption	3.0	1.6	3.0	2	'consumption' 'produce'	1	"[(""'produce'"", ""'product'"")]"	1	None
15	correlate relationship difference correlation number lai height matter index leaf	2.0	1.2	3.0	3	'lai' 'matter' 'leaf'	1	"[(""'correlate'"", ""'correlation'"")]"	1	'lai'
16	drought recovery stress tolerance expression tolerant heat gene trait genotype	3.0	1.6	3.0	1	'expression'	1	"[(""'tolerance'"", ""'tolerant'"")]"	0	
17	local service scale ecosystem ecological relate community adaptation vulnerability landscape	3.0	1.6	3.0	2	'relate' 'vulnerability'	2	"[(""'ecosystem'"", ""'ecological'""), (""'community'"", ""'landscape'"")]"	1	'relate'
18	operation maintenance power optimal tank operate pump rainwater generation canal	3.0	1.8	3.0	2	'canal' 'tank'	1	"[(""'operate'"", ""'operation'"")]"	1	'canal'
19	shallow aquifer depletion suitability groundwater seawater origin rock isotopic recharge	3.0	2.0	3.0	3	'seawater' 'origin' 'rock'	0	[]	1	'isotopic'
20	high low produce solid level oil total value vegetable acid	2.0	2.0	3.0	2	'total' 'value'	2	"[(""'high'"", ""'level'""), (""'low'"", ""'level'"")]"	0	
21	uptake total biomass estimate nutrient nitrogen dry matter efficiency base	3.0	1.8	3.0	3	'total' 'base' 'dry'	1	"[(""'uptake'"", ""'estimate'"")]"	1	'uptake'
22	trend seasonal precipitation climatic pattern variability variation series vegetation cover	3.0	1.4	3.0	2	'series' 'cover'	1	"[(""'variability'"", ""'variation'"")]"	0	
23	output price net percent return income benefit input hectare gross	3.0	1.0	3.0	2	'hectare' 'input'	7	"[(""'input'"", ""'hectare'""), (""'output'"", ""'hectare'""), (""'gross'"", ""'hectare'""), (""'benefit'"", ""'return'""), (""'benefit'"", ""'income'""), (""'net'"", ""'percent'""), (""'price'"", ""'percent"")]"	1	'hectare'
24	soybean yield corn sorghum cotton grain component gap location planting	3.0	2.0	3.0	3	'gap' 'location' 'component'	6	"[(""'soybean'"", ""'corn'""), (""'soybean'"", ""'sorghum'""), (""'soybean'"", ""'cotton'""), (""'corn'"", ""'sorghum'""), (""'corn'"", ""'cotton'""), (""'sorghum'"", ""'cotton"")]"	1	'gap'
25	old mixed trial fine sand grass location green grow sandy	2.8	1.8	3.0	2	'location' 'trial'	1	"[(""'sand'"", ""'sandy'"")]"	2	'mixed' 'sandy'
26	regime different growth maize nitrogen uptake potato winter fertilization wheat	3.0	2.0	3.0	2	'different' 'winter'	3	"[(""'maize'"", ""'wheat'""), (""'potato'"", ""'maize'""), (""'maize'"", ""'potato'"")]"	1	'maize'
27	irrigation reduce leach source application fertilizer risk pesticide contamination drip	3.0	1.8	3.0	4	'reduce' 'risk' 'application' 'source'	2	"[(""'fertilizer'"", ""'pesticide'""), (""'irrigation'"", ""'drip'"")]"	1	'leach'
28	oxide emission methane ghg fertilization phosphorus ammonia greenhouse n₂o co₂	3.0	1.6	3.0	3	'fertilization' 'phosphorus' 'ammonia'	3	"[(""'co₂'"", ""'greenhouse'""), (""'n₂o'"", ""'ghg'""), (""'methane'"", ""'ghg'"")]"	1	'n₂o'
29	lowland upland cultivation variety rice aerobic hybrid seeded sri flood	3.0	1.8	3.0	2	'flood' 'aerobic'	0	[]	1	'sri'
30	plan action transfer local program stakeholder knowledge science problem management	3.0	2.0	3.0	2	'science' 'problem'	2	"[(""'plan'"", ""'program'""), (""'problem'"", ""'management'"")]"	0	
31	relative plant stress growth reduction uptake leaf biomass activity photosynthetic	3.0	2.0	3.0	3	'relative' 'reduction' 'activity'	0	[]	0	
32	exposure health risk human vegetable contaminate contamination cancer heavy safety	3.0	1.2	3.0	1	'vegetable'	1	"[(""'contaminate'"", ""'contamination'"")]"	1	'contaminate'
