ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	tell fuck promise follow dignity machine glass prostitution late stuff	1.0	3.0	2.0	4	'machine' 'glass' 'late' 'stuff'	2	"[(""'tell'"", ""'promise'""), (""'follow'"", ""'follow'"")]"	0	
1	diggin dosen't mandatory mcdonalds crash sec o'connell deodorant gal kinda	1.0	3.0	2.0	5	'dosen't' 'sec' 'deodorant' 'kinda' 'mandatory'	1	"[(""'o'connell'"", ""'o'connell'"")]"	3	'dosen't' 'o'connell' 'kinda'
2	sec write antother know guy bishop list tail tomorrow self	1.0	3.0	2.0	2	'antother' 'tail'	1	"[(""'write'"", ""'write'"")]"	1	'antother'
3	write hope holiday pre cause woman eve excuse maybe gogh	1.0	3.0	3.0	3	'pre' 'excuse' 'gogh'	1	"[(""'eve'"", ""'holiday'"")]"	3	'pre' 'eve' 'gogh'
4	post book pizza appreciate sub vlog buy suck game number	1.0	3.0	3.0	2	'pizza' 'suck'	3	"[(""'post'"", ""'vlog'""), (""'buy'"", ""'book'""), (""'game'"", ""'number'"")]"	0	
5	thank hoe base hot hispanic hater shine pierce accept stay	1.0	3.0	3.0	3	'hoe' 'pierce' 'hater'	2	"[(""'thank'"", ""'accept'""), (""'stay'"", ""'base'"")]"	2	'hoe' 'hater'
6	quit eve hard expand tweet guy game quote destroy workout	1.0	3.0	3.0	0		1	"[(""'quote'"", ""'quote'"")]"	0	
7	healthy boyfriend eve past thank exercise offer pic exactly ppl	1.0	3.0	3.0	6	'boyfriend' 'eve' 'past' 'thank' 'pic' 'ppl'	1	"[(""'pic'"", ""'ppl'"")]"	1	'ppl'
8	justin stick grass consideration create smash loosen theirs nomeat folk	1.0	3.0	3.0	6	'consideration' 'create' 'loosen' 'theirs' 'nomeat' 'folk'	0	[]	1	'nomeat'
9	close blake lively progress difference support traditional realistic home pizza	1.0	3.0	3.0	3	'blake' 'lively' 'pizza'	7	"[(""'close'"", ""'close'""), (""'blake'"", ""'blake'""), (""'lively'"", ""'lively'""), (""'progress'"", ""'progress'""), (""'difference'"", ""'difference'""), (""'support'"", ""'support'""), (""'traditional'"", ""'traditional'"")]"	0	
10	fun share set goal eve month literally idgaf sleepy tour	1.0	3.0	3.0	3	'idgaf' 'literally' 'sleepy'	1	"[(""'idgaf'"", ""'idgaf'"")]"	1	'idgaf'
11	supper smoke club hope cigarette quit judge suck newyear blog	2.0	2.2	3.0	3	'judge' 'newyear' 'blog'	1	"[(""'smoke'"", ""'cigarette'"")]"	0	
12	eve resolve quit gregory travel publish end bad peck craigslist	1.0	3.0	3.0	3	'gregory' 'peck' 'craigslist'	1	"[(""'end'"", ""'end'"")]"	0	
13	actually workout joke fit come chastity market learn deli bring	1.0	3.0	3.0	3	'chastity' 'market' 'deli'	1	"[(""'fit'"", ""'workout'"")]"	0	
14	gym game school minute tell tbh book hold past hate	1.0	3.0	3.0	5	'game' 'minute' 'tell' 'tbh' 'hate'	8	"[(""'game'"", ""'game'""), (""'gym'"", ""'gym'""), (""'school'"", ""'school'""), (""'minute'"", ""'minute'""), (""'tell'"", ""'tell'""), (""'tbh'"", ""'tbh'""), (""'book'"", ""'book'""), (""'hold'"", ""'"")]"	1	'tbh'
15	way crush goals figure priority clutter medium popular non beginnings	1.8	3.0	3.0	4	'crush' 'medium' 'popular' 'non'	1	"[(""'non'"", ""'non'"")]"	1	'non'
16	twin place maybe famous rule hair strong twitter tone lesson	1.0	3.0	3.0	4	'twitter' 'hair' 'tone' 'lesson'	1	"[(""'twin'"", ""'twin'"")]"	0	
17	remember music ago active lose date gain finally wait help	1.2	3.0	3.0	6	'active' 'lose' 'gain' 'finally' 'wait' 'help'	2	"[(""'gain'"", ""'lose'""), (""'wait'"", ""'finally'"")]"	0	
18	rose tail blessing afternoon publish south glue krazy animalsanctuary girder	1.0	3.0	2.8	7	'tail' 'blessing' 'publish' 'south' 'glue' 'krazy' 'girder'	7	"[(""'rose'"", ""'rose'""), (""'tail'"", ""'tail'""), (""'blessing'"", ""'blessing'""), (""'afternoon'"", ""'afternoon'""), (""'publish'"", ""'publish'""), (""'south'"", ""'south'""), (""'glue'"", ""'glue'"")]"	3	'krazy' 'animalsanctuary' 'girder'
19	conversation picture hard languagelearne use favorite negative rehab balance complain	1.0	3.0	2.0	4	'picture' 'rehab' 'balance' 'complain'	1	"[(""'hard'"", ""'complain'"")]"	1	'languagelearne'
20	twitter joke spend connected future cause bitchy goals loudly discovery	1.0	3.0	3.0	2	'bitchy' 'loudly'	7	"[(""'twitter'"", ""'twitter'""), (""'joke'"", ""'joke'""), (""'spend'"", ""'spend'""), (""'connected'"", ""'connected'""), (""'future'"", ""'future'""), (""'cause'"", ""'cause'""), (""'bitchy'"", ""'bitchy'"")]"	0	
21	faithfully watch voter sex morrre gadget thad ago nov hair	1.0	3.0	2.0	2	'morrre' 'thad'	1	"[(""'morrre'"", ""'thad'"")]"	1	'morrre'
22	okay live negative dog sure actually minded lol old spirit	1.0	3.0	3.0	3	'dog' 'lol' 'old'	2	"[(""'okay'"", ""'sure'""), (""'lol'"", ""'lol'"")]"	0	
23	way mandatory embrace adult jean public check date sip ambition	1.0	3.0	3.0	2	'jean' 'sip'	7	"[(""'way'"", ""'way'""), (""'mandatory'"", ""'mandatory'""), (""'embrace'"", ""'embrace'""), (""'adult'"", ""'adult'""), (""'jean'"", ""'jean'""), (""'public'"", ""'public'""), (""'check'"", ""'"")]"	0	
24	stay happen exercise man buy beer yeah zona hungover positive	2.0	3.0	3.0	2	'zona' 'positive'	8	"[(""'stay'"", ""'stay'""), (""'happen'"", ""'happen'""), (""'exercise'"", ""'exercise'""), (""'man'"", ""'man'""), (""'buy'"", ""'buy'""), (""'beer'"", ""'beer'""), (""'yeah'"", ""'yeah'""), (""'zona'"", ""'z"")]"	1	'zona'
25	date fat laugh typical everybody prayer fighting woman legacy word	1.0	3.0	3.0	3	'fat' 'typical' 'word'	7	"[(""'date'"", ""'date'""), (""'fat'"", ""'fat'""), (""'laugh'"", ""'laugh'""), (""'typical'"", ""'typical'""), (""'everybody'"", ""'everybody'""), (""'prayer'"", ""'prayer'""), (""'fighting'"", ""'fight"")]"	0	
