ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	guitar everyday learn yes black school big sugar gym motto	1.6	2.2	2.8	2	'yes' 'sugar'	1	"[(""'yes'"", ""'no'"")]"	0	
1	smoking gain waste fat ticket lose husband way newyearnewme cookie	1.8	2.4	2.2	3	'ticket' 'husband' 'newyearnewme'	1	"[(""'newyearnewme'"", ""'newyearnewme'"")]"	1	'newyearnewme'
2	priority effort lose pound watch realistic moment reality super chicken	2.0	2.2	2.6	2	'super' 'chicken'	1	"[(""'pound'"", ""'lose'"")]"	0	
3	party fail simply half track better york tall channel idk	2.0	2.2	2.6	2	'idk' 'simply'	1	"[(""'idk'"", ""'idk'"")]"	1	'idk'
4	share star monday tone definitely come effect homeless learn shit	1.2	2.4	2.2	2	'definitely' 'come'	1	"[(""'shit'"", ""'definitely'"")]"	1	'shit'
5	fresh family oop spend eve calendar app yesterday healthy rockin	1.8	2.0	2.4	1	'rockin'	1	"[(""'family'"", ""'rockin'"")]"	1	'rockin'
6	stuff pack dick buy adventure music haha attitude goal save	2.0	2.2	2.0	2	'haha' 'dick'	0	[]	2	'dick' 'haha'
7	completely fake candy begin pop email trust battle deal emotion	1.6	2.4	3.0	2	'trust' 'deal'	0	[]	0	
8	travel fucking burn draw tattoo internship band course settle delete	1.8	2.0	2.0	2	'fucking' 'delete'	0	[]	1	'fucking'
9	habit catch season home difference break wife sleep popular healthy	2.0	2.2	3.0	2	'catch' 'wife'	1	"[(""'habit'"", ""'healthy'"")]"	0	
10	chuck paper special lie state lmao watch dead blair netflix	1.8	2.2	2.2	1	'blair'	2	"[(""'state'"", ""'blair'""), (""'watch'"", ""'netflix'"")]"	1	'lmao'
11	control water clothe box physically mentally res read baseball tough	1.4	2.0	2.0	2	'res' 'baseball'	1	"[(""'clothe'"", ""'clothing'"")]"	1	'res'
12	fast beat involve able truth advice winter instagram potato twitter	1.2	2.0	2.8	2	'winter' 'potato'	1	"[(""'fast'"", ""'fast'"")]"	0	
13	mistake meet long accept fuck sorry passion great niggas release	2.0	2.4	2.2	2	'meet' 'release'	1	"[(""'fuck'"", ""'niggas'"")]"	2	'fuck' 'niggas'
14	house asshole mouth consider little today creative drop free heart	1.8	2.4	2.8	2	'asshole' 'drop'	1	"[(""'house'"", ""'heart'"")]"	1	'asshole'
15	ball song weight hear energy toilet believe challenge increase god	1.6	2.0	3.0	2	'weight' 'toilet'	1	"[(""'hear'"", ""'song'"")]"	0	
16	instead shoe sock treat visit community officially crack rich earth	2.0	2.6	3.0	2	'crack' 'earth'	1	"[(""'sock'"", ""'shoe'"")]"	0	
17	car january complain birthday guy amazing use look laugh bad	1.6	3.0	3.0	1	'guy'	1	"[(""'birthday'"", ""'january'"")]"	0	
18	baby early active bit shoot clear fall gym bullshit goal	2.0	2.4	2.6	1	'bullshit'	7	"[(""'baby'"", ""'baby'""), (""'early'"", ""'early'""), (""'active'"", ""'active'""), (""'bit'"", ""'bit'""), (""'shoot'"", ""'shoot'""), (""'clear'"", ""'clear'""), (""'fall'"", ""'fall'"")]"	1	'bullshit'
19	hashtag week favorite gossip meat reason tonight watch team text	1.8	2.0	2.8	0		1	"[(""'hashtag'"", ""'text'"")]"	0	
20	open photo problem level block quit publish cup hair film	1.8	2.2	3.0	2	'cup' 'hair'	1	"[(""'film'"", ""'movie'"")]"	0	
21	ready complete dance true afraid dad chorgrapher mom god dream	2.0	2.6	2.6	2	'dance' 'chorgrapher'	1	"[(""'mom'"", ""'dad'"")]"	1	'chorgrapher'
22	cat dog kill choose country friend pretty raise selfie nye	1.6	2.2	2.8	2	'nye' 'kill'	1	"[(""'country'"", ""'nye'"")]"	1	'nye'
23	past hurt thought cool happiness deep store feeling stress sex	2.0	2.0	2.8	2	'store' 'sex'	3	"[(""'hurt'"", ""'feeling'""), (""'happiness'"", ""'feeling'""), (""'deep'"", ""'feeling'"")]"	0	
24	suck blame adult rule discover eve chocolate routine studio month	1.8	2.0	2.6	3	'routine' 'studio' 'month'	1	"[(""'suck'"", ""'blame'"")]"	0	
25	hot old online anymore carry zero pic tweet notice fuck	1.6	2.0	2.0	1	'zero'	1	"[(""'old'"", ""'zero'"")]"	1	'fuck'
26	organize learn ride code hashtagoftheweek socialmedia tennis emotional patient mess	2.0	2.2	2.4	2	'hashtagoftheweek' 'socialmedia'	1	"[(""'learn'"", ""'learn'"")]"	1	'hashtagoftheweek'
27	guess matter literally book peace juice responsible drama beer arm	1.6	2.6	3.0	1	'arm'	1	"[(""'book'"", ""'drama'"")]"	0	
28	win video hang hopefully respect stay episode till friend pass	2.2	2.2	2.6	2	'hopefully' 'pass'	1	"[(""'win'"", ""'pass'"")]"	0	
29	workout limit boyfriend cook got especially foot goals push fear	2.0	2.2	2.8	3	'cook' 'got' 'especially'	1	"[(""'workout'"", ""'push'"")]"	0	
30	sport night late bible use remove position cliche book lose	1.8	2.4	3.0	3	'sport' 'remove' 'lose'	1	"[(""'bible'"", ""'book'"")]"	0	
31	concert joke quiet mixtape ass volunteer upset master allow help	1.8	2.0	2.8	1	'upset'	1	"[(""'mixtape'"", ""'concert'"")]"	1	'ass'
32	daily support facebook action public planet decide judge create pocket	2.0	2.4	3.0	1	'pocket'	5	"[(""'daily'"", ""'planet'""), (""'support'"", ""'judge'""), (""'facebook'"", ""'action'""), (""'public'"", ""'create'""), (""'decide'"", ""'pocket'"")]"	0	
33	smoke right supper club cigarette focus count accomplish body aim	2.0	2.0	3.0	2	'supper' 'body'	1	"[(""'smoke'"", ""'cigarette'"")]"	0	
34	ppl hug remember age place white read eve ahead membership	1.2	2.0	2.0	1	'membership'	1	"[(""'ppl'"", ""'membership'"")]"	2	'ppl' 'eve'
35	nap forgive forget drunk live number power minute gift encouragement	2.0	2.2	3.0	0		1	"[(""'forgive'"", ""'forget'"")]"	0	
36	social medium small fitness wrong bring vibe finance booty honest	1.8	2.6	2.8	0		3	"[(""'social'"", ""'medium'""), (""'wrong'"", ""'honest'""), (""'fitness'"", ""'booty'"")]"	1	'booty'
37	resolutions fit twice fight story breakfast enjoy success bang important	2.0	2.2	2.8	1	'bang'	1	"[(""'resolutions'"", ""'success'"")]"	0	
38	wear patience seriously live pant regret excuse connected beautiful kind	1.8	2.4	3.0	3	'pant' 'regret' 'excuse'	2	"[(""'pant'"", ""'breath'""), (""'connected'"", ""'linked'"")]"	0	
39	deserve city add achievable walk return scream purpose kick remind	2.0	2.2	3.0	2	'kick' 'scream'	0	[]	0	
40	listen relationship realize boss busy learn successful fat strong tell	2.0	2.2	3.0	1	'fat'	2	"[(""'listen'"", ""'realize'""), (""'fat'"", ""'strong'"")]"	0	
41	join goal gym feel figure post million genuinely week makeup	2.0	2.2	3.0	1	'makeup'	1	"[(""'goal'"", ""'figure'"")]"	0	
42	idea motivation pick vow chance exciting book reach maybe lbs	2.0	2.2	2.2	1	'lbs'	1	"[(""'idea'"", ""'book'"")]"	1	'lbs'
43	wanna head throw job tweet welcome sit forward culture big	1.4	2.0	2.0	0		3	"[(""'wanna'"", ""'job'""), (""'welcome'"", ""'sit'""), (""'head'"", ""'forward'"")]"	2	'wanna' 'tweet'
44	face sign youtube apartment budget door career girlfriend include sober	2.0	2.2	3.0	1	'sober'	1	"[(""'youtube'"", ""'sign'"")]"	0	
45	pretend finally weed spanish learn confidence sing drinking chicago know	1.8	2.2	2.8	1	'drinking'	1	"[(""'learn'"", ""'know'"")]"	2	'weed' 'drinking'
46	game marathon wish reading present memory tix know write actual	2.0	2.0	2.8	1	'actual'	1	"[(""'wish'"", ""'present'"")]"	1	'tix'
47	damn health hoe invite rest send hate vacation check skip	1.6	1.8	2.0	2	'hoe' 'hate'	5	"[(""'damn'"", ""'hate'""), (""'send'"", ""'invite'""), (""'check'"", ""'skip'""), (""'health'"", ""'vacation'""), (""'hoe'"", ""'rest'"")]"	2	'damn' 'hoe'
