ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	gym workout fitness treat fit month healthy drink word smoke	2.0	1.8	3.0	5	'treat' 'word' 'smoke' 'month' 'drink'	6	"[(""'gym'"", ""'workout'""), (""'gym'"", ""'fitness'""), (""'gym'"", ""'fit'""), (""'workout'"", ""'fitness'""), (""'workout'"", ""'fit'""), (""'fitness'"", ""'fit'"")]"	3	'treat' 'smoke' 'word'
1	dot dick heb laptop competitive chillin bmv nut announcement ironic	1.6	2.0	2.0	3	'laptop' 'bmv' 'announcement'	0	[]	3	'heb' 'bmv' 'chillin'
2	food chicken meal chipotle taco gluten recipe mcdonald sandwich restaurant	3.0	1.0	3.0	3	'gluten' 'mcdonald' 'restaurant'	0	[]	0	
3	loose skinny pretzel skinnyjeansbestfriend loseweight diet cliche weightloss tweak starve	3.0	1.0	3.0	4	'pretzel' 'cliche' 'tweak' 'starve'	1	"[(""'loseweight'"", ""'weightloss'"")]"	1	'skinnyjeansbestfriend'
4	twitter onebluelenz socialmedia follower instagram startup retweet delete code iwantobehip	2.4	1.6	2.0	3	'code' 'delete' 'iwantobehip'	1	"[(""'onebluelenz'"", ""'iwantobehip'"")]"	2	'onebluelenz' 'iwantobehip'
5	nap wake morning sleeping hibernate makeup habit ijustneedsleep languish dogslife	2.2	1.0	2.2	2	'makeup' 'dogslife'	2	"[(""'sleeping'"", ""'hibernate'""), (""'wake'"", ""'morning'"")]"	1	'ijustneedsleep'
6	game baseball hockey yankees playoff leagueoflegend cheer state favorite indy	2.2	1.2	3.0	4	'cheer' 'state' 'indy' 'leagueoflegend'	1	"[(""'yankees'"", ""'indy'"")]"	1	'leagueoflegend'
7	book reading novel publisher challenge picturebook thrones kindle ebooks schedule	3.0	1.4	3.0	2	'challenge' 'schedule'	1	"[(""'ebooks'"", ""'kindle'"")]"	1	'thrones'
8	thank flawless sexymonday bath shb graduation enjoy beautiful boy job	1.8	2.0	2.0	3	'bath' 'shb' 'job'	0	[]	2	'sexymonday' 'shb'
9	pack legging wardrobe warm sneaker underwear sweatpant fashion figfit flatass	3.0	1.0	2.0	1	'flatass'	1	"[(""'legging'"", ""'sweatpant'"")]"	2	'figfit' 'flatass'
10	concert soundtrack song cydonia mixtape sing gaga musically duet recordsbeat	3.0	1.6	3.0	1	'cydonia'	0	[]	2	'cydonia' 'recordsbeat'
