ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	team cup toronto watch fan quebec sport chicago vancouver adams	2.0	2.0	3.0	1	ˈadams	3	"[(""'toronto'"", ""'vancouver'""), (""'toronto'"", ""'chicago'""), (""'toronto'"", ""'quebec'"")]"	0	
1	use right time like good mean question problem thing state	2.0	2.0	3.0	2	'state' 'thing'	1	"[(""'right'"", ""'good'"")]"	0	
2	god believe belief question exist claim true christians idea truth	3.0	1.0	3.0	1	question	2	"[(""'belief'"", ""'believe'""), (""'true'"", ""'truth'"")]"	0	
3	svhs numner matting crystalize recommene toasterhead bequidistant itor mtd craftsman	1.0	2.0	2.0	5	'numner' 'itor' 'mtd' 'toasterhead' 'bequidistant'	2	"[(""'numner'"", ""'number'""), (""'recommene'"", ""'recommend'"")]"	1	'numner'**: Typo
4	disease concern response newsgroup kent easter translator patient forum science	2.0	2.0	3.0	0		1	"[(""'newsgroup'"", ""'forum'"")]"	0	
5	numner zipws mtd anthology bequidistant specualtion carlsbad matting recommene archiver	2.0	2.0	2.0	3	'carlsbad' 'bequidistant' 'matting'	1	"[(""'numner'"", ""'zipws'"")]"	1	'numner'**: Typo
6	svhs matting numner crystalize corporeal toasterhead itor cdq disemination anthology	1.0	2.0	2.0	4	'numner' 'cdq' 'itor' 'disemination'	1	"[(""'numner'"", ""'cdq'"")]"	0	
7	numner sceptic syn probablity inb shadow daresbury corporeal baraff dresden	2.0	2.0	2.0	0		2	"[(""'syn'"", ""'probablity'""), (""'numner'"", ""'probablity'"")]"	0	
8	know like time want think tell people thing look come	2.0	2.0	3.0	0		1	"[(""'think'"", ""'know'"")]"	0	
9	sale monitor offer card printer appreciate screen video meg upgrade	2.0	2.0	3.0	0		1	"[(""'monitor'"", ""'screen'"")]"	2	meg**: This is likely an abbreviation for megapixel or megabyte but without context
10	thank appreciate advance pointer anybody ini suggestion utility greatly fix	2.0	2.0	2.0	0		2	"[(""'thank'"", ""'appreciate'""), (""'fix'"", ""'advance'"")]"	0	
11	sale new offer sell price win shipping player van stevens	2.0	1.4	3.0	0		1	"[(""'sale'"", ""'sell'"")]"	0	
12	numner anthology matting crystalize bequidistant dispell mtd toasterhead carlsbad itor	1.0	2.0	1.6	5	'numner' 'mtd' 'toasterhead' 'carlsbad' 'itor'	1	"[(""'mtd'"", ""'numner'"")]"	0	
13	year think want work talk cost program people pay care	2.0	2.0	3.0	1	ˈprogram	1	"[(""'pay'"", ""'cost'"")]"	0	
14	government information state san year new police political francisco law	2.0	2.0	3.0	0		2	"[(""'state'"", ""'government'""), (""'police'"", ""'law'"")]"	0	
15	think use bit question people dos mov mean right way	2.0	2.0	2.0	2	ˈdɒs ˈmɒv	1	"[(""'right'"", ""'way'"")]"	0	
16	key chip use number bit clipper message encrypt algorithm public	3.0	2.0	3.0	6	use 'chip' 'bit' 'clipper' 'message' 'encrypt'	1	"[(""'encrypt'"", ""'algorithm'"")]"	0	
