ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	indecision tin telematic newsreader spang newusers plaform achim withkzip calpoly	2.0	2.0	2.0	4	'tin' 'achim' 'withkzip' 'calpoly'	1	"[(""'achim'"", ""'calpoly'"")]"	2	'spang' 'withkzip'
1	spang withkzip makega dirtym dosgl newusers achim calpoly kck dempsey	2.0	2.0	2.0	4	achim calpoly kck dempsey	2	"[(""'achim'"", ""'calpoly'""), (""'kck'"", ""'dempsey'"")]"	6	'spang' 'withkzip' 'makega' 'dirtym' 'dosgl' 'newusers'
2	florida column minnesota superior bay desire spang withkzip toronto makega	2.0	2.0	2.0	4	'desire' 'spang' 'withkzip' 'makega'	2	"[(""'florida'"", ""'minnesota'""), (""'superior'"", ""'bay'"")]"	0	
3	display windows graphic version file video run window manager color	2.6	2.0	3.0	0		3	"[(""'display'"", ""'windows'""), (""'graphic'"", ""'window'""), (""'window'"", ""'manager'"")]"	1	'version' - While common
4	point year good game play team player goal run net	2.6	2.0	3.0	0		2	"[(""'point'"", ""'goal'""), (""'team'"", ""'player'"")]"	0	
5	max mov main int byte aoj image win allocation offset	3.0	2.0	3.0	3	'aoj' 'win' 'image'	2	"[(""'max'"", ""'mov'""), (""'main'"", ""'win'"")]"	1	'mov' - This is a common command in programming (move)
6	think believe reason exist way question god mean thing human	2.8	2.0	3.0	2	god human	7	"[(""'think'"", ""'reason'""), (""'think'"", ""'way'""), (""'believe'"", ""'reason'""), (""'believe'"", ""'way'""), (""'god'"", ""'human'""), (""'god'"", ""'thing'""), (""'human'"", ""'thing'"")]"	0	
7	game team play toronto trade cup chicago lose series montreal	2.0	2.0	3.0	2	lose montreal	2	"[(""'toronto'"", ""'chicago'""), (""'montreal'"", ""'chicago'"")]"	0	
8	keith enclose backing kent blow atheists mathew jon definitely cco	2.0	2.0	2.0	2	'atheists' 'cco'	2	"[(""'keith'"", ""'mathew'""), (""'kent'"", ""'cco'"")]"	0	
9	people want work think talk year program know new kind	2.0	2.0	3.0	2	'year' 'program'	6	"[(""'people'"", ""'know'""), (""'people'"", ""'think'""), (""'people'"", ""'talk'""), (""'year'"", ""'know'""), (""'year'"", ""'think'""), (""'year'"", ""'talk'"")]"	0	
10	msg sensitivity taste russell nye clinic reaction wish patently eau	2.0	2.0	2.0	2	'russell' 'eau'	2	"[(""'russell'"", ""'nye'""), (""'eau'"", ""'msg'"")]"	0	
11	thank advance anybody hello appreciate info recommend email greatly interested	2.6	2.0	3.0	2	'anybody' 'hello'	2	"[(""'thank'"", ""'appreciate'""), (""'hello'"", ""'anybody'"")]"	0	
12	window display application file openwindow set color manager lib icon	3.0	2.0	3.0	0		3	"[(""'application'"", ""'window'""), (""'application'"", ""'display'""), (""'window'"", ""'display'"")]"	0	
13	like time know think work need people want look try	2.0	2.0	3.0	0		2	"[(""'like'"", ""'want'""), (""'think'"", ""'know'"")]"	0	
14	window windows problem file run program use display manager screen	2.8	2.0	3.0	0		2	"[(""'window'"", ""'windows'""), (""'problem'"", ""'program'"")]"	0	
15	mail price software sale shipping upgrade output complete company access	2.0	2.0	3.0	0		8	"[(""'mail'"", ""'mail'""), (""'price'"", ""'price'""), (""'software'"", ""'software'""), (""'sale'"", ""'sale'""), (""'shipping'"", ""'shipping'""), (""'upgrade'"", ""'upgrade'""), (""'output'"", ""'output'""), (""'complete'"", ""'complete'"")]"	0	
16	surele misundertanding ryan lousier otherway thatlequant suggeede inlequant newusers allgb	2.0	2.0	1.8	3	'ryan' 'newusers' 'allgb'	1	"[(""'ryan'"", ""'ryan'"")]"	4	'lousier' 'thatlequant' 'suggeede' 'inlequant'
17	dos file windows use run version software allocation cities encyclopedia	2.0	2.0	3.0	2	'cities' 'encyclopedia'	2	"[(""'dos'"", ""'windows'""), (""'file'"", ""'software'"")]"	0	
18	quebec budget officer wwii british times writer kick mess addition	2.0	2.0	2.2	2	'kick' 'mess'	2	"[(""'officer'"", ""'writer'""), (""'times'"", ""'times'"")]"	0	
19	monitor input board switch video offer output audio printer manual	3.0	2.0	3.0	2	'offer' 'manual'	3	"[(""'monitor'"", ""'video'""), (""'audio'"", ""'output'""), (""'printer'"", ""'output'"")]"	0	
20	treatment food msg sensitivity patient medical doctor effect disease newsgroup	3.0	2.0	3.0	1	'newsgroup'	2	"[(""'treatment'"", ""'medical'""), (""'patient'"", ""'doctor'"")]"	0	
21	max god jesus sin eve salvation wicked spirit judas unto	3.0	1.8	3.0	1	eve	2	"[(""'god'"", ""'jesus'""), (""'sin'"", ""'wicked'"")]"	0	
22	sale forsale setting brand shipping thanks super iii gateway meg	2.0	2.0	2.0	6	'setting' 'thanks' 'super' 'iii' 'gateway' 'meg'	2	"[(""'sale'"", ""'forsale'""), (""'super'"", ""'meg'"")]"	0	
23	sale interested magazine summary sell condition reply mail email engineering	2.0	2.0	3.0	1	'engineering'	2	"[(""'sale'"", ""'sell'""), (""'magazine'"", ""'mail'"")]"	1	'engineering' - While a valid word
24	use faq brute time mathematical rtfm answer mathematically question expire	2.0	2.0	3.0	0		3	"[(""'use'"", ""'answer'""), (""'mathematical'"", ""'mathematically'""), (""'rtfm'"", ""'question'"")]"	0	
25	window color problem mouse try set help switch video screen	2.0	2.0	3.0	2	'try' 'help'	2	"[(""'window'"", ""'screen'""), (""'mouse'"", ""'problem'"")]"	0	
26	israel jews state country islamic islam solution right war peace	2.8	2.0	3.0	0		4	"[(""'israel'"", ""'state'""), (""'israel'"", ""'country'""), (""'jews'"", ""'state'""), (""'jews'"", ""'country'"")]"	0	
