ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	team cup toronto watch fan quebec sport chicago vancouver adams	2.8	2.0	2.6	0		4	"[(""'team'"", ""'fan'""), (""'toronto'"", ""'chicago'""), (""'quebec'"", ""'vancouver'""), (""'cup'"", ""'adams'"")]"	1	'adams'
1	use right time like good mean question problem thing state	2.4	1.8	2.6	0		1	[('use', 'right')]	0	
2	god believe belief question exist claim true christians idea truth	3.0	1.2	2.8	1	'christians'	3	"[(""'believe'"", ""'belief'""), (""'god'"", ""'christians'""), (""'idea'"", ""'truth'"")]"	1	'christians'
3	svhs numner matting crystalize recommene toasterhead bequidistant itor mtd craftsman	1.6	2.8	1.0	4	'numner' 'recommene' 'mtd' 'itor'	5	"[(""'crystalize'"", ""'crystallize'""), (""'recommene'"", ""'recommend'""), (""'bequidistant'"", ""'bequidistant'""), (""'svhs'"", ""'SVHS'""), (""'matting'"", ""'matting'"")]"	6	'numner' 'recommene' 'toasterhead' 'bequidistant' 'mtd' 'itor'
4	disease concern response newsgroup kent easter translator patient forum science	2.6	1.4	2.6	0		1	"[(""'disease'"", ""'response'"")]"	2	'easter' 'kent'
5	numner zipws mtd anthology bequidistant specualtion carlsbad matting recommene archiver	1.4	2.8	1.6	3	'numner' 'zipws' 'recommene'	4	"[(""'numner'"", ""'mtd'""), (""'zipws'"", ""'archiver'""), (""'bequidistant'"", ""'specualtion'""), (""'carlsbad'"", ""'matting'"")]"	4	'zipws' 'specualtion' 'recommene' 'bequidistant'
6	svhs matting numner crystalize corporeal toasterhead itor cdq disemination anthology	1.8	2.8	1.8	3	'svhs' 'numner' 'cdq'	0	[]	3	'numner' 'cdq' 'itor'
7	numner sceptic syn probablity inb shadow daresbury corporeal baraff dresden	2.0	2.6	2.0	3	'numner' 'inb' 'baraff'	2	"[(""'numner'"", ""'probablity'""), (""'syn'"", ""'corporeal'"")]"	3	'numner' 'inb' 'baraff'
8	know like time want think tell people thing look come	2.8	1.8	3.0	0		1	"[(""'time'"", ""'thing'"")]"	0	
9	sale monitor offer card printer appreciate screen video meg upgrade	3.0	1.6	2.6	0		2	"[(""'sale'"", ""'offer'""), (""'meg'"", ""'video'"")]"	1	'meg'
10	thank appreciate advance pointer anybody ini suggestion utility greatly fix	2.8	1.8	2.0	1	'ini'	4	"[(""'appreciate'"", ""'thank'""), (""'greatly'"", ""'advance'""), (""'suggestion'"", ""'pointer'""), (""'fix'"", ""'utility'"")]"	1	'ini'
11	sale new offer sell price win shipping player van stevens	2.6	1.8	2.0	3	'player' 'van' 'stevens'	2	"[(""'sale'"", ""'sell'""), (""'new'"", ""'new'"")]"	2	'stevens' 'van'
12	numner anthology matting crystalize bequidistant dispell mtd toasterhead carlsbad itor	1.4	3.0	1.8	2	'mtd' 'itor'	1	[('numner', 'mtd')]	2	'mtd' 'itor'
13	year think want work talk cost program people pay care	2.6	2.0	3.0	2	'pay' 'year'	1	[('year', 'pay')]	0	
14	government information state san year new police political francisco law	2.6	1.4	2.4	2	'year' 'francisco'	1	"[(""'government'"", ""'state'"")]"	1	'san'
15	think use bit question people dos mov mean right way	1.8	2.2	2.0	2	'dos' 'mov'	2	"[(""'dos'"", ""'use'""), (""'mean'"", ""'think'"")]"	1	'mov'
16	key chip use number bit clipper message encrypt algorithm public	3.0	1.4	2.0	2	'clipper' 'public'	2	"[(""'key'"", ""'public'""), (""'chip'"", ""'clipper'"")]"	2	'clipper' 'chip'
17	svhs matting crystalize toasterhead itor cdq disemination orientiation sceptic welbon	1.2	2.6	1.4	4	'svhs' 'cdq' 'welbon' 'toasterhead'	1	"[(""'svhs'"", ""'cdq'"")]"	4	'matting' 'itor' 'cdq' 'welbon'
18	rear luck chicago somebody toronto clean shop btw expensive hot	2.2	2.2	2.0	1	'luck'	3	"[(""'clean'"", ""'hot'""), (""'chicago'"", ""'toronto'""), (""'rear'"", ""'expensive'"")]"	1	'btw'
19	use file run program support like available ftp need mail	2.8	2.2	2.2	2	'like' 'need'	2	"[(""'file'"", ""'program'""), (""'use'"", ""'run'"")]"	1	'ftp'
20	god jesus man life day christ thing come world church	2.8	1.0	2.0	1	'day'	2	"[(""'god'"", ""'jesus'""), (""'god'"", ""'christ'"")]"	2	'jesus' 'christ'
21	time good like way year problem cause result think help	2.6	2.0	2.2	0		4	"[(""'time'"", ""'year'""), (""'way'"", ""'cause'""), (""'think'"", ""'help'""), (""'good'"", ""'problem'"")]"	0	
22	sexual concentrate behavior delete apply atheists fbi ignorant brain counterexample	2.2	1.8	2.0	2	'delete' 'apply'	2	"[(""'sexual'"", ""'behavior'""), (""'atheists'"", ""'ignorant'"")]"	0	
23	numner matting svhs mtd antecdent crystalize carlsbad welbon toasterhead dispell	2.6	2.2	1.8	2	'toasterhead' 'welbon'	6	"[(""'numner'"", ""'mtd'""), (""'matting'"", ""'mtd'""), (""'matting'"", ""'matting'""), (""'matting'"", ""'mtd'""), (""'svhs'"", ""'welbon'""), (""'svhs'"", ""'toasterhead'"")]"	4	'numner' 'mtd' 'welbon' 'toasterhead'
24	engine car ride big mile buy helmet light turn hit	2.8	1.4	2.4	3	'big' 'helmet' 'light'	2	"[(""'car'"", ""'ride'""), (""'mile'"", ""'hit'"")]"	2	'mile' 'helmet'
25	thank advance sale printer interested appreciate mail monitor display print	3.0	1.6	2.8	0		2	"[(""'thank'"", ""'appreciate'""), (""'sale'"", ""'print'"")]"	1	'advance'
26	team game year play player good point run bad second	2.8	1.6	2.8	2	'good' 'bad'	1	"[(""'team'"", ""'play'"")]"	0	
27	window use set include software windows graphic file image program	3.0	1.8	2.6	3	'use' 'set' 'include'	1	"[(""'window'"", ""'windows'"")]"	2	'windows' 'graphic'
28	numner ulman revisited structures sceptic interection abord corporeal tierra svhs	1.6	2.8	1.8	3	'ulman' 'abord' 'svhs'	2	"[(""'numner'"", ""'ulman'""), (""'revisited'"", ""'abord'"")]"	4	'numner' 'ulman' 'abord' 'svhs'
29	drive problem disk card hard ram motherboard floppy run use	3.0	1.2	2.0	1	'use'	3	"[(""'drive'"", ""'hard'""), (""'disk'"", ""'floppy'""), (""'ram'"", ""'card'"")]"	0	
30	people way kill long close man turkish come child massacre	1.6	2.0	2.0	1	'turkish'	3	"[(""'people'"", ""'man'""), (""'people'"", ""'child'""), (""'child'"", ""'man'"")]"	1	'kill'
31	window thank file font help windows advance application appreciate graphic	2.8	1.4	2.4	0		1	"[(""'window'"", ""'windows'"")]"	1	'appreciate'
32	uhhh numner mtd carlsbad dispell reasoable corporeal alunatic myronreuger revisited	1.6	2.4	1.6	0		3	"[(""'numner'"", ""'mtd'""), (""'carlsbad'"", ""'myronreuger'""), (""'dispell'"", ""'revisited'"")]"	4	'numner' 'mtd' 'alunatic' 'myronreuger'
33	card video memory color mac bus mouse monitor drive problem	3.0	1.8	2.2	1	'color'	2	"[(""'video'"", ""'drive'""), (""'bus'"", ""'mouse'"")]"	0	
34	numner svhs matting dispell infirmity crystalize jaggie toasterhead lamentation probablity	1.6	2.0	1.8	2	'numner' 'svhs'	1	"[(""'(numner"", 'number')]"	4	'numner' 'dispell' 'jaggie' 'probablity'
35	numner probablity mtd dispell zipws carlsbad recommene myronreuger jaggie specualtion	1.0	2.4	1.4	0		4	"[(""'numner'"", ""'mtd'""), (""'probablity'"", ""'specualtion'""), (""'recommene'"", ""'probablity'""), (""'carlsbad'"", ""'jaggie'"")]"	7	'probablity' 'dispell' 'zipws' 'recommene' 'myronreuger' 'specualtion' 'numner'
36	max chz mmw air mkw nkh urmw mnk evz kir	2.2	2.0	2.0	0		0	[]	7	'chz' 'mmw' 'mkw' 'nkh' 'urmw' 'mnk' 'evz'
37	space post mail nasa available datum ames send orbit jpl	3.0	1.2	2.4	1	'send'	5	"[(""'space'"", ""'post'""), (""'space'"", ""'mail'""), (""'space'"", ""'orbit'""), (""'nasa'"", ""'ames'""), (""'nasa'"", ""'jpl'"")]"	1	'datum'
38	numner svhs probablity matting crystalize specualtion toasterhead itor mtd inclusive	1.0	2.8	1.6	2	'svhs' 'toasterhead'	2	"[(""'numner'"", ""'number'""), (""'probability'"", ""'probablity'"")]"	5	'numner' 'matting' 'specualtion' 'mtd' 'itor'
39	svhs numner matting crystalize toasterhead itor revisited cdq disemination orientiation	1.6	2.4	1.8	3	'svhs' 'numner' 'cdq'	1	"[(""'svhs'"", ""'cdq'"")]"	6	'numner' 'matting' 'toasterhead' 'cdq' 'disemination' 'orientiation'
40	chip fast speed scsi clipper drive bit car phone buy	3.0	1.2	2.2	1	'clipper'	4	"[(""'chip'"", ""'bit'""), (""'speed'"", ""'fast'""), (""'drive'"", ""'car'""), (""'clipper'"", ""'chip'"")]"	2	'scsi' 'clipper'
