ID	Topic words
0	learn yoga wanna live fit shape quit job promise fat
1	dot dick joke nut dramatic phat bmv type liberal repeat
2	drink coffee alcohol soda coke whiskey starbucks detox addiction latte
3	tweet twitter instagram facebook gossip socialmedia unfollow phone platform addicted
4	food pizza chicken taco chipotle meal breakfast recipe gluten mcdonald
5	workout fitness join treadmill fitbit gymlife golf motivation runchat fitnessmotivation
6	music listen concert dance mixtape band soundtrack sing musician drum
7	blog netflix mondayblog podcast rachelclarkgiveaway blogge blogging simpson facebook friends
8	success plan goals step obstacle task achievable realistic hesitation streak
9	sleep nap morning noon sunrise hibernate routine habit snooze evening
10	gainz diet fat pretzel loseweight healthy tweak dropthebabyweight twinkie shed
11	god pray jesus prayer faith bible bless miracle church hug
12	christmas clean room organize apartment stuff folder gift roommate loveyourlife
13	january newyearnewme calendar newyearseve birthday cyclical sunday jesusyear jules gregorian
14	game watch laker hockey playoff yankees cheer favorite fuel teamless
15	selfie portrait evar ordinarylife foley shatter disposable editing nude jim
16	thank pretty bath sexymonday nana enjoy cute beautiful grateful heart
17	chapter publisher challenge thrones amreade novel bible cupid newauthor godslovechat
18	pack shoe sock sneaker fashion legging dress wardrobe underwear sweat
19	hard lie honest truth govenment fascist secret propaganda confession adventuresinchemistry
20	forgive mistake forget blame excuse apology forgiveness regret guilty unpette
21	family father mom resolutions sheep taxpayer mombiz sonoma hangry bournemouth
22	travel adventure boat vacation trip flight ride york iceland hike
23	friend friendship sister needafriend london dwl friendzone sweetie pony relationships
24	bitch dick feminist motherfucker timb rapper bitchez badder hate rape
25	meet justin humble battle chicago marry plato singlelife natasha datingadvice
26	chuck jack blair cjohnson lou waldorf beyonc buck irish wwkkd
27	degree graduate internship recruit teacher career gradua recommendation greensboro engineer
28	spend debt budget finance account wallet student archive bank goodwill
29	perf nutshell troll fuckboi heckle commas don license driver bullshit
30	cosplay strokin title terminator genisys goddess cosby checkoutmyvine pancake batwoman
31	club smoke cigarettes stank pete factz hun partying cancer dope
32	hair shave eyebrow beard eyeliner haircut effort mustache lara trim
33	follow boyrusher insurgent goingstrong frankie fuckboy coach stuck flip rule
34	run mile marathon runnerspace racing wyoming marathontraine marathontraining educator iowa
35	worry fear anxiety stress cookie panic pandora claustrophobic caution happyheart
36	write memory pen writing memo mathchat javascript ink erase undergrad
37	focused stress thoughtless stillquiethour endoftheyear stillness greatness happier comfort vision
38	change anarchy ariel realworld ooc general justice collective mike wave
39	hashtag hashtagoftheweek smoking organize hashtagofthe hammer medical sew recycle broad
40	happiness positivity pessimistic immortality affect unhappy constructive emotion patient motivate
41	smile ride stress symptom frown quitsmoke wink obstacle period motivated
42	car wheel turbo vehicle passenger porsche newdriver lexus wrangler frog
43	weed smoke quit smokin cig smokefree smokeweed firework cannabis tobacco
44	hate hater ugly reason cat losin adorable grumpy disneyland nyr
45	complete cat absolutely lyfe shb flawless accent british content ready
46	girlfriend wife bae impregnate marriage speciman starbswiththegirl virginity slutty wedding
47	healthy health insurance plaindealer healthyteeth uccessful legit physique giant cholesterol
48	live connected active teachit lovelife rank livelifehappy liveit leslie prosper
49	break reality watch vain destroyallcliche afternoon musical lost coast addiction
50	procrastinate procrastination late procrastinating deadline hour sketch dreamer rush workhard
51	care community service volunteer organization contribute generous society compassion family
