ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	tell fuck promise follow dignity machine glass prostitution late stuff	2.0	2.0	2.4	1	'stuff'	4	"[(""'tell'"", ""'follow'""), (""'promise'"", ""'follow'""), (""'dignity'"", ""'glass'""), (""'late'"", ""'stuff'"")]"	0	
1	diggin dosen't mandatory mcdonalds crash sec o'connell deodorant gal kinda	2.2	1.8	2.4	3	'dosen't' 'o'connell' 'gal'	1	"[(""'diggin'"", ""'kinda'"")]"	1	'dosen't'
2	sec write antother know guy bishop list tail tomorrow self	2.0	1.8	2.2	2	'antother' 'self'	3	"[(""'sec'"", ""'second'""), (""'antother'"", ""'another'""), (""'guy'"", ""'man'"")]"	1	'antother'
3	write hope holiday pre cause woman eve excuse maybe gogh	1.8	2.4	2.6	1	'gogh'	3	"[(""'write'"", ""'hope'""), (""'holiday'"", ""'eve'""), (""'excuse'"", ""'maybe'"")]"	0	
4	post book pizza appreciate sub vlog buy suck game number	2.4	2.4	3.0	1	'suck'	2	"[(""'book'"", ""'game'""), (""'appreciate'"", ""'pizza'"")]"	0	
5	thank hoe base hot hispanic hater shine pierce accept stay	2.6	2.2	2.4	2	'hoe' 'hater'	4	"[(""'thank'"", ""'accept'""), (""'hoe'"", ""'stay'""), (""'base'"", ""'hispanics'""), (""'hot'"", ""'hater'"")]"	1	'hoe'
6	quit eve hard expand tweet guy game quote destroy workout	2.4	1.8	2.6	0		3	"[(""'quit'"", ""'quit'""), (""'game'"", ""'game'""), (""'workout'"", ""'workout'"")]"	0	
7	healthy boyfriend eve past thank exercise offer pic exactly ppl	2.4	2.0	2.6	1	'pic'	3	"[(""'healthy'"", ""'exercise'""), (""'offer'"", ""'pic'""), (""'ppl'"", ""'people'"")]"	0	
8	justin stick grass consideration create smash loosen theirs nomeat folk	2.2	2.0	3.0	1	'nomeat'	3	"[(""'justin'"", ""'loosen'""), (""'stick'"", ""'smash'""), (""'grass'"", ""'folk'"")]"	0	
9	close blake lively progress difference support traditional realistic home pizza	2.6	1.8	2.8	1	'pizza'	1	"[(""'close'"", ""'home'"")]"	0	
10	fun share set goal eve month literally idgaf sleepy tour	2.8	1.8	2.6	2	'idgaf' 'sleepy'	8	"[(""'fun'"", ""'fun'""), (""'share'"", ""'share'""), (""'set'"", ""'set'""), (""'goal'"", ""'goal'""), (""'eve'"", ""'eve'""), (""'month'"", ""'month'""), (""'literally'"", ""'literally'""), (""'idgaf'"", ""'"")]"	0	
11	supper smoke club hope cigarette quit judge suck newyear blog	2.6	2.2	2.8	1	'blog'	2	"[(""'smoke'"", ""'cigarette'""), (""'quit'"", ""'smoke'"")]"	0	
12	eve resolve quit gregory travel publish end bad peck craigslist	2.6	1.8	2.6	1	'peck'	4	"[(""'travel'"", ""'travel'""), (""'end'"", ""'end'""), (""'quit'"", ""'quit'""), (""'publish'"", ""'publish'"")]"	0	
13	actually workout joke fit come chastity market learn deli bring	2.2	2.0	2.8	1	'chastity'	7	"[(""'actually'"", ""'actually'""), (""'workout'"", ""'workout'""), (""'joke'"", ""'joke'""), (""'fit'"", ""'fit'""), (""'come'"", ""'come'""), (""'chastity'"", ""'chastity'""), (""'market'"", ""'"")]"	0	
14	gym game school minute tell tbh book hold past hate	2.2	1.8	2.8	1	'tbh'	2	"[(""'gym'"", ""'game'""), (""'school'"", ""'past'"")]"	1	'tbh'
15	way crush goals figure priority clutter medium popular non beginnings	2.6	2.0	2.8	0		2	"[(""'way'"", ""'medium'""), (""'crush'"", ""'goals'"")]"	0	
16	twin place maybe famous rule hair strong twitter tone lesson	2.6	2.0	2.8	1	'twitter'	8	"[(""'twin'"", ""'twin'""), (""'place'"", ""'place'""), (""'maybe'"", ""'maybe'""), (""'famous'"", ""'famous'""), (""'rule'"", ""'rule'""), (""'hair'"", ""'hair'""), (""'strong'"", ""'strong'""), (""'twitter'"", ""'"")]"	0	
17	remember music ago active lose date gain finally wait help	2.6	2.0	3.0	1	'lose'	2	"[(""'remember'"", ""'finally'""), (""'music'"", ""'date'"")]"	0	
18	rose tail blessing afternoon publish south glue krazy animalsanctuary girder	2.0	1.8	3.0	1	'krazy'	2	"[(""'rose'"", ""'blessing'""), (""'south'"", ""'girder'"")]"	0	
19	conversation picture hard languagelearne use favorite negative rehab balance complain	2.4	2.4	2.8	0		2	"[(""'conversation'"", ""'languagelearn'""), (""'favorite'"", ""'balance'"")]"	0	
20	twitter joke spend connected future cause bitchy goals loudly discovery	2.6	2.2	2.8	1	'bitchy'	2	"[(""'twitter'"", ""'discovery'""), (""'joke'"", ""'cause'"")]"	0	
21	faithfully watch voter sex morrre gadget thad ago nov hair	2.2	1.8	2.6	2	'sex' 'morrre'	6	"[(""'faithfully'"", ""'faithfully'""), (""'watch'"", ""'watch'""), (""'voter'"", ""'voter'""), (""'sex'"", ""'sex'""), (""'morrre'"", ""'morrre'""), (""'gadget'"", ""'gadget'"")]"	2	'morrre' 'thad'
22	okay live negative dog sure actually minded lol old spirit	2.2	2.2	3.0	2	'okay' 'lol'	2	"[(""'okay'"", ""'sure'""), (""'actually'"", ""'old'"")]"	0	
23	way mandatory embrace adult jean public check date sip ambition	2.6	2.2	3.0	1	'sip'	2	"[(""'way'"", ""'public'""), (""'date'"", ""'embrace'"")]"	0	
24	stay happen exercise man buy beer yeah zona hungover positive	2.6	2.0	2.6	1	'yeah'	7	"[(""'stay'"", ""'yeah'""), (""'happen'"", ""'happen'""), (""'exercise'"", ""'exercise'""), (""'man'"", ""'man'""), (""'buy'"", ""'buy'""), (""'beer'"", ""'beer'""), (""'yeah'"", ""'ye"")]"	0	
25	date fat laugh typical everybody prayer fighting woman legacy word	2.4	1.8	2.8	0		2	"[(""'date'"", ""'word'""), (""'laugh'"", ""'prayer'"")]"	0	
26	ass win sweet sit yup list principle sweetener listening shine	2.2	1.8	2.6	0		2	"[(""'sweet'"", ""'sweetener'""), (""'list'"", ""'listening'"")]"	0	
27	drift reconnect apart traditional fridge mouth september event basket hashtag	2.2	2.2	2.8	2	'fridge' 'mouth'	2	"[(""'drift'"", ""'apart'""), (""'reconnect'"", ""'hashtag'"")]"	0	
28	diet sure canigetaaman search sweat miss sharing humble crane chore	2.2	2.0	2.6	1	'crane'	2	"[(""'diet'"", ""'canigetaaman'""), (""'sure'"", ""'sure'"")]"	0	
29	quit spend outta couple spanish speak song awesome decide pred	2.4	1.8	1.8	3	'spanish' 'song' 'awesome'	7	"[(""'quit'"", ""'leave'""), (""'spend'"", ""'use'""), (""'outta'"", ""'out of'""), (""'couple'"", ""'few'""), (""'spanish'"", ""'spanish'""), (""'speak'"", ""'talk'""), (""'song'"", ""'music'"")]"	0	
30	molson creative decor homedesign fab alternate vortex affect desk cooking	2.6	2.2	3.0	2	'affect' 'molson'	6	"[(""'molson'"", ""'molson'""), (""'creative'"", ""'creative'""), (""'decor'"", ""'decor'""), (""'homedesign'"", ""'homedesign'""), (""'fab'"", ""'fab'""), (""'alternate'"", ""'alternate'"")]"	0	
31	keepingitsimple drift cantfail gossip nightmare complex outdoors lessfacebook kind habit	2.6	2.0	2.6	1	'gossip'	6	"[(""'keepingitsimple'"", ""'simple'""), (""'gossip'"", ""'rumors'""), (""'nightmare'"", ""'horror'""), (""'complex'"", ""'complicated'""), (""'outdoors'"", ""'outside'""), (""'habit'"", ""'routine'"")]"	0	
32	hopkins reacquire revise usual michigan nervous run sweetener dosen't project	2.0	2.0	2.2	2	'dosen't' 'sweetener'	2	"[(""'nervous'"", ""'project'""), (""'hopkins'"", ""'michigan'"")]"	1	'dosen't'
33	sec tell sleepy journal hit film judgemental bartender motto min	2.0	1.4	2.2	3	'judgemental' 'bartender' 'motto'	2	"[(""'film'"", ""'motto'""), (""'sec'"", ""'min'"")]"	0	
34	help gift beer season worthy order persecute business creep encouragement	2.0	2.6	2.8	2	'creep' 'persecute'	2	"[(""'gift'"", ""'worthy'""), (""'order'"", ""'business'"")]"	0	
35	focus aaronallison iwil president vice load aaron burr chopin lol	2.2	2.0	2.2	1	'lol'	4	"[(""'focus'"", ""'aaronallison'""), (""'aaron'"", ""'aaronallison'""), (""'iwil'"", ""'vice'""), (""'load'"", ""'lol'"")]"	0	
