ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	soil irrigation plant yield crop field growth irrigate drought application	3.0	2.0	3.0	0		3	"[(""'plant'"", ""'crop'""), (""'irrigation'"", ""'irrigate'""), (""'field'"", ""'crop'"")]"	0	
1	irrigation management river basin efficiency policy reservoir allocation project deficit	3.0	2.0	3.0	0		3	"[(""'irrigation'"", ""'management'""), (""'river'"", ""'basin'""), (""'reservoir'"", ""'basin'"")]"	0	
2	rice paddy field lowland yield cultivation farmer crop irrigation fertilizer	3.0	2.0	3.0	0		1	"[(""'rice'"", ""'paddy'"")]"	0	
3	salinity saline nacl salinization soil irrigation sodium groundwater chloride crop	3.0	2.0	3.0	0		5	"[(""'salinity'"", ""'saline'""), (""'saline'"", ""'nacl'""), (""'salinization'"", ""'soil'""), (""'sodium'"", ""'groundwater'""), (""'chloride'"", ""'groundwater'"")]"	0	
4	farmer agricultural crop rural farming livelihood climate poverty country adaptation	3.0	2.0	3.0	2	climate poverty	3	"[(""'farmer'"", ""'farming'""), (""'agricultural'"", ""'farming'""), (""'rural'"", ""'country'"")]"	0	
5	model datum rmse yield policy regression estimate coefficient project prediction	3.0	2.0	3.0	1	policy	4	"[(""'model'"", ""'prediction'""), (""'model'"", ""'estimate'""), (""'datum'"", ""'yield'""), (""'rmse'"", ""'estimate'"")]"	0	
6	seed root plant genotype cultivar germination stem harvest length population	3.0	2.0	3.0	0		3	"[(""'seed'"", ""'plant'""), (""'root'"", ""'plant'""), (""'stem'"", ""'plant'"")]"	0	
7	microbial pathogen bacteria antibiotic salmonella rhizosphere fungicide coliform microorganism fungus	3.0	2.0	3.0	0		3	"[(""'bacteria'"", ""'microorganism'""), (""'salmonella'"", ""'coliform'""), (""'fungus'"", ""'microorganism'"")]"	0	
8	groundwater aquifer recharge basin region irrigation geochemical river alluvial arid	3.0	2.0	3.0	2	geochemical river	1	"[(""'aquifer'"", ""'basin'"")]"	0	
9	herbicide pesticide pest insect insecticide application infestation spray crop weevil	3.0	2.0	3.0	2	application crop	3	"[(""'pest'"", ""'insect'""), (""'insect'"", ""'insecticide'""), (""'crop'"", ""'application'"")]"	0	
10	nitrate nitrogen fertilizer ammonium soil groundwater nitrification ammonia nh₃ irrigation	3.0	2.0	3.0	0		2	"[(""'ammonium'"", ""'ammonia'""), (""'nitrate'"", ""'nitrogen'"")]"	0	
11	wastewater sewage effluent contamination sludge contaminant irrigate irrigation pollutant disposal	3.0	2.0	3.0	0		6	"[(""'wastewater'"", ""'effluent'""), (""'wastewater'"", ""'sludge'""), (""'sewage'"", ""'effluent'""), (""'sewage'"", ""'sludge'""), (""'effluent'"", ""'contaminant'""), (""'effluent'"", ""'pollutant'"")]"	0	
12	wheat grain yield spike cultivar spring barley grow irrigation crop	3.0	2.0	3.0	0		2	"[(""'wheat'"", ""'barley'""), (""'grain'"", ""'crop'"")]"	0	
13	evapotranspiration evaporation estimate crop penman coefficient irrigation precipitation soil requirement	3.0	2.0	3.0	2	irrigation precipitation	2	"[(""'evaporation'"", ""'evapotranspiration'""), (""'irrigation'"", ""'requirement'"")]"	0	
14	fruit apple weight harvest yield orchard irrigation ripen acidity plant	3.0	2.0	3.0	1	'weight'	2	"[(""'apple'"", ""'fruit'""), (""'harvest'"", ""'yield'"")]"	0	
15	cotton lint seed irrigation plant fibre crop grow yarn cultivar	3.0	2.0	3.0	0		7	"[(""'cotton'"", ""'lint'""), (""'cotton'"", ""'fibre'""), (""'cotton'"", ""'crop'""), (""'seed'"", ""'plant'""), (""'seed'"", ""'crop'""), (""'irrigation'"", ""'plant'""), (""'yarn'"", ""'fibre'"")]"	0	
16	conductance photosynthetic chlorophyll fluorescence transpiration plant photochemical stomata drought photosystem	3.0	2.0	3.0	0		1	"[(""'plant'"", ""'photosystem'"")]"	0	
17	temperature rainfall climate precipitation weather datum meteorological humidity region forecast	3.0	2.0	3.0	1	datum	8	"[(""'temperature'"", ""'weather'""), (""'temperature'"", ""'humidity'""), (""'temperature'"", ""'forecast'""), (""'rainfall'"", ""'precipitation'""), (""'climate'"", ""'weather'""), (""'climate'"", ""'meteorological'""), (""'precipitation'"", ""'weather'""), (""'region'"", ""'weather'"")]"	0	
18	maize corn yield wheat irrigation summer crop field soil plant	3.0	2.0	3.0	0		2	"[(""'maize'"", ""'corn'""), (""'wheat'"", ""'crop'"")]"	0	
19	lake wetland pond fishery habitat aquaculture ecosystem trout landscape freshwater	3.0	2.0	3.0	1	landscape	4	"[(""'lake'"", ""'pond'""), (""'lake'"", ""'freshwater'""), (""'pond'"", ""'freshwater'""), (""'fishery'"", ""'aquaculture'"")]"	0	
