	text_id	text	label	label_id
0	1	fax modem card sell mail	misc.forsale	0
1	2	run server server install run add	comp.windows.x	1
2	3	live part lead wait important remember judge judge guess close situation listen statement sense regard passage remember letter church people body talk work translation lack concern make sick point throw faith faith catch meaning offer explanation fire cold make aware child eternal	soc.religion.christian	2
3	4	doesn pain deserve die lie rape	talk.religion.misc	3
4	5	sale mile good condition good condition player component speaker mount door car maintain clean good car solid body spot surface spot touch make car problem firm car average cost interested call email	rec.autos	4
5	6	post real disease disease question case active culture reduce hear work mechanism common minor common major evidence	sci.med	5
6	7	execute future criminal activity compare rate black white commit crime black commit crime perfectly fair system black represent note black white crime rate thing economic thing poor people commit crime black poor reduce minority increase minority	talk.politics.misc	6
7	8	citizen identify religious tradition religious category argument make people subject simply faith separate feel argument accept valid reject reason convert turkish rule ago present generation clue actual fact feel draw national feel separate argument carry weight long feel separate national group end debate simply relevant case date muslim category time result sequence decision past decade recognize group resolution declare separate nation eventually muslim choice form comparison national category demonstrate feel minority feel choose result show category choose choose group choose muslim term rest world present context talk group separate national reason historical religion play small role part culture general area simply religious political religious group security people fine point fact religious	talk.politics.mideast	7
8	9	miss part thread switch line level speaker level audio line level single chip audio switch switch channel input channel output function speaker level mind	sci.electronics	8
9	10	regularly schedule news reading bring message department statistic pass final individual player stat post day filter average game goal assist point penalty minute average pro play league season feel write real code odd list pass list time player small percentage difference category close game goal assist point leave average player pass list include top fly title kind	rec.sport.hockey	9
10	11	people silly team win world expect put good team baseball series bad team baseball bad team win game time win series odd	rec.sport.baseball	10
11	12	write nice discussion tank tank fire main gun claim claim reply repeat context hear support claim tank issue tank fire main gun claim tank claim fire main gun fire effective continue back claim defend spend minute library today find computer don card minute find victim page death age tank fire turn direction shot machine gun mount tank fire building short round front building tank gun tear huge hole side main gun main gun entire point admit wrong picture tank fire main gun picture building damage shell read report tank fire bet dollar win hand account national shoot shit convince tank shell american city reply bother read wouldn long find report tank fire necessarily main gun read tank fire main gun simply event place common knowledge year american military shell tank american city black big news read troop fire doubt fire fire tear gas perfectly fire wouldn make claim expect convince open mind eye research convince find find claim launch rocket building chance research filter kick tank fire main gun people past half decade claim manage cover mind open good prefer live reality reality find hard tank shell fire	talk.politics.guns	11
12	13	time sign surely remember week end happy long sign year generally agree policy avoid long term contract pitcher day pitcher sign year deal leave top free agent pitcher accept great risk idea option year deal automatic amount	rec.sport.baseball	10
13	14	depend mode single bit input block bit error percent chance output bit word essentially turn output block random number encrypt datum mode bit block affect block follow properly good idea kind error correction system bit	sci.crypt	12
14	15	net design country involve system	talk.politics.mideast	7
15	16	order mouse remove label bottom apple find screw side haven run label assume screw question	comp.sys.mac.hardware	13
16	17	write find follow information prevent doctor information lead age good health year ago time controller restrict raise head treatment effective damage repair month ago repair technique fix problem repair pain originally bad addition trouble include doctor inform pre condition call avoid necessarily basically information	sci.med	5
17	18	item sale package buy give company attempt order receive package late company refuse package back truth back money back close package camera good picture wide case film instruction video create effect regular film package additional good user special rate person night ground transfer tax include provide day night ground transfer tax include good location travel place provide day night ground transfer tax include usual pay package cold make offer detail provide request sell package care sell camera high interested camera treat receive letter mail box select part trust package give bother call back interested cheap price receive package week wait month final package credit card number pay interest credit card company spend cheap price interested reply make offer offer send package day morning detail give contact	misc.forsale	0
18	19	hear commercial package convert source code source code problem package find package free shareware thing find buy advance	comp.windows.x	1
19	20	find program scsi bus point direction low level net hold manufacturer make attack ground level send scsi command fax computer disclaimer remember hear	comp.sys.ibm.pc.hardware	14
20	21	good job remove collect battery terminal battery long time	sci.electronics	8
21	22	scan color image fine screen convert file window color light white idea	comp.graphics	15
22	23	read write disk disk extra hardware disk read write drive software	comp.os.ms-windows.misc	16
23	24	back bind board bag include recently firm	misc.forsale	0
24	25	simple surprised subject beat death month quick clear newsgroup read fact theory hurt talk important thing man male easy	talk.religion.misc	3
25	26	guy work station current title open machine close word host title open host close answer answer faq news feed lose lot article haven faq check start command line option set label window title set window title title window title equivalent window title escape sequence change thing fly basic escape sequence text character depend set window title text desire label command set window title title set title title set window title title exact depend command work system shell show system shell user build character string sequence update show current directory shell escape sequence command put escape sequence string	comp.windows.x	1
26	27	consistent product interesting stuff doesn contact air tank compound run tank damage gas line gas spread general add reason reach flame fire pretty common area true track record incident bad people follow policy make claim evidence evidence tend story	talk.politics.guns	11
27	28	stop hold problem official history homosexuality long power red establish history wrong point history read make mention homosexuality point party cover official history fact plan mention homosexuality history read mention doubt good interest admit world hand man homosexual miss reference make charge homosexuality night long prove false truth advantage case deal homosexuality forget post alt charge homosexuality accord read evidence talk make person long power common knowledge back time evidence doctor newspaper world obvious actual doctor evidence matter people involve matter point make false homosexuality point establish history proof fall make simply thing agree suspect notion bad people homosexual people feeling individual homosexuality attempt homosexual fear lie official history good accept account subject write source subject student history write track source time limited doubt exist evidence waste time research give evidence earth guess suggest trust popular write popular rule provide read provide source detail place start assume truth bet folk subject bit forget god responsible string newsgroup subject	talk.religion.misc	3
28	29	relate moral issue writing book book call book write wife write doctrine possibly issue personal life write wife answer	soc.religion.christian	2
