ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	tell fuck promise follow dignity machine glass prostitution late stuff	1.2	2.6	2.0	2	'fuck' 'prostitution'	3	[('tell', 'promise'), ('follow', 'late'), ('machine', 'stuff')]	2	'fuck' 'prostitution'
1	diggin dosen't mandatory mcdonalds crash sec o'connell deodorant gal kinda	1.8	2.6	2.0	1	'deodorant'	2	"[(""'diggin'"", ""'crash'""), (""'sec'"", ""'o\\'connell'"")]"	2	'dosen't' 'o'connell'
2	sec write antother know guy bishop list tail tomorrow self	1.8	2.2	2.0	2	'tomorrow' 'list'	3	"[(""'sec'"", ""'self'""), (""'tomorrow'"", ""'guy'""), (""'list'"", ""'tail'"")]"	1	'antother'
3	write hope holiday pre cause woman eve excuse maybe gogh	2.2	2.2	2.0	1	'gogh'	2	"[(""'write'"", ""'gogh'""), (""'hope'"", ""'eve'"")]"	1	'gogh'
4	post book pizza appreciate sub vlog buy suck game number	2.2	1.8	2.2	3	'book' 'appreciate' 'number'	1	"[(""'post'"", ""'vlog'"")]"	1	'vlog'
5	thank hoe base hot hispanic hater shine pierce accept stay	2.2	2.2	2.0	2	'hater' 'pierce'	3	"[(""'accept'"", ""'hater'""), (""'hot'"", ""'base'""), (""'hispanic'"", ""'stay'"")]"	3	'hoe' 'hater' 'pierce'
6	quit eve hard expand tweet guy game quote destroy workout	2.6	2.2	2.0	1	'workout'	2	"[(""'quit'"", ""'destroy'""), (""'tweet'"", ""'quote'"")]"	1	'eve'
7	healthy boyfriend eve past thank exercise offer pic exactly ppl	2.0	2.4	2.0	3	'boyfriend' 'eve' 'pic'	2	"[(""'boyfriend'"", ""'girlfriend'""), (""'pic'"", ""'picture'"")]"	2	'eve' 'ppl'
8	justin stick grass consideration create smash loosen theirs nomeat folk	1.8	2.2	2.0	2	'justin' 'nomeat'	2	"[(""'create'"", ""'loosen'""), (""'theirs'"", ""'mine'"")]"	1	'nomeat'
9	close blake lively progress difference support traditional realistic home pizza	2.6	1.8	2.6	2	'pizza' 'blake'	1	"[(""'close'"", ""'home'"")]"	1	'pizza'
10	fun share set goal eve month literally idgaf sleepy tour	1.8	3.0	2.0	1	'sleepy'	3	"[(""'fun'"", ""'share'""), (""'set'"", ""'tour'""), (""'goal'"", ""'eve'"")]"	0	
11	supper smoke club hope cigarette quit judge suck newyear blog	2.0	1.8	2.0	3	'club' 'blog' 'newyear'	2	"[(""'smoke'"", ""'cigarette'""), (""'quit'"", ""'suck'"")]"	1	'suck'
12	eve resolve quit gregory travel publish end bad peck craigslist	1.8	2.2	2.0	2	'gregory' 'peck'	1	"[(""'eve'"", ""'end'"")]"	0	
13	actually workout joke fit come chastity market learn deli bring	2.2	2.2	2.0	2	'chastity' 'deli'	0	[]	1	'chastity'
14	gym game school minute tell tbh book hold past hate	1.8	2.4	2.0	2	'tbh' 'minute'	2	"[(""'gym'"", ""'school'""), (""'minute'"", ""'past'"")]"	1	'tbh'
15	way crush goals figure priority clutter medium popular non beginnings	2.6	2.0	2.0	1	'crush'	0	[]	1	'non'
16	twin place maybe famous rule hair strong twitter tone lesson	1.8	2.0	2.4	2	'hair' 'twitter'	5	"[(""'twin'"", ""'twice'""), (""'twin'"", ""'twin'""), (""'hair'"", ""'twin'""), (""'hair'"", ""'strong'""), (""'hair'"", ""'tone'"")]"	1	'twitter'
17	remember music ago active lose date gain finally wait help	2.4	2.0	2.2	2	'remember' 'finally'	2	"[(""'remember'"", ""'lose'""), (""'wait'"", ""'finally'"")]"	2	'ago' 'lose'
18	rose tail blessing afternoon publish south glue krazy animalsanctuary girder	2.4	2.6	2.0	1	'krazy'	2	"[(""'rose'"", ""'girder'""), (""'krazy'"", ""'sanctuary'"")]"	2	'krazy' 'animalsanctuary'
19	conversation picture hard languagelearne use favorite negative rehab balance complain	2.0	1.8	2.0	3	'hard' 'rehab' 'picture'	3	"[(""'conversation'"", ""'picture'""), (""'languagelearne'"", ""'rehab'""), (""'hard'"", ""'balance'"")]"	1	'languagelearne'
20	twitter joke spend connected future cause bitchy goals loudly discovery	2.6	2.4	2.0	2	'loudly' 'bitchy'	0	[]	1	'bitchy'
21	faithfully watch voter sex morrre gadget thad ago nov hair	1.2	3.0	2.0	2	'sex' 'hair'	5	"[('""faithfully""', '""ago""'), ('""nov""', '""watch""'), ('""voter""', '""thad""'), ('""sex""', '""hair""'), ('""morrre""', '""more""')]"	2	'morrre' 'thad'
22	okay live negative dog sure actually minded lol old spirit	1.8	2.2	2.0	2	'lol' 'dog'	1	"[(""'live'"", ""'dog'"")]"	1	'lol'
23	way mandatory embrace adult jean public check date sip ambition	2.2	2.0	2.6	2	'date' 'sip'	1	"[(""'way'"", ""'date'"")]"	0	
24	stay happen exercise man buy beer yeah zona hungover positive	1.6	1.6	2.0	1	'zona'	2	"[(""'stay'"", ""'zona'""), (""'buy'"", ""'beer'"")]"	1	'zona'
