ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	management resource allocation optimal decision plan practice conservation demand supply	3.0	2.0	3.0	0		3	"[(""'management'"", ""'plan'""), (""'resource'"", ""'allocation'""), (""'demand'"", ""'supply'"")]"	0	
1	drip irrigation sprinkler furrow schedule frequency subsurface regime deficit sdi	3.0	2.0	3.0	1	sdi	3	"[(""'irrigation'"", ""'sprinkler'""), (""'irrigation'"", ""'subsurface'""), (""'irrigation'"", ""'regime'"")]"	0	
2	mean value range coefficient method correlation variation error time square	3.0	2.0	3.0	2	time square	2	"[(""'mean'"", ""'value'""), (""'correlation'"", ""'coefficient'"")]"	0	
3	drought tolerance stress tolerant salt genotype heat reproductive moderate trait	3.0	2.0	3.0	2	genotype reproductive	4	"[(""'drought'"", ""'stress'""), (""'tolerant'"", ""'stress'""), (""'tolerant'"", ""'moderate'""), (""'salt'"", ""'stress'"")]"	0	
4	water supply efficiency demand consumption footprint fresh wue saving requirement	3.0	2.0	3.0	1	wue	3	"[(""'supply'"", ""'requirement'""), (""'demand'"", ""'requirement'""), (""'consumption'"", ""'saving'"")]"	0	
5	rice emission cultivation paddy flood lowland n₂o cropping awd methane	3.0	2.0	3.0	0		3	"[(""'rice'"", ""'paddy'""), (""'emission'"", ""'methane'""), (""'emission'"", ""'n₂o'"")]"	0	
6	analysis spatial distribution structure network component cluster reservoir principal function	3.0	2.0	3.0	1	'function'	3	"[(""'analysis'"", ""'function'""), (""'spatial'"", ""'distribution'""), (""'structure'"", ""'network'"")]"	1	'reservoir' - While a valid word
7	isolate detect strain bacterial specie disease sequence spp host infection	3.0	2.0	3.0	2	host infection	5	"[(""'bacterial'"", ""'strain'""), (""'bacterial'"", ""'specie'""), (""'bacterial'"", ""'infection'""), (""'disease'"", ""'infection'""), (""'host'"", ""'infection'"")]"	0	
8	line cultivar variety hybrid environment selection genetic breeding trait location	3.0	2.0	3.0	0		3	"[(""'cultivar'"", ""'variety'""), (""'cultivar'"", ""'hybrid'""), (""'genetic'"", ""'breeding'"")]"	0	
9	research state scheme project knowledge information program technology institute problem	3.0	2.0	3.0	0		3	"[(""'research'"", ""'project'""), (""'knowledge'"", ""'information'""), (""'program'"", ""'scheme'"")]"	0	
10	crop requirement rotation cover residue evapotranspiration coefficient maize cropping cotton	3.0	2.0	3.0	2	'coefficient' 'evapotranspiration'	1	"[(""'maize'"", ""'cropping'"")]"	1	'coefficient' - While a valid word
11	farm farmer benefit cost farming income adoption access price labor	3.0	2.0	3.0	0		2	"[(""'farm'"", ""'farming'""), (""'farmer'"", ""'farming'"")]"	0	
