ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	concentration control nutrient solution weed germination herbicide nacl spray foliar	3.0	2.0	3.0	2	nacl specifically relating to plant growth	1	"[(""'nacl'"", ""'solution'"")]"	0	
1	area source variability runoff district sediment cultivate expansion cropland width	2.0	2.0	3.0	0		1	"[(""'area'"", ""'width'"")]"	0	
2	irrigate wastewater treat effluent reuse sewage freshwater industrial reclaimed municipal	3.0	2.0	3.0	2	industrial municipal	2	"[(""'wastewater'"", ""'sewage'""), (""'reclaimed'"", ""'reuse'"")]"	0	
3	land food risk vegetable metal country human health heavy contamination	2.0	2.0	3.0	0		1	"[(""'contamination'"", ""'heavy'"")]"	0	
4	root dry leaf fruit number weight leave matter shoot stem	3.0	2.0	3.0	2	ˈnumber ˈweight	1	"[(""'leave'"", ""'leaf'"")]"	0	
5	site variation maximum relationship daily seasonal indicator age cucumber eto	2.0	2.0	3.0	1	cucumber	1	"[(""'eto'"", ""'eto'"")]"	0	
6	stress content activity sugar moderate chlorophyll soluble approximately antioxidant enzyme	2.0	2.0	3.0	0		1	"[(""'soluble'"", ""'approximately'"")]"	0	
7	different analysis sample test component group sensitivity extraction cluster sampling	2.0	2.0	3.0	1	cluster	1	"[(""'sample'"", ""'sampling'"")]"	0	
8	water efficiency resource wue consumption depletion footprint right iwue allocate	3.0	2.0	3.0	0		1	"[(""'wue'"", ""'iwue'"")]"	0	
9	soil depth organic moisture layer profile conductivity infiltration fraction soc	3.0	2.0	3.0	3	ˈconductivity ˈinfiltration ˈfraction	1	"[(""'soil'"", ""'soc'"")]"	0	
10	level non irrigated pattern cycle volume mass normal flush greece	2.0	2.0	3.0	0		1	"[(""'normal'"", ""'non'"")]"	0	
11	production region arid problem suitable climatic dryland hot salinization humid	2.0	2.0	3.0	0		1	"[(""'arid'"", ""'dryland'"")]"	0	
12	zone clay sandy loam sub sand lysimeter fine mixed kg⁻¹	3.0	1.0	3.0	2	ˈsubˈ ˈkg⁻¹ˈ	1	"[(""'sand'"", ""'sandy'"")]"	0	
13	respectively regime ha⁻¹ ecosystem saving gain mid million hectare ton	2.0	2.0	2.0	4	ˈha⁻¹ 'mid' 'million' 'ton'	1	"[(""'hectare'"", ""'ton'"")]"	0	
14	ratio benefit storage return operation sugarcane power pump generation punjab	2.0	2.0	3.0	0		1	"[(""'power'"", ""'generation'"")]"	0	
15	rate net structure transpiration hydraulic stomatal transport conductance photosynthetic regulation	3.0	2.0	3.0	1	ˈnet	2	"[(""'hydraulic'"", ""'transport'""), (""'net'"", ""'conductance'"")]"	0	
16	high low salinity record evaporation alfalfa class mixture turfgrass white	2.0	2.0	3.0	0		1	"[(""'high'"", ""'low'"")]"	0	
17	irrigation surface drip drainage saline canal deep subsurface shallow table	3.0	2.0	3.0	1	ˈtable	2	"[(""'surface'"", ""'subsurface'""), (""'shallow'"", ""'deep'"")]"	0	
18	average type biomass cover annual potato event fish pond movement	2.0	2.0	3.0	0		1	"[(""'average'"", ""'type'"")]"	0	
19	increase decrease population decline habitat california stock incorporation agroecosystem fixation	2.0	2.0	3.0	3	ˈstock incorporation fixation	2	"[(""'increase'"", ""'fixation'""), (""'decrease'"", ""'decline'"")]"	0	
20	quality loss information ground form suitability vineyard county fuel century	2.0	2.0	3.0	4	'vineyard' 'county' 'fuel' 'century'	1	"[(""'county'"", ""'ground'"")]"	0	
21	seed cotton planting date furrow mulch row interval fertigation week	3.0	2.0	3.0	2	fertigation week	1	"[(""'row'"", ""'furrow'"")]"	0	
22	application apply fertilizer plot design manure recommend mineral release block	3.0	2.0	3.0	1	ˈblɒk	1	"[(""'application'"", ""'apply'"")]"	0	
23	crop research rainfall requirement winter month schedule optimum june supplemental	3.0	2.0	3.0	3	ˈmonth ˈjune ˈschedule	1	"[(""'june'"", ""'month'"")]"	0	
24	grow season wet tillage summer spring conventional residue end rotation	3.0	2.0	3.0	0		1	"[(""'spring'"", ""'summer'"")]"	0	
25	treatment cultivar acid oil protein sensor extract compound tuber sunflower	2.0	2.0	3.0	0		1	"[(""'tuber'"", ""'sunflower'"")]"	0	
26	reduce project sprinkler pressure single contribution intensity damage place peak	2.0	2.0	3.0	3	ˈsingleˈ ˈplaceˈ ˈpeakˈ	1	"[(""'peak'"", ""'intensity'"")]"	0	
27	development farm local farming scheme product income household market sector	3.0	2.0	3.0	2	ˈmarket ˈsector	1	"[(""'farm'"", ""'farming'"")]"	0	
28	change groundwater climate river flow basin aquifer reservoir lake adaptation	3.0	2.0	3.0	0		1	"[(""'aquifer'"", ""'groundwater'"")]"	0	
29	potential time term scale energy available medium receive pot consume	2.0	2.0	3.0	1	ˈpɒt	1	"[(""'pot'"", ""'potential'"")]"	0	
30	agricultural factor landscape wetland watershed tank guideline transformation section shape	2.0	2.0	3.0	1	ˈsection	1	"[(""'section'"", ""'shape'"")]"	0	
31	value estimate range mean measurement coefficient correlation standard equation prediction	3.0	2.0	3.0	1	ˈprediction	2	"[(""'mean'"", ""'estimate'""), (""'range'"", ""'measurement'"")]"	0	
32	drought environment salt variety genotype tolerance trait line resistance hybrid	3.0	2.0	3.0	1	ˈhaɪbrɪd	3	"[(""'genotype'"", ""'line'""), (""'trait'"", ""'tolerance'""), (""'resistance'"", ""'tolerance'"")]"	0	
33	temperature period relative precipitation canopy trend flux weather air heat	3.0	2.0	3.0	2	ˈperiod ˈrelative	1	"[(""'heat'"", ""'temperature'"")]"	0	
34	produce community disease detect microbial removal diversity bacteria lettuce pathogen	3.0	2.0	3.0	2	lettuce diversity	1	"[(""'bacteria'"", ""'microbial'"")]"	0	
35	method variable size location set state forest like particle plantation	2.0	2.0	3.0	4	forest like particle plantation	1	"[(""'plantation'"", ""'forest'"")]"	0	
36	base datum index difference evapotranspiration spatial green vegetation network regression	2.0	2.0	3.0	0		1	"[(""'spatial'"", ""'index'"")]"	0	
37	great parameter reduction distribution cost relate discharge waste initial catchment	2.0	2.0	3.0	3	ˈdischarge ˈwaste ˈcatchment	1	"[(""'waste'"", ""'discharge'"")]"	0	
38	management farmer practice technology corn soybean conservation adoption bean knowledge	3.0	2.0	3.0	2	ˈtechnology ˈknowledge	2	"[(""'corn'"", ""'soybean'""), (""'bean'"", ""'soybean'"")]"	0	
39	growth deficit stage harvest early late vegetative flowering pre post	3.0	2.0	3.0	0		3	"[(""'pre'"", ""'post'""), (""'early'"", ""'late'""), (""'vegetative'"", ""'flowering'"")]"	0	
40	density capacity reach forage rain feed retention erosion behavior proportion	2.0	2.0	3.0	0		1	"[(""'density'"", ""'proportion'"")]"	0	
41	year specie grass hydrological head slope legume grassland native perennial	3.0	2.0	3.0	4	ˈyear ˈhead ˈslope ˈlegume	1	"[(""'grass'"", ""'grassland'"")]"	1	"specie:** Should be ""species"". It's a common misspelling.
* **hydrological:** While a valid word"
42	field emission carbon greenhouse flood global paddy degree co₂ province	3.0	2.0	3.0	3	̀paddy' 'province' 'degree'	1	"[(""'carbon'"", ""'co₂'"")]"	1	co₂**: While commonly used
43	rice maize cropping cultivation rainfed lowland upland fallow cereal aerobic	3.0	2.0	3.0	1	fallow	1	"[(""'cropping'"", ""'cultivation'"")]"	0	
44	plant uptake substrate tissue pepper symptom host strawberry micronutrient translocation	3.0	2.0	3.0	2	ˈpepper ˈstrawberry	1	"[(""'host'"", ""'substrate'"")]"	0	
45	day input tomato limit percent recovery vine culture open output	2.0	2.0	3.0	3	ˈɪnput ˈaʊtpʊt ˈlɪmɪt	1	"[(""'input'"", ""'output'"")]"	0	
46	total nitrogen process chemical fertilization nitrate leach phosphorus sodium point	3.0	2.0	3.0	2	ˈpoint ˈsodium	1	"[(""'nitrogen'"", ""'nitrate'"")]"	0	
47	yield grain wheat sorghum correlate unit percentage straw barley gap	3.0	1.8	3.0	0		3	"[(""'grain'"", ""'wheat'""), (""'grain'"", ""'barley'""), (""'grain'"", ""'sorghum'"")]"	0	
48	tree seedling orchard olive frequency old rootstock apple mature citrus	3.0	2.0	3.0	2	ˈfrequencyˈ ˈoldˈ	1	"[(""'apple'"", ""'citrus'"")]"	0	
49	model supply demand simulation scenario policy decision function optimal regional	3.0	2.0	3.0	2	function optimal	1	"[(""'optimal'"", ""'function'"")]"	0	
