ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	wanna support city excuse york dslr penny flip rhino photograph	1.0	3.0	3.0	3	'excuse' 'flip' 'wanna'	0	[]	3	'wanna' 'flip' 'rhino'
1	lose weight kick excited positive imma thought reading lbs effect	2.0	2.4	2.4	3	'kick' 'thought' 'reading'	0	[]	1	'imma'
2	hair stuff effort drive pretend peace business high load force	1.0	2.8	3.0	1	'stuff'	0	[]	9	'stuff' 'effort' 'drive' 'pretend' 'peace' 'business' 'high' 'load' 'force'
3	watch netflix kill episode friends pet eye season head stack	1.2	2.6	2.2	3	kill head stack	0	[]	2	'kill' 'stack'
4	today listen sugar cookie homeless cross rule cheek disappoint low	1.0	3.0	3.0	6	'today' 'cross' 'rule' 'cheek' 'disappoint' 'low'	0	[]	0	
5	nice school weird neighbor small fix manage express compassion poorly	1.6	3.0	3.0	3	'fix' 'manage' 'express'	0	[]	0	
6	daily lie everybody community party root refer stay dress west	1.0	3.0	3.0	3	'root' 'refer' 'west'	0	[]	0	
7	drink coffee head kiss ball screw cold pen pot case	1.0	3.0	3.0	5	'head' 'screw' 'pen' 'pot' 'case'	0	[]	4	'head' 'screw' 'cold' 'case'
8	cotton umm jointhefamily consistent search newjob dont dirt submit bedscroll	1.0	3.0	1.0	4	'umm' 'jointhefamily' 'dirt' 'bedscroll'	0	[]	3	'umm' 'jointhefamily' 'bedscroll'
9	healthy travel increase inspiration patient chance emotional smoothie physical brown	2.0	3.0	3.0	2	'patient' 'chance'	0	[]	1	'brown'
10	quit fast food lmfao sign star procrastination potato couch cigarette	1.0	2.4	3.0	2	'lmfao' 'cigarette'	0	[]	2	'lmfao' 'cigarette'
11	pray account hug somebody blessing twitter engage tennis resolut touch	1.0	3.0	3.0	3	'twitter' 'engage' 'tennis'	0	[]	1	'resolut'
12	girl kind pack notice beautiful vacation fam material history prob	1.0	3.0	3.0	3	'pack' 'material' 'prob'	0	[]	4	'pack' 'material' 'history' 'prob'
13	long shoe sock miss embrace paper wash instead hurt mind	1.0	3.0	3.0	3	'miss' 'embrace' 'mind'	0	[]	0	
14	game food job list feel seriously sad vow suck add	1.0	3.0	3.0	2	'list' 'add'	0	[]	3	'list' 'vow' 'add'
15	finish draw breakfast adult meal intensely novel write excited run	1.0	3.0	3.0	2	'intensely' 'novel'	0	[]	4	'intensely' 'novel' 'excited' 'run'
16	thank look morning video routine podcast eve check solidify ultron	1.0	3.0	3.0	1	'ultron'	1	"[(""'thank'"", ""'check'"")]"	1	'ultron'
17	bad wait super complain attention realize situation jump january pay	1.0	3.0	3.0	2	'jump' 'january'	0	[]	0	
18	yesterday app arm expect remind delete button financially false facebook	1.0	3.0	3.0	2	'arm' 'false'	0	[]	2	'arm' 'false'
19	post photo sound upset meat tomorrow goal gunna today yoga	1.0	3.0	3.0	4	'sound' 'upset' 'gunna' 'meat'	0	[]	3	'sound' 'upset' 'gunna'
20	smell code soul countdown succeed judgmental document script resoluti wear	1.0	3.0	1.2	2	'soul' 'judgmental'	0	[]	3	'soul' 'judgmental' 'resoluti'
21	place boyfriend important store email welcome midnight newsletter unsubscribe kill	1.0	3.0	3.0	1	'kill'	0	[]	1	'kill'
22	bacon ground article burger desk real fish organized beyonc obama	1.0	3.0	3.0	4	'article' 'desk' 'organized' 'obama'	0	[]	4	'article' 'real' 'obama' 'beyonc'
23	buy forward dance adventure look consume till master honor honest	1.0	3.0	3.0	2	'forward' 'till'	0	[]	0	
24	gym visit achieve grateful quote stupid text tomorrow reply vision	1.0	3.0	3.0	2	'stupid' 'text'	0	[]	2	'stupid' 'vision'
25	live improve moment christ debt bless fruit center quality family	2.0	2.4	3.0	1	'debt'	0	[]	0	
