ID	Topic words
0	team cup toronto watch fan quebec sport chicago vancouver adams
1	use right time like good mean question problem thing state
2	god believe belief question exist claim true christians idea truth
3	svhs numner matting crystalize recommene toasterhead bequidistant itor mtd craftsman
4	disease concern response newsgroup kent easter translator patient forum science
5	numner zipws mtd anthology bequidistant specualtion carlsbad matting recommene archiver
6	svhs matting numner crystalize corporeal toasterhead itor cdq disemination anthology
7	numner sceptic syn probablity inb shadow daresbury corporeal baraff dresden
8	know like time want think tell people thing look come
9	sale monitor offer card printer appreciate screen video meg upgrade
10	thank appreciate advance pointer anybody ini suggestion utility greatly fix
11	sale new offer sell price win shipping player van stevens
12	numner anthology matting crystalize bequidistant dispell mtd toasterhead carlsbad itor
13	year think want work talk cost program people pay care
14	government information state san year new police political francisco law
15	think use bit question people dos mov mean right way
16	key chip use number bit clipper message encrypt algorithm public
17	svhs matting crystalize toasterhead itor cdq disemination orientiation sceptic welbon
18	rear luck chicago somebody toronto clean shop btw expensive hot
19	use file run program support like available ftp need mail
20	god jesus man life day christ thing come world church
21	time good like way year problem cause result think help
22	sexual concentrate behavior delete apply atheists fbi ignorant brain counterexample
23	numner matting svhs mtd antecdent crystalize carlsbad welbon toasterhead dispell
24	engine car ride big mile buy helmet light turn hit
25	thank advance sale printer interested appreciate mail monitor display print
26	team game year play player good point run bad second
27	window use set include software windows graphic file image program
28	numner ulman revisited structures sceptic interection abord corporeal tierra svhs
29	drive problem disk card hard ram motherboard floppy run use
30	people way kill long close man turkish come child massacre
31	window thank file font help windows advance application appreciate graphic
32	uhhh numner mtd carlsbad dispell reasoable corporeal alunatic myronreuger revisited
33	card video memory color mac bus mouse monitor drive problem
34	numner svhs matting dispell infirmity crystalize jaggie toasterhead lamentation probablity
35	numner probablity mtd dispell zipws carlsbad recommene myronreuger jaggie specualtion
36	max chz mmw air mkw nkh urmw mnk evz kir
37	space post mail nasa available datum ames send orbit jpl
38	numner svhs probablity matting crystalize specualtion toasterhead itor mtd inclusive
39	svhs numner matting crystalize toasterhead itor revisited cdq disemination orientiation
40	chip fast speed scsi clipper drive bit car phone buy
41	welbon numner syn mtd runme carlsbad matting myronreuger crystalize programl
42	thank cica advance hello anybody appreciate terminal convert thanx download
43	svhs matting numner crystalize toasterhead itor cdq disemination orientiation dispell
44	gun crime control government case criminal state law country israel
45	israel jews religion peace state claim islam country religious life
46	interested mail paper appreciate internet thank response picture company reply
47	numner specualtion corporeal mtd anthology witrh carlsbad suppositions shackle myronreuger
48	numner probablity mtd carlsbad myronreuger syn inclusive worldtoolkit runme simation
49	msg food sensitivity sex eat effect taste allah reaction flavor
