ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	action science national program department plan knowledge transfer state local	2.0	2.0	3.0	0		1	"[(""'state'"", ""'local'"")]"	0	
1	actual series station fao meteorological classification weather eto aerial uav	2.0	2.0	3.0	1	ˈfao	1	"[(""'aerial'"", ""'uav'"")]"	1	fao**: While FAO *is* an abbreviation (Food and Agriculture Organization)
2	square mean correlation coefficient relationship error deviation length correlate linear	3.0	2.0	3.0	1	ˈlength	2	"[(""'correlation'"", ""'correlate'""), (""'mean'"", ""'deviation'"")]"	0	
3	expansion degradation cultivate cropland urban farmland arable land area forest	3.0	2.0	3.0	2	urban forest	2	"[(""'land'"", ""'arable'""), (""'cropland'"", ""'farmland'"")]"	0	
4	feed import product milk export industry cultivation dairy fuel cycle	2.0	2.0	3.0	2	ˈfuel ˈcycle	1	"[(""'import'"", ""'export'"")]"	0	
5	conventional practice rice weed paddy pest cultivation pesticide field technology	3.0	2.0	3.0	1	ˈtechnology	2	"[(""'paddy'"", ""'rice'""), (""'pest'"", ""'weed'"")]"	0	
6	shallow seawater origin isotopic suitability dominant rock isotope district hard	2.0	2.0	3.0	5	'origin' 'district' 'suitability' 'dominant' 'hard'	1	"[(""'isotope'"", ""'isotopic'"")]"	0	
7	block receive herbicide spray emergence week pre split plot control	3.0	2.0	3.0	0		1	"[(""'pre'"", ""'split'"")]"	0	
8	cluster group principal structure component variance pattern analysis sampling type	3.0	2.0	3.0	0		1	"[(""'cluster'"", ""'group'"")]"	0	
9	rainfed lowland paddy trial upland university wet mixed irri institute	3.0	2.0	3.0	2	ˈuniversityˈ ˈinstituteˈ	2	"[(""'paddy'"", ""'lowland'""), (""'wet'"", ""'rainfed'"")]"	0	
10	irrigation reduce drainage water practice saline efficiency management source loss	3.0	2.0	3.0	0		1	"[(""'drainage'"", ""'irrigation'"")]"	0	
11	wue increase reduction straw yield maize efficiency corn grain reduce	3.0	1.4	2.0	2	ˈwue straw	2	"[(""'maize'"", ""'corn'""), (""'increase'"", ""'reduction'"")]"	0	
12	wetland delta fish watershed downstream nile dam restoration floodplain pond	3.0	2.0	3.0	2	ˈdamˈ ˈfloodplainˈ	1	"[(""'delta'"", ""'floodplain'"")]"	0	
13	prediction linear optimal simulation uncertainty fit optimization multi artificial machine	3.0	2.0	3.0	0		1	"[(""'artificial'"", ""'machine'"")]"	0	
14	grape olive wine orchard drip sprinkler oil apple cherry tomato	2.0	2.0	3.0	1	🍅 tomato	5	"[(""'grape'"", ""'wine'""), (""'olive'"", ""'oil'""), (""'apple'"", ""'orchard'""), (""'cherry'"", ""'orchard'""), (""'tomato'"", ""'orchard'"")]"	0	
15	ips adi fdi accumulative lrwc soyabean sws prb bpm ventilate	2.0	2.0	2.0	2	ventilate accumulative	1	"[(""'fdi'"", ""'adi'"")]"	0	
16	potato residue rotation soybean conventional corn alfalfa sorghum forage cotton	3.0	2.0	3.0	3	'cotton' 'alfalfa' 'forage'	1	"[(""'corn'"", ""'soybean'"")]"	0	
17	allocation supply demand right resource user water blue virtual trade	3.0	2.0	3.0	1	ˈbluː	1	"[(""'supply'"", ""'demand'"")]"	1	'blue' - While a valid word
18	respondent access village family market adoption member extension income education	2.0	2.0	3.0	3	ˈmarketˈ ˈincomeˈ ˈeducationˈ	1	"[(""'family'"", ""'member'"")]"	0	
19	exposure health contaminate contamination industrial safety risk heavy reuse human	3.0	1.0	3.0	0		1	"[(""'contaminate'"", ""'contamination'"")]"	0	
20	usda exp ars joint fdi adi accumulative ips pfp apri	2.0	2.0	2.0	4	'accumulative' 'ips' 'pfp' 'apri'	2	"[(""'ars'"", ""'usda'""), (""'adi'"", ""'fdi'"")]"	1	adi:** While potentially an abbreviation
21	adi ips accumulative soyabean sws lrwc znso₄ ccs uncovered bpm	2.0	2.0	2.0	3	'adi' 'bpm' 'uncovered'	1	"[(""'ips'"", ""'bpm'"")]"	0	
22	profile layer soil moisture sodicity texture deep sodic sandy clay	3.0	2.0	3.0	1	ˈdeepˈ	1	"[(""'sodic'"", ""'sodicity'"")]"	0	
23	medium substrate pot culture solution greenhouse uptake hydroponic container tomato	3.0	2.0	3.0	2	'tomato' 'uptake'	1	"[(""'pot'"", ""'container'"")]"	0	
24	cell disease infection spot isolate agent host sequence wilt pest	3.0	2.0	3.0	2	ˈwilt ˈpest	1	"[(""'agent'"", ""'isolate'"")]"	0	
25	fresh height number stem length weight diameter shoot leave mass	3.0	2.0	3.0	0		3	"[(""'mass'"", ""'weight'""), (""'length'"", ""'diameter'""), (""'shoot'"", ""'stem'"")]"	0	
26	water quality area low irrigate groundwater suitable high level table	3.0	2.0	3.0	0		2	"[(""'high'"", ""'level'""), (""'low'"", ""'level'"")]"	0	
27	organic matter low microbial great carbon biomass high total concentration	3.0	2.0	3.0	3	ˈgreat ˈhigh ˈtotal	1	"[(""'high'"", ""'great'"")]"	0	
28	zone capacity regime depth drip irrigation deep field wet moisture	3.0	2.0	3.0	0		1	"[(""'deep'"", ""'depth'"")]"	0	
29	crop requirement scenario production regional scale decision climate pattern base	3.0	2.0	3.0	0		1	"[(""'production'"", ""'scale'"")]"	0	
30	inhibitor nitrification phosphorus ammonia volatilization nh₃ denitrification oxide slurry coat	2.8	2.0	3.0	2	̀coat' 'oxide'	1	"[(""'nh₃'"", ""'ammonia'"")]"	1	nh₃**: While chemically correct
31	irrigation level regime yield different stage application recommend apply drip	3.0	2.0	3.0	1	different	1	"[(""'apply'"", ""'application'"")]"	0	
32	filter section channel head pipe operate operation pressure drain volume	3.0	2.0	3.0	2	ˈoperate ˈoperation	1	"[(""'operate'"", ""'operation'"")]"	0	
33	spacing row number check produce date seed hybrid record thousand	2.0	2.0	3.0	0		2	"[(""'number'"", ""'thousand'""), (""'date'"", ""'record'"")]"	0	
34	adaptation vulnerability face global climatic change climate regional variability scenario	3.0	1.0	3.0	1	face	1	"[(""'climate'"", ""'climatic'"")]"	0	
35	yield index grain relationship high environment biomass trait genotype vegetation	3.0	2.0	3.0	2	ˈɪndeks ˈhaɪ	1	"[(""'genotype'"", ""'trait'"")]"	0	
36	transport column material fraction sorption waste sandy removal fine sand	2.0	1.2	3.0	1	ˈkɒlʌm	1	"[(""'sand'"", ""'sandy'"")]"	0	
37	january month june february march october september december november late	3.0	2.0	3.0	1	ˈleɪt	6	"[(""'january'"", ""'february'""), (""'january'"", ""'march'""), (""'january'"", ""'june'""), (""'january'"", ""'september'""), (""'january'"", ""'october'""), (""'january'"", ""'november'"")]"	0	
38	standard limit exceed solid chloride sodium calcium sar residual dissolve	3.0	2.0	3.0	2	ˈsarˈ ˈdissolveˈ	1	"[(""'sodium'"", ""'chloride'"")]"	1	Specific Absorption Rate)
39	scale process base map transport spatial datum surface zone hydrological	3.0	2.0	3.0	0		2	"[(""'spatial'"", ""'map'""), (""'base'"", ""'datum'"")]"	0	
40	vegetative reproductive rootstock citrus stage regime flowering olive phase quinoa	2.0	2.0	3.0	0		1	"[(""'stage'"", ""'phase'"")]"	0	
41	air sap light canopy closure transpiration vpd radiation heat stem	3.0	2.0	3.0	2	ˈstem ˈclosure	1	"[(""'radiation'"", ""'heat'"")]"	1	vpd**: While used in plant physiology (Vapor Pressure Deficit)
42	water requirement evapotranspiration deficit irrigation crop daily supply potential efficiency	3.0	2.0	3.0	2	daily potential	1	"[(""'supply'"", ""'requirement'"")]"	0	
43	carbon crop term flux cover soil moisture co₂ emission greenhouse	3.0	2.0	3.0	0		2	"[(""'co₂'"", ""'emission'""), (""'greenhouse'"", ""'emission'"")]"	1	co₂**: While commonly used
44	grass old native perennial non pasture forest tall irrigated plantation	2.0	2.0	3.0	0		1	"[(""'native'"", ""'perennial'"")]"	1	it's incomplete as a standalone topic word. It needs to be part of a larger term (e.g.
45	relative capacity water potential stress photosynthetic reduce plant leaf content	3.0	2.0	3.0	0		1	"[(""'plant'"", ""'leaf'"")]"	0	
