llm_model	topic_model	number of topics	Coherence	Repetitive	Readability	Number of Outliers	Number of Same Concept Pairs	Number of Non-words
gemma	bertopic	100	2.402	1.9921	2.9347	1.3762	2.604	0.1881
gemma	bertopic	50	2.4692	1.9962	2.9269	1.1923	2.8077	0.0962
gemma	combinedtm	100	2.224	1.99	2.768	1.9	2.37	0.2
gemma	combinedtm	50	2.22	1.984	2.848	1.64	2.3	0.22
gemma	lda	100	2.162	1.994	2.84	1.68	2.27	0.18
gemma	lda	50	2.208	1.988	2.752	1.68	2.3	0.22
gemma	prodlda	100	2.248	1.986	2.664	2.01	2.38	0.51
gemma	prodlda	50	2.14	1.992	2.532	1.86	2.68	0.24
gemma-large	bertopic	100	2.5129	1.8416	2.9406	1.3762	1.4554	0.2574
gemma-large	bertopic	50	2.5923	1.7808	2.9423	1.1346	1.3654	0.1923
gemma-large	combinedtm	100	2.21	1.87	2.75	1.85	1.37	0.22
gemma-large	combinedtm	50	2.28	1.936	2.844	1.98	1.28	0.2
gemma-large	lda	100	2.138	1.92	2.85	1.71	1.26	0.32
gemma-large	lda	50	2.224	1.884	2.84	1.68	1.5	0.26
gemma-large	prodlda	100	2.104	1.908	2.602	2.19	1.41	0.21
gemma-large	prodlda	50	1.932	1.948	2.456	1.84	1.46	0.3
llama	bertopic	100	2.8554	1.5485	2.2495	1.6337	2.7228	1.1485
llama	bertopic	50	2.8885	1.4885	2.3231	1.6346	3.0577	0.9615
llama	combinedtm	100	2.598	1.732	2.192	1.83	2.85	1.36
llama	combinedtm	50	2.648	1.804	2.204	1.66	2.54	1.34
llama	lda	100	2.55	1.792	2.25	1.64	2.41	0.87
llama	lda	50	2.544	1.728	2.3	1.66	2.64	1.06
llama	prodlda	100	2.472	1.884	2.188	1.89	2.5	1.59
llama	prodlda	50	2.304	1.952	2.088	1.62	2.5	2.14
llama-large	bertopic	100	2.699	1.5406	2.9366	2.1386	1.6535	0.9703
llama-large	bertopic	50	2.8154	1.4615	2.9692	1.9423	2.0	0.9423
llama-large	combinedtm	100	2.332	1.786	2.808	2.49	1.36	1.51
llama-large	combinedtm	50	2.412	1.832	2.868	2.56	1.58	1.22
llama-large	lda	100	2.246	1.812	2.964	2.44	1.37	0.87
llama-large	lda	50	2.44	1.74	2.976	2.5	1.26	0.9
llama-large	prodlda	100	2.202	1.872	2.698	2.44	1.55	1.62
llama-large	prodlda	50	1.904	1.684	2.52	2.5	1.72	2.9
mistral	bertopic	100	2.6535	2.0574	2.8653	0.9109	3.297	0.0099
mistral	bertopic	50	2.6885	2.0808	2.9038	0.6731	3.4808	0.0
mistral	combinedtm	100	2.514	2.048	2.776	1.14	3.3	0.14
mistral	combinedtm	50	2.56	1.96	2.796	1.16	3.52	0.12
mistral	lda	100	2.5	2.05	2.83	0.91	3.56	0.03
mistral	lda	50	2.544	2.032	2.792	0.94	3.1	0.0
mistral	prodlda	100	2.5	2.012	2.676	1.21	3.43	0.55
mistral	prodlda	50	2.416	2.08	2.564	1.86	3.64	1.14
mistral-large	bertopic	100	2.5525	2.0297	2.8693	1.6238	2.0495	0.3663
mistral-large	bertopic	50	2.6462	1.9846	2.9308	1.5577	1.8462	0.2115
mistral-large	combinedtm	100	2.222	2.052	2.732	2.07	1.92	0.79
mistral-large	combinedtm	50	2.288	2.076	2.72	1.68	1.46	0.62
mistral-large	lda	100	2.21	2.106	2.816	1.79	1.5	0.38
mistral-large	lda	50	2.332	2.076	2.856	1.54	2.24	0.26
mistral-large	prodlda	100	2.16	2.09	2.596	2.02	1.58	1.04
mistral-large	prodlda	50	1.988	2.14	2.504	2.06	1.82	2.22
qwen	bertopic	100	2.3465	2.2792	2.9525	2.198	0.7723	1.6139
qwen	bertopic	50	2.4769	2.2115	2.9923	1.7692	1.2115	1.1346
qwen	combinedtm	100	1.928	2.478	2.662	2.2	0.72	1.6
qwen	combinedtm	50	1.988	2.512	2.756	2.16	0.46	2.14
qwen	lda	100	1.746	2.632	2.884	2.26	0.66	1.78
qwen	lda	50	2.016	2.516	2.996	2.08	0.66	1.62
qwen	prodlda	100	1.84	2.578	2.588	2.36	0.78	2.04
qwen	prodlda	50	1.728	2.528	2.264	2.58	0.6	2.8
qwen-large	bertopic	100	2.3426	2.3941	2.9822	2.5941	2.4455	0.3069
qwen-large	bertopic	50	2.4962	2.2962	3.0	2.3462	2.3846	0.0962
qwen-large	combinedtm	100	1.96	2.532	2.786	3.32	2.6	0.66
qwen-large	combinedtm	50	2.064	2.584	2.912	3.08	2.58	0.62
qwen-large	lda	100	1.794	2.636	2.986	3.0	2.31	0.24
qwen-large	lda	50	1.948	2.62	2.984	2.94	2.4	0.16
qwen-large	prodlda	100	1.832	2.646	2.692	3.35	2.67	0.88
qwen-large	prodlda	50	1.74	2.66	2.32	3.48	3.1	1.1
