ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	soil irrigation plant yield crop field growth irrigate drought application	3.0	1.6	3.0	1	'application'	2	"[(""'irrigation'"", ""'irrigate'""), (""'drought'"", ""'water'"")]"	1	'irrigate'
1	irrigation management river basin efficiency policy reservoir allocation project deficit	3.0	2.0	3.0	1	'deficit'	4	"[(""'basin'"", ""'reservoir'""), (""'deficit'"", ""'shortage'""), (""and ('irrigation'"", ""'project'""), (""'allocation'"", ""'management'"")]"	1	'deficit'
2	rice paddy field lowland yield cultivation farmer crop irrigation fertilizer	3.0	1.6	3.0	2	'fertilizer' 'irrigation'	5	"[(""'paddy'"", ""'field'""), (""'farmer'"", ""'cultivation'""), (""'irrigation'"", ""'fertilizer'""), (""'rice'"", ""'crop'""), (""'yield'"", ""'crop'"")]"	0	
3	salinity saline nacl salinization soil irrigation sodium groundwater chloride crop	3.0	1.0	3.0	1	'crop'	0	[]	1	'nacl'
4	farmer agricultural crop rural farming livelihood climate poverty country adaptation	3.0	1.8	3.0	1	'poverty'	2	"[(""'agricultural'"", ""'farming'""), (""'rural'"", ""'country'"")]"	0	
5	model datum rmse yield policy regression estimate coefficient project prediction	3.0	1.4	3.0	2	'policy' 'project'	2	"[(""'estimate'"", ""'prediction'""), (""'coefficient'"", ""'regression'"")]"	1	'rmse'
6	seed root plant genotype cultivar germination stem harvest length population	3.0	1.8	3.0	2	'length' 'population'	2	"[(""'seed'"", ""'germination'""), (""'stem'"", ""'length'"")]"	0	
7	microbial pathogen bacteria antibiotic salmonella rhizosphere fungicide coliform microorganism fungus	3.0	1.0	3.0	2	'rhizosphere' 'fungicide'	3	"[(""'bacteria'"", ""'microorganism'""), (""'fungus'"", ""'fungicide'""), ('is not a correct pair as they are not the same', ""'fungicide' is a substance used to kill fungi"")]"	1	'rhizosphere'
8	groundwater aquifer recharge basin region irrigation geochemical river alluvial arid	3.0	1.8	3.0	3	'irrigation' 'geochemical' 'arid'	1	"[(""'groundwater'"", ""'aquifer'"")]"	0	
9	herbicide pesticide pest insect insecticide application infestation spray crop weevil	3.0	1.0	3.0	1	'application'	2	"[(""'pest'"", ""'insect'""), (""'pesticide'"", ""'insecticide'"")]"	1	'weevil'
10	nitrate nitrogen fertilizer ammonium soil groundwater nitrification ammonia nh₃ irrigation	3.0	1.4	3.0	1	irrigation	1	"[(""'nh₃'"", ""'ammonia'"")]"	1	'nh₃'
11	wastewater sewage effluent contamination sludge contaminant irrigate irrigation pollutant disposal	3.0	1.0	3.0	2	'irrigate' 'irrigation'	2	"[(""'sewage'"", ""'wastewater'""), (""'irrigate'"", ""'irrigation'"")]"	0	
12	wheat grain yield spike cultivar spring barley grow irrigation crop	3.0	1.8	3.0	2	'spring' 'irrigation'	2	"[(""'barley'"", ""'wheat'""), (""'barley'"", ""'grain'"")]"	0	
13	evapotranspiration evaporation estimate crop penman coefficient irrigation precipitation soil requirement	3.0	1.2	3.0	2	'estimate' 'coefficient'	1	"[(""'evaporation'"", ""'evapotranspiration'"")]"	1	'penman'
