ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	project state scheme problem district user action social local stakeholder	3.0	2.0	3.0	2	'action' 'user'	3	"[(""'project'"", ""'scheme'""), (""'state'"", ""'district'""), (""'user'"", ""'stakeholder'"")]"	0	
1	irrigation scheme deficit regime schedule district frequency sprinkler drip requirement	3.0	2.0	3.0	5	'deficit' 'regime' 'schedule' 'frequency' 'requirement'	2	"[(""'scheme'"", ""'regime'""), (""'schedule'"", ""'frequency'"")]"	0	
2	nitrogen fertilizer phosphorus nutrient fertilization uptake apply potassium nitrate urea	3.0	1.4	3.0	2	'apply' 'uptake'	3	"[(""'nitrogen'"", ""'nitrate'""), (""'fertilizer'"", ""'fertilization'""), (""'urea'"", ""'nitrogen'"")]"	1	'nitrate'
3	groundwater aquifer recharge shallow table depletion deep alluvial decline rock	3.0	2.0	3.0	1	'table'	1	"[(""'deep'"", ""'shallow'"")]"	1	'alluvial'
4	distribution land pattern spatial variability cover map degradation vegetation cropland	3.0	2.0	3.0	2	'map' 'degradation'	3	"[(""'distribution'"", ""'pattern'""), (""'land'"", ""'cover'""), (""'map'"", ""'cropland'"")]"	0	
5	base water content scale surface soil model datum parameter zone	2.0	2.0	3.0	3	'model' 'parameter' 'zone'	1	"[(""'datum'"", ""'base'"")]"	1	'datum'
6	area cultivate command million urban km² suitable hectare irrigated unit	3.0	1.4	3.0	2	'command' 'unit'	1	"[(""'hectare'"", ""'km²'"")]"	1	'km²'
7	fruit harvest grape berry size wine tomato storage rdi sugar	2.4	1.6	3.0	4	'size' 'storage' 'rdi' 'sugar'	1	"[(""'grape'"", ""'wine'"")]"	1	'rdi'
8	loss reduce drainage runoff leach drain nitrate subsurface reduction surface	3.0	1.0	3.0	2	'reduction' 'surface'	2	"[(""'drainage'"", ""'runoff'""), (""'drain'"", ""'drainage'"")]"	0	
9	deficit regime irrigation stage apply drip schedule efficiency wue yield	2.0	2.0	3.0	4	'wue' 'stage' 'regime' 'apply'	1	"[(""'drip'"", ""'irrigation'"")]"	1	'wue'
10	medium material substrate form filter cell sand particle solution type	3.0	1.6	3.0	2	'form' 'type'	2	"[(""'material'"", ""'substrate'""), (""'particle'"", ""'cell'"")]"	1	'substrate'
11	soil moisture profile amendment sandy available layer texture heavy clay	3.0	2.0	3.0	2	'available' 'heavy'	2	"[(""'sandy'"", ""'clay'""), (""'heavy'"", ""'clay'"")]"	0	
12	exp core agric deprivation adi apri photosynthate droughte salinized distil	2.2	1.4	2.0	3	'distil' 'exp' 'core'	2	"[(""'exp'"", ""'deprivation'""), (""'core'"", ""'agric'"")]"	6	'exp' 'agric' 'adi' 'apri' 'droughte' 'distil'
13	cost operation benefit optimal network power pump reservoir optimization energy	3.0	2.0	3.0	0		1	"[(""'optimization'"", ""'optimal'"")]"	0	
14	datum image map satellite information resolution set classification series weather	3.0	2.0	3.0	2	'set' 'series'	2	"[(""'image'"", ""'map'""), (""'series'"", ""'set'"")]"	0	
