ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	management resource allocation optimal decision plan practice conservation demand supply	3.0	1.0	3.0	1	'practice'	5	"[(""'management'"", ""'practice'""), (""'conservation'"", ""'management'""), (""'allocation'"", ""'management'""), (""'demand'"", ""'supply'""), (""'allocation'"", ""'conservation'"")]"	0	
1	drip irrigation sprinkler furrow schedule frequency subsurface regime deficit sdi	3.0	1.2	2.8	0		4	"[(""'drip'"", ""'sprinkler'""), (""'irrigation'"", ""'subsurface'""), (""'schedule'"", ""'frequency'""), (""'deficit'"", ""'sdi'"")]"	1	'sdi'
2	mean value range coefficient method correlation variation error time square	3.0	1.2	2.8	2	'time' 'square'	4	"[(""'mean'"", ""'value'""), (""'range'"", ""'error'""), (""'correlation'"", ""'coefficient'""), (""'time'"", ""'square'"")]"	1	'square'
3	drought tolerance stress tolerant salt genotype heat reproductive moderate trait	3.0	1.4	2.8	0		1	"[(""'drought'"", ""'stress'"")]"	1	'reproductive'
4	water supply efficiency demand consumption footprint fresh wue saving requirement	3.0	1.4	2.2	1	'wue'	3	"[(""'supply'"", ""'requirement'""), (""'demand'"", ""'requirement'""), (""'efficiency'"", ""'saving'"")]"	1	'wue'
5	rice emission cultivation paddy flood lowland n₂o cropping awd methane	3.0	1.4	2.0	3	'emission' 'methane' 'n₂o'	1	"[(""'rice'"", ""'paddy'"")]"	2	'n₂o' 'awd'
6	analysis spatial distribution structure network component cluster reservoir principal function	2.8	1.6	3.0	2	'analysis' 'function'	5	"[(""'analysis'"", ""'component'""), (""'structure'"", ""'component'""), (""'distribution'"", ""'reservoir'""), (""'principal'"", ""'component'""), (""'component'"", ""'cluster'"")]"	0	
7	isolate detect strain bacterial specie disease sequence spp host infection	3.0	1.2	2.0	1	'sequence'	2	"[(""'isolate'"", ""'strain'""), (""'specie'"", ""'spp'"")]"	1	'specie'
8	line cultivar variety hybrid environment selection genetic breeding trait location	3.0	1.0	3.0	2	'line' 'location'	3	"[(""'variety'"", ""'cultivar'""), (""'hybrid'"", ""'selection'""), (""'genetic'"", ""'trait'"")]"	0	
9	research state scheme project knowledge information program technology institute problem	3.0	1.4	3.0	1	'state'	0	[]	1	'scheme'
10	crop requirement rotation cover residue evapotranspiration coefficient maize cropping cotton	3.0	1.4	2.2	1	'cover'	2	"[(""'crop'"", ""'cropping'""), (""'maize'"", ""'cotton'"")]"	0	
11	farm farmer benefit cost farming income adoption access price labor	3.0	1.2	3.0	2	'cost' 'price'	2	"[(""'farm'"", ""'farming'""), (""'farmer'"", ""'farming'"")]"	0	
12	leach nitrate nitrogen phosphorus nutrient fertilization loss uptake solution potassium	3.0	1.2	2.6	0		4	"[(""'leach'"", ""'loss'""), (""'nitrate'"", ""'nitrogen'""), (""'phosphorus'"", ""'nutrient'""), (""'fertilization'"", ""'solution'"")]"	1	'leach'
13	development local country rural security people poverty urban sector food	3.0	1.6	2.4	0		3	"[(""'local'"", ""'rural'""), (""'urban'"", ""'local'""), (""'urban'"", ""'rural'"")]"	0	
14	density weed population specie type row planting disease diversity great	3.0	1.8	2.2	2	'weed' 'great'	2	"[(""'weed'"", ""'weed'""), (""'planting'"", ""'planting'"")]"	2	'weed' 'specie'
15	plant growth uptake vegetative pot nutrient nacl height saline seedling	3.0	1.2	2.6	1	'pot'	3	"[(""'growth'"", ""'vegetative'""), (""'uptake'"", ""'nutrient'""), (""'height'"", ""'growth'"")]"	2	'nacl' 'uptake'
16	concentration level limit exceed solid dissolve range ppm chloride total	3.0	1.2	2.4	2	'solid' 'dissolve'	4	[('level', 'concentration'), ('limit', 'exceed'), ('ppm', 'range'), ('total', 'solid')]	0	
17	model datum simulation base prediction accuracy weather calibration set optimization	3.0	1.8	2.8	1	'weather'	3	"[(""'model'"", ""'model'""), (""'datum'"", ""'data'""), (""'set'"", ""'set'"")]"	1	'datum'
18	river region basin arid lake delta nile catchment sub yellow	3.0	1.2	2.4	3	'arid' 'sub' 'yellow'	0	[]	1	'sub'
19	water deficit stage apply irrigation capacity period treatment season control	3.0	1.4	3.0	2	'apply' 'control'	4	"[(""'water'"", ""'irrigation'""), (""'stage'"", ""'period'""), (""'apply'"", ""'treatment'""), (""'capacity'"", ""'control'"")]"	0	
20	season winter spring wheat grow maize summer late soybean tillage	2.8	1.4	2.4	1	'tillage'	7	"[(""'season'"", ""'season'""), (""'winter'"", ""'winter'""), (""'spring'"", ""'spring'""), (""'summer'"", ""'summer'""), (""'wheat'"", ""'wheat'""), (""'maize'"", ""'maize'""), (""'soybean'"", ""'soybean'"")]"	1	'tillage'
21	flow drainage runoff discharge transport drain infiltration sediment loss hydraulic	3.0	1.0	2.8	2	'transport' 'loss'	1	[('flow', 'runoff')]	0	
22	different regime level irrigation salinity method drip saline design plot	3.0	1.4	2.2	3	'level' 'method' 'design'	2	"[(""'irrigation'"", ""'drip'""), (""'salinity'"", ""'saline'"")]"	0	
23	potato greenhouse tomato green plastic mulch forage grass pasture alfalfa	3.0	1.4	2.2	1	'grass'	1	"[(""'potato'"", ""'tomato'"")]"	1	'forage'
24	potential stomatal transpiration conductance photosynthetic pressure deficit stem net leaf	3.0	1.2	2.2	2	'potential' 'pressure'	5	"[(""'transpiration'"", ""'net'""), (""'photosynthetic'"", ""'potential'""), (""'stomatal'"", ""'conductance'""), (""'pressure'"", ""'deficit'""), (""'leaf'"", ""'stem'"")]"	2	'stomatal' 'deficit'
25	application control treatment recommend fertilizer manure dose herbicide foliar apply	3.0	1.4	2.2	2	'application' 'apply'	3	"[(""'application'"", ""'apply'""), (""'manure'"", ""'fertilizer'""), (""'treatment'"", ""'dose'"")]"	0	
