ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	project state scheme problem district user action social local stakeholder	2.0	2.0	3.0	0		1	"[(""'state'"", ""'district'"")]"	0	
1	irrigation scheme deficit regime schedule district frequency sprinkler drip requirement	3.0	2.0	3.0	3	ˈdeficitˈ ˈregimeˈ ˈscheduleˈ	2	"[(""'scheme'"", ""'regime'""), (""'frequency'"", ""'schedule'"")]"	0	
2	nitrogen fertilizer phosphorus nutrient fertilization uptake apply potassium nitrate urea	3.0	1.0	3.0	1	urea	2	"[(""'nitrogen'"", ""'nitrate'""), (""'fertilizer'"", ""'urea'"")]"	0	
3	groundwater aquifer recharge shallow table depletion deep alluvial decline rock	3.0	2.0	3.0	1	ˈrock	1	"[(""'aquifer'"", ""'groundwater'"")]"	0	
4	distribution land pattern spatial variability cover map degradation vegetation cropland	3.0	2.0	3.0	0		2	"[(""'spatial'"", ""'map'""), (""'land'"", ""'cropland'"")]"	0	
5	base water content scale surface soil model datum parameter zone	2.0	2.0	3.0	4	ˈmodel ˈdatum ˈparameter ˈzone	1	"[(""'datum'"", ""'base'"")]"	0	
6	area cultivate command million urban km² suitable hectare irrigated unit	2.4	2.0	3.0	0		1	"[(""'hectare'"", ""'km²'"")]"	1	km²:** While understandable
7	fruit harvest grape berry size wine tomato storage rdi sugar	3.0	2.0	3.0	0		1	"[(""'fruit'"", ""'tomato'"")]"	0	
8	loss reduce drainage runoff leach drain nitrate subsurface reduction surface	3.0	1.0	3.0	1	reduction	2	"[(""'reduce'"", ""'reduction'""), (""'drain'"", ""'drainage'"")]"	0	
9	deficit regime irrigation stage apply drip schedule efficiency wue yield	3.0	2.0	3.0	2	ˈsteɪdʒ əˈplaɪ	1	"[(""'apply'"", ""'drip'"")]"	0	
10	medium material substrate form filter cell sand particle solution type	2.8	2.0	3.0	2	ˈsolution ˈtype	2	"[(""'material'"", ""'substrate'""), (""'cell'"", ""'particle'"")]"	0	
11	soil moisture profile amendment sandy available layer texture heavy clay	3.0	2.0	3.0	7	heavy moisture profile amendment sandy layer texture	2	"[(""'soil'"", ""'texture'""), (""'heavy'"", ""'clay'"")]"	0	
12	exp core agric deprivation adi apri photosynthate droughte salinized distil	2.0	2.0	2.0	7	adi apri core agric deprivation photosynthate droughte	1	"[(""'exp'"", ""'apri'"")]"	1	'exp'**: Likely an abbreviation
13	cost operation benefit optimal network power pump reservoir optimization energy	3.0	2.0	3.0	7	pump operation benefit optimal network power optimization	3	"[(""'cost'"", ""'operation'""), (""'optimal'"", ""'optimization'""), (""'power'"", ""'energy'"")]"	0	
14	datum image map satellite information resolution set classification series weather	3.0	2.0	3.0	2	'series' 'weather'	2	"[(""'datum'"", ""'information'""), (""'map'"", ""'image'"")]"	0	
15	salinity salt saline nacl tolerance tolerant sodicity sodic ion chloride	3.0	1.0	3.0	2	ioni chloride	5	"[(""'salinity'"", ""'saline'""), (""'tolerance'"", ""'tolerant'""), (""'sodicity'"", ""'sodic'""), (""'salt'"", ""'nacl'""), (""'chloride'"", ""'ion'"")]"	1	nacl**: While representing sodium chloride
16	drip sprinkler furrow subsurface fertigation mulch emitter plastic uniformity lateral	3.0	2.0	3.0	1	ˈplastic	2	"[(""'drip'"", ""'emitter'""), (""'lateral'"", ""'furrow'"")]"	0	
17	plant height uptake density pot inoculate tissue leave treat number	3.0	2.0	3.0	0		1	"[(""'number'"", ""'count'"")]"	0	
18	apply time plot interval day sub recommend split dose depth	2.0	2.0	3.0	3	'plot' 'depth' 'sub'	2	"[(""'interval'"", ""'time'""), (""'dose'"", ""'split'"")]"	0	
