ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	irrigation soil crop plant yield field growth irrigate root application	3.0	1.4	3.0	1	'application'	2	"[(""'irrigation'"", ""'irrigate'""), (""'soil'"", ""'root'"")]"	1	'irrigate'
1	farmer agricultural farm policy analysis rural crop development adoption rmse	3.0	1.2	2.8	3	'analysis' 'rmse' 'policy'	3	"[(""'farmer'"", ""'farm'""), (""'agricultural'"", ""'rural'""), (""'farm'"", ""'crop'"")]"	1	'rmse'
2	rice paddy lowland cultivation yield emission farmer crop fertilizer flooding	3.0	1.0	3.0	2	'fertilizer' 'flooding'	6	"[(""'rice'"", ""'paddy'""), (""'cultivation'"", ""'yield'""), (""'fertilizer'"", ""'fertilizer'""), (""'farmer'"", ""'farmer'""), (""'crop'"", ""'crop'""), (""'flood'"", ""'flooding'"")]"	0	
3	seed plant genotype cultivar height stem germination flowering harvest pine	3.0	1.2	2.6	1	'pine'	2	"[(""'plant'"", ""'seed'""), (""'genotype'"", ""'cultivar'"")]"	1	'pine'
4	drought leaf photosynthetic chlorophyll antioxidant plant sap proline transpiration peroxidase	3.0	1.0	3.0	0		0	[]	2	'photosynthetic' 'peroxidase'
5	groundwater aquifer recharge hydrochemical basin region geochemical river alluvial irrigation	3.0	1.2	3.0	2	'river' 'irrigation'	4	"[(""'groundwater'"", ""'aquifer'""), (""'recharge'"", ""'irrigation'""), (""'basin'"", ""'region'""), (""'hydrochemical'"", ""'geochemical'"")]"	0	
6	salinity saline nacl salinization tolerance soil sodium irrigation groundwater chloride	3.0	1.0	2.2	2	'tolerance' 'irrigation'	1	[('salinity', 'saline')]	0	
7	herbicide pesticide pest insecticide aphid mosquito earthworm malaria spray larval	3.0	1.2	2.2	3	'herbicide' 'spray' 'earthworm'	0	[]	1	'larval'
8	irrigation management efficiency deficit scheme crop policy yield agricultural requirement	3.0	1.0	3.0	3	'management' 'policy' 'requirement'	4	"[(""'agricultural'"", ""'irrigation'""), (""'management'"", ""'policy'""), (""'efficiency'"", ""'requirement'""), (""'scheme'"", ""'deficit'"")]"	0	
9	nitrate nitrogen fertilizer nitrification ammonia nh₃ groundwater soil efficiency irrigation	3.0	1.4	2.6	2	'efficiency' 'irrigation'	5	"[(""'nitrate'"", ""'nitrogen'""), (""'nitrification'"", ""'nitrate'""), (""'nh₃'"", ""'ammonia'""), (""'nitrate'"", ""'fertilizer'""), (""'fertilizer'"", ""'"")]"	1	'nh₃'
10	wastewater reuse sewage sludge contamination irrigate pollutant irrigation contaminate disposal	3.0	1.4	2.6	2	'irrigate' 'irrigation'	1	"[(""'wastewater'"", ""'sewage'"")]"	0	
11	microbial coli bacteria antibiotic salmonella pathogen rhizosphere coliform lettuce wastewater	3.0	1.4	2.8	2	'lettuce' 'wastewater'	1	[('microbial', 'bacteria')]	1	'coli'
12	wheat grain yield barley spike genotype spring cultivar irrigation grow	3.0	1.2	2.4	2	'spring' 'irrigation'	2	"[(""'wheat'"", ""'barley'""), (""'spring'"", ""'spike'"")]"	0	
13	temperature climate precipitation weather meteorological climatic annual humidity forecast region	3.0	1.0	3.0	2	'annual' 'region'	3	"[(""'temperature'"", ""'climate'""), (""'climate'"", ""'climatic'""), (""'precipitation'"", ""'meteorological'"")]"	2	'meteorological' 'climatic'
14	evapotranspiration evaporation estimate crop penman method irrigation precipitation requirement weather	3.0	1.0	2.6	3	'estimate' 'method' 'requirement'	1	"[(""'evapotranspiration'"", ""'evaporation'"")]"	1	'penman'
15	fruit orchard harvest yield acidity pear ripen irrigation vegetative brix	3.0	1.0	2.8	3	'vegetative' 'irrigation' 'brix'	3	"[(""'fruit'"", ""'pear'""), (""'harvest'"", ""'yield'""), (""'ripen'"", ""'vegetative'"")]"	1	'vegetative'
16	cotton lint boll seed production irrigation fibre crop cultivar planting	3.0	1.0	3.0	1	'irrigation'	4	"[(""'cotton'"", ""'fibre'""), (""'boll'"", ""'seed'""), (""'cultivar'"", ""'production'""), (""'planting'"", ""'production'"")]"	2	'lint' 'boll'
17	maize corn yield wheat crop irrigation growth drought year nebraska	3.0	1.2	2.8	3	'maize' 'wheat' 'nebraska'	4	[('maize', 'corn'), ('wheat', 'crop'), ('growth', 'yield'), ('irrigation', 'drought')]	1	'maize'
18	cadmium wastewater copper contamination pollution soil zinc sewage metalloid sediment	3.0	1.4	2.4	0		1	"[(""'copper'"", ""'zinc'"")]"	1	'cadmium'
19	tillage tiller straw tillering plow chisel soil crop harrow maize	3.0	1.2	2.4	1	'maize'	1	[('tillage', 'tiller')]	2	'tillering' 'maize'
20	policy management allocation demand development agricultural stakeholder governance region reform	3.0	1.4	3.0	1	'agricultural'	3	"[(""'policy'"", ""'management'""), (""'allocation'"", ""'development'""), (""'demand'"", ""'reform'"")]"	1	'agricultural'
21	turfgrass bermudagrass ryegrass bentgrass bluegrass perennial wheatgrass bromegrass pasture cultivar	3.0	1.0	2.6	1	'wheatgrass'	4	"[(""'turfgrass'"", ""'bermudagrass'""), (""'turfgrass'"", ""'bentgrass'""), (""'bentgrass'"", ""'bermudagrass'""), (""'bentgrass'"", ""'turfgrass'"")]"	0	
22	soil depth sample topsoil texture horizon surface land variability subsoil	3.0	1.2	3.0	2	'sample' 'land'	3	"[(""'soil'"", ""'topsoil'""), (""'subsoil'"", ""'soil'""), (""'surface'"", ""'land'"")]"	1	'variability'
23	grape vineyard berry vine table chardonnay tannin fruit climate harvest	3.0	1.4	3.0	3	'table' 'climate' 'tannin'	5	"[(""'grape'"", ""'vine'""), (""'vine'"", ""'vineyard'""), (""'berry'"", ""'grape'""), (""'fruit'"", ""'grape'""), (""'grape'"", ""'tannin'"")]"	1	'chardonnay'
24	river reservoir runoff catchment streamflow hydrological downstream watershed flood tributary	3.0	1.4	3.0	1	'reservoir'	4	"[(""'river'"", ""'streamflow'""), (""'reservoir'"", ""'catchment'""), (""'watershed'"", ""'catchment'""), (""'river'"", ""'tributary'"")]"	1	'hydrological'
25	potato tuber russet yield cultivar irrigation crop planting fertilizer kufri	3.0	1.2	2.8	2	'irrigation' 'fertilizer'	6	"[(""'potato'"", ""'tuber'""), (""'potato'"", ""'kufri'""), (""'potato'"", ""'crop'""), (""'tuber'"", ""'kufri'""), (""'tuber'"", ""'crop'""), (""'russet'"", ""'kufri'"")]"	1	'kufri'
26	canopy vegetation ndvi reflectance uav infrared cwsi camera aerial resolution	3.0	1.4	3.0	1	'canopy'	2	"[(""'ndvi'"", ""'infrared'""), (""'cwsi'"", ""'infrared'"")]"	2	'ndvi' 'cwsi'
27	sir upland map rainfed ecosystem irrigated land rice area water	3.0	1.4	2.6	2	'sir' 'map'	3	"[(""'sir'"", ""'land'""), (""'map'"", ""'area'""), (""'land'"", ""'area'"")]"	1	'upland'
28	moisture sensor soil measurement zone substrate dielectric calibration surface wireless	3.0	1.4	2.8	1	'wireless'	6	"[(""'moisture'"", ""'measurement'""), (""'sensor'"", ""'substrate'""), (""'dielectric'"", ""'substrate'""), (""'soil'"", ""'substrate'""), (""'sensor'"", ""'dielectric'""), (""'moisture'"", ""'soil'"")]"	1	'dielectric'
29	arid region desert climate desertification agricultural zone ecosystem landscape adaptation	3.0	1.2	3.0	2	'agricultural' 'adaptation'	5	"[(""'arid'"", ""'desert'""), (""'desert'"", ""'desertification'""), (""'climate'"", ""'agricultural'""), (""'region'"", ""'zone'""), (""'ecosystem'"", ""'landscape'"")]"	0	
30	pasture dairy grazing sheep livestock cattle beef feeding farm herd	3.0	1.0	3.0	2	'beef' 'dairy'	3	"[(""'sheep'"", ""'livestock'""), (""'cattle'"", ""'livestock'""), (""'beef'"", ""'dairy'"")]"	0	
31	mulch mulching straw biodegradable polyethylene mulched irrigation soil maize crop	3.0	1.2	2.2	1	'polyethylene'	3	"[(""'mulch'"", ""'mulching'""), (""'mulch'"", ""'mulched'""), (""'straw'"", ""'soil'"")]"	0	
32	olive oil europaea orchard fruit cultivar wastewater barnea irrigation phenolic	3.0	1.0	2.4	1	'wastewater'	3	"[(""'olive'"", ""'oil'""), (""'europaea'"", ""'cultivar'""), (""'wastewater'"", ""'irrigation'"")]"	2	'europaea' 'barnea'
33	drought vulnerability agricultural climate meteorological spi region hydrological rainfall crop	3.0	1.6	2.6	1	'spi'	4	"[(""'drought'"", ""'vulnerability'""), (""'agricultural'"", ""'crop'""), (""'climate'"", ""'meteorological'""), (""'hydrological'"", ""'meteorological'"")]"	1	'spi'
34	tomato yield irrigation cucumis plant fertigation hydroponic crop nitrogen fertilizer	3.0	1.2	2.8	2	'nitrogen' 'fertilizer'	2	"[(""'tomato'"", ""'cucumis'""), (""'yield'"", ""'crop'"")]"	2	'cucumis' 'fertigation'
35	phytophthora fungicide fusarium pathogen pythium blight fungus fungal rhizoctonia sclerotiorum	3.0	1.4	2.2	0		2	"[(""'fungicide'"", ""'fungal'""), (""'fungus'"", ""'fungal'"")]"	2	'phytophthora' 'sclerotiorum'
36	sodium adsorption hco₃ conductivity ratio carbonate permeability groundwater salinity calcium	3.0	1.0	2.8	3	'ratio' 'conductivity' 'permeability'	3	"[(""'sodium'"", ""'calcium'""), (""'adsorption'"", ""'permeability'""), (""'carbonate'"", ""'salinity'"")]"	1	'hco₃'
37	fertilizer fertilization fertigation fertiliser application fertilize nutrient yield efficiency crop	3.0	1.4	2.6	3	'application' 'yield' 'efficiency'	1	[('fertilizer', 'fertiliser')]	0	
38	leachate sorption adsorption soil desorption nutrient solution fertilizer solute capacity	3.0	1.4	2.8	0		3	[('leachate', 'adsorption'), ('sorption', 'adsorption'), ('desorption', 'adsorption')]	1	'leachate'
39	sugarcane yield production officinarum crop cultivation jaggery plantation cultivar irrigation	3.0	1.0	3.0	1	'officinarum'	2	"[(""'sugarcane'"", ""'officinarum'""), (""'jaggery'"", ""'sugarcane'"")]"	1	'officinarum'
40	soybean glycine yield cultivar drought planting corn bean genotype crop	3.0	1.2	2.4	1	'corn'	1	"[(""'soybean'"", ""'bean'"")]"	1	'glycine'
41	arsenic selenium groundwater selenite contamination iron soil toxicity inorganic food	3.0	1.2	2.4	0		1	[('arsenic', 'selenium')]	3	'arsenic' 'selenium' 'selenite'
42	manure fertilizer poultry organic compost feedlot soil nutrient cow farm	3.0	1.2	2.8	0		3	"[(""'manure'"", ""'fertilizer'""), (""'poultry'"", ""'cow'""), (""'compost'"", ""'fertilizer'"")]"	0	
43	phosphorus phosphate nitrogen phosphorous fertilizer superphosphate nutrient soil alfalfa runoff	3.0	1.4	2.4	0		1	[('phosphorus', 'phosphorous')]	1	'phosphorous'
44	sorghum grain forage biomass crop maize soybean wheat cultivar sudangrass	3.0	1.0	2.8	0		2	"[(""'sorghum'"", ""'sudangrass'""), (""'maize'"", ""'corn'"")]"	2	'sudangrass' 'sorghum'
45	oil oleic seed linoleic palmitic tocopherol biodiesel lavender herbage peppermint	3.0	1.6	2.6	3	'lavender' 'herbage' 'peppermint'	3	"[(""'biodiesel'"", ""'oil'""), (""'oleic'"", ""'linoleic'""), (""'peppermint'"", ""'lavender'"")]"	4	'oleic' 'linoleic' 'palmitic' 'biodiesel'
46	wetland pond marsh ecosystem habitat landscape agricultural lake vegetation catchment	3.0	1.2	3.0	2	'agricultural' 'landscape'	6	[('wetland', 'marsh'), ('ecosystem', 'habitat'), ('landscape', 'catchment'), ('vegetation', 'none'), ('lake', 'pond'), ('agricultural', 'none')]	1	'agricultural'
47	clogging filter pressure particle underdrain microirrigation filtration dra dripper hydraulic	3.0	1.2	2.2	2	'dra' 'dripper'	4	"[(""'clogging'"", ""'filter'""), (""'filter'"", ""'filtration'""), (""'underdrain'"", ""'dra'""), (""'microirrigation'"", ""'dripper'"")]"	1	'dra'
48	biochar soil increase straw nutrient organic compost wastewater biomass irrigation	3.0	1.2	3.0	2	'wastewater' 'irrigation'	2	"[(""'soil'"", ""'compost'""), (""'nutrient'"", ""'organic'"")]"	1	'irrigation'
49	clay sand silty soil texture thermic hyperthermic depth gravel slope	3.0	1.0	2.4	0		6	"[(""'clay'"", ""'silty'""), (""'sand'"", ""'gravel'""), (""'soil'"", ""'clay'""), (""'soil'"", ""'silty'""), (""'soil'"", ""'sand'""), (""'soil'"", ""'gravel'"")]"	2	'thermic' 'hyperthermic'
50	alfalfa forage hay cultivar harvest salinity irrigation crop soil biomass	3.0	1.2	3.0	2	'salinity' 'irrigation'	2	"[(""'forage'"", ""'hay'""), (""'cultivar'"", ""'crop'"")]"	0	
51	canal branch operation controller irrigation flow watercourse downstream hydraulic design	3.0	1.2	2.8	3	'controller' 'operation' 'design'	2	"[(""'canal'"", ""'watercourse'""), (""'operation'"", ""'design'"")]"	0	
52	co₂ emission n₂o temperature co₂e soil respiration enrichment fertilization plant	3.0	1.8	2.2	1	'fertilization'	1	"[(""'co₂'"", ""'co₂e'"")]"	3	'co₂' 'n₂o' 'co₂e'
53	citrus mandarin tree orchard rootstock lemon trifoliata fruit grapefruit irrigation	3.0	1.4	2.6	1	'irrigation'	2	"[(""'citrus'"", ""'fruit'""), (""'mandarin'"", ""'lemon'"")]"	1	'trifoliata'
54	drainage drain subsurface design subirrigation outflow runoff pipe simulation land	3.0	1.6	2.2	2	'design' 'land'	1	"[(""'drainage'"", ""'drain'"")]"	1	'subirrigation'
55	fish fishery aquaculture fishing trout habitat salmon fishway lake freshwater	3.0	1.2	3.0	3	'habitat' 'lake' 'freshwater'	7	"[(""'fish'"", ""'fishery'""), (""'fish'"", ""'fishing'""), (""'fish'"", ""'fishway'""), (""'fish'"", ""'trout'""), (""'fish'"", ""'salmon'""), (""'lake'"", ""'freshwater'""), (""'aquaculture'"", ""'fishing"")]"	1	'aquaculture'
56	nematode parasitic feltiae bacteriophora pratylenchus heterorhabditis cyst nematoda tomato steinernematidae	3.0	1.0	2.2	1	'tomato'	4	"[(""'nematode'"", ""'nematoda'""), (""'pratylenchus'"", ""'feltiae'""), (""'bacteriophora'"", ""'cyst'""), (""'heterorhabditis'"", ""'steinernematidae'"")]"	3	'feltiae' 'bacteriophora' 'steinernematidae'
57	mycorrhizal mycorrhiza inoculation mycorrhizae mycorrhization plant drought fungal ectomycorrhizal mycelium	3.0	1.2	2.6	1	'drought'	1	"[(""'mycorrhiza'"", ""'mycorrhizae'"")]"	1	'mycorrhization'
58	sediment sedimentation reservoir river runoff catchment erosion watershed drain process	3.0	1.0	2.8	1	'process'	1	"[(""'sediment'"", ""'sedimentation'"")]"	1	'sedimentation'
59	lake lakes basin hydrological climate ecosystem catchment freshwater region budget	3.0	1.4	3.0	1	'climate'	3	"[(""'lake'"", ""'lakes'""), (""'basin'"", ""'catchment'""), (""'freshwater'"", ""'hydrological'"")]"	2	'hydrological' 'ecosystem'
60	n₂o emission cumulative fertilizer soil nitrogen greenhouse wfps pasture crop	3.0	1.4	2.0	3	'emission' 'greenhouse' 'wfps'	2	"[(""'n₂o'"", ""'nitrogen'""), (""'fertilizer'"", ""'fertilizer'"")]"	2	'n₂o' 'wfps'
61	protein crude detergent starch fiber digestibility grain seed carbohydrate soluble	3.0	1.4	2.4	1	'crude'	1	[('protein', 'fiber')]	1	'crude'
62	emission greenhouse production reduce ghgi estimate crop livestock consumption farming	3.0	1.6	2.0	1	'ghgi'	2	"[(""'emission'"", ""'consumption'""), (""'greenhouse'"", ""'ghgi'"")]"	1	'ghgi'
