ID	Topic words
0	problem mouse drive boot disk switch fix floppy fine instal
1	problem boot drive disk apple windows memory mouse help mac
2	svhs zach jaws itor toasterhead kelseyyrki montage orientiation cdq torkel
3	version software graphic available mail public windows user machine gnu
4	clipper government announcement white house libertarian chip agency federal citizen
5	hello cube password sphere geometry systems newsreader moselem unresolvable differet
6	israel peace terrorism fbi favor waste kill reporter sexual jewish
7	drug right usage inalienable people amendment free study bear psychology
8	kent daily amusing heart promise atheists dating jon ignorance sink
9	clipper chip key phone cheap algorithm secure voice acceptance serial
10	announcement white lobby april washington abc bush prize museum schedule
11	problem window windows disk file run screen error mouse fine
12	thank year work people lot need think program thing want
13	price offer pay sale sell speaker stereo deck buy receiver
14	graphic thank graphics mail format advance appreciate email internet site
15	sustain microcontroller heavily zach trumpet asked kelseyyrki torkel jaws newusers
16	like want know think time people window look ask problem
17	musical zach enjoyable kelseyyrki iteration ulman torkel newusers explicable kck
18	life god bible jesus christ love sin heaven experience feeling
19	team game player play hit year fan score compare bad
20	law jews jewish citizenship prevail nazis book great case german
21	zach descendent kelseyyrki torkel unresolvable explicable newusers reliogious tims kck
22	sale modem offer printer monitor pin brand manual interested floppy
23	atheists lobbying apologize concentrate keith cruel rude purge percentage zach
24	windows use drive file application problem driver disk car division
25	gun crime ride fbi rate atf self cop violent watch
26	cup sport pen fan prediction red tie thumb toronto captain
27	bush temporary crowley zach kelseyyrki torkel newusers kck stoesser achim
28	viewer cica compile animation cview fashion bitmap terminal anybody thanx
29	msg christianity church science christian human bible question reason god
30	information san law francisco religion include police allege believe new
31	anybodys zach likeps radious kelseyyrki differet indecision seldes kubota explicable
32	mail key use email datum send faq sci information directory
33	bible christ heaven christians sin teach prayer christian verse promise
34	scsi fast drive monitor mode card mac buy port board
35	cica indiana zip anybody utility wallpaper ini download adobe newsreader
36	problem windows use scsi drive memory run mac hard disk
37	christian islamic islam christianity religion moral belief discuss morality statement
38	enjoyable zach svhs kelseyyrki fashion kubota multiprocessor torkel rosch itor
39	people like come help time run know think year live
40	zach explicable svhs rosch kelseyyrki booboo torkel itor liscense toasterhead
41	screen image line display input use window write jpeg quantizer
42	window set screen file font input display help value windows
43	israel jewish muslim nazi christ peace christianity islam islamic easter
44	window display manager widget application client default compile character motif
45	card fast video upgrade motherboard bus speed board ram scsi
46	motif appreciate thank code advance unix file character application window
47	vacuum engineering clipper sphere shelf temporary scheme film nuclear geometry
48	buy car engine service speed cable manual wire load check
49	israel peace agree gulf civilian iraqis casualty case hussein kuwait
50	morality political keith sex objective percentage atheists animal anecdote kent
51	god law christ kingdom believe teach church heretical spirit father
52	window manager set problem color button display event application main
53	mosque body massacre january claim year denial moslem hill troop
54	helmet engine concept paint shift car leak nuclear ride cool
55	player msg food study sensitivity cause effect gun patient reaction
56	proud funny suprise zach svhs kelseyyrki explicable indecision torkel newusers
57	zach reliogious shackle kelseyyrki torkel newusers rosch christianic kck gradation
58	clipper police file fbi information intelligence key law san operative
59	cup patrick toronto bob van winnipeg pen stevens montreal smith
60	max end biz mas yuv lose axl game gen chz
61	think government year program loan look package creative assistance continue
62	drive scsi chip fast speed use key card mode software
63	today genocide population close government soul exterminate muslim mountain long
64	game gun play good water cost fast ride car speed
65	cloud outward mass year earth outer kilogram viking space orbit
66	sale offer sell shipping condition price forsale mile stereo cassette
67	gun government buy clipper law tool felon crime allow control
68	email post mail moderated file space bulletin info directory list
69	space technology sponsor maryland redesign station attend videotape navy reproduce
70	post help problem question good exist existence doctor commentary bloom
71	man israel god jesus weep good use betray moses behold
72	sale offer sell interested condition genesis shipping price sleeve item
73	board driver monitor motherboard apple upgrade video simms quadra intel
74	sale new interested price june copy include mail sponsor sell
75	card video bus controller isa slow diamond vesa cards slot
76	god believe religion question religious true thing sceptical dogmatic assume
77	truth god believe arrogance christians christianity claim true exist reason
78	drive motherboard board apple hard supply card internal port buy
79	jaws svhs enjoyable zach languagine scenary explicable iteration rosch mislead
80	engine buy car circuit ground signal wire electrical switch tube
81	sphere temporary distance polygon jupiter orbit gamma timer sunset engineering
82	printer price dos disk print sale cable keyboard original offer
83	clipper key chip bit serial algorithm encrypt brute secure use
84	enjoyable explicable zach musical svhs sustain suprise overscan rosch kelseyyrki
85	cost big water engine cool nuclear ride launch plant station
86	crime punishment fbi innocent gun prosecute civil likely law commit
87	team game play player fan year series cup toronto lose
88	anybody thanx cica download utility ghostscript viewer postscript drivers animation
89	moral islam morality heterosexual objective action society evidence science objectively
90	percentage sensitivity msg risk abortion concentrate homosexual yeah reaction gay
91	zach tabloid kelseyyrki explicable torkel newusers itor toasterhead languagine reliogious
92	game fan team hit play ride sport engine player pretty
93	game point play team year good run line goal player
94	scsi card transfer controller fast interface memory datum bus drive
95	team win mike patrick craig lang steve game joe kevin
96	color video file run mach memory mode card server display
97	enjoyable zach svhs sustain kelseyyrki torkel newusers kck stoesser achim
98	backing mislead zach enclose massive kelseyyrki surrender zeit torkel rosch
99	mail email interested book appreciate info sale ink paper audio
