ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	gym workout fitness treat fit month healthy drink word smoke	2.0	2.0	3.0	2	ˈword ˈsmoke	1	"[(""'fit'"", ""'fitness'"")]"	0	
1	dot dick heb laptop competitive chillin bmv nut announcement ironic	1.0	2.0	2.0	2	ˈdɪk ˈnʌt	1	"[(""'dot'"", ""'nut'"")]"	1	'dot'**: While 'dot' can be a valid word
2	food chicken meal chipotle taco gluten recipe mcdonald sandwich restaurant	2.8	2.0	3.0	1	ˈɡluːtən	1	"[(""'taco'"", ""'chipotle'"")]"	0	
3	loose skinny pretzel skinnyjeansbestfriend loseweight diet cliche weightloss tweak starve	2.0	1.0	2.0	0		1	"[(""'loseweight'"", ""'weightloss'"")]"	0	
4	twitter onebluelenz socialmedia follower instagram startup retweet delete code iwantobehip	2.0	2.0	3.0	0		1	"[(""'twitter'"", ""'socialmedia'"")]"	0	
5	nap wake morning sleeping hibernate makeup habit ijustneedsleep languish dogslife	2.0	1.0	2.0	4	ˈmakeup ˈhabit ˈijustneedsleep ˈdogslife	1	"[(""'sleeping'"", ""'nap'"")]"	0	
6	game baseball hockey yankees playoff leagueoflegend cheer state favorite indy	2.0	2.0	3.0	4	icheer state favorite indy	1	"[(""'baseball'"", ""'yankees'"")]"	0	
7	book reading novel publisher challenge picturebook thrones kindle ebooks schedule	3.0	2.0	3.0	1	ˈschedule	1	"[(""'ebooks'"", ""'kindle'"")]"	0	
8	thank flawless sexymonday bath shb graduation enjoy beautiful boy job	2.0	2.0	2.0	3	ˈʃɛksɪˈmʌndeɪ ˈʃɛb ˈdʒɒb	1	"[(""'shb'"", ""'bath'"")]"	0	
9	pack legging wardrobe warm sneaker underwear sweatpant fashion figfit flatass	2.0	2.0	2.0	2	'figfit' 'flatass'	2	"[(""'legging'"", ""'sweatpant'""), (""'pack'"", ""'underwear'"")]"	0	
10	concert soundtrack song cydonia mixtape sing gaga musically duet recordsbeat	3.0	2.0	3.0	1	recordsbeat	2	"[(""'sing'"", ""'song'""), (""'recordsbeat'"", ""'song'"")]"	0	
11	drink alcohol party vodka hangover champagne tequila timetogetserious spending noodle	2.0	2.0	3.0	0		1	"[(""'drink'"", ""'alcohol'"")]"	0	
12	goals motivation castle realistic level happenings hunters gabe target stage	2.0	2.0	3.0	4	ˈcastle ˈhunters ˈgabe ˈstage	1	"[(""'target'"", ""'goals'"")]"	0	
13	god prayer bible faith hillsong john bless fiery hebrews johnathan	3.0	2.0	3.0	1	johnathan	1	"[(""'john'"", ""'johnathan'"")]"	1	"johnathan:** Likely a misspelling of ""Jonathan"".
* **fiery:** While a valid word"
14	selfie portrait evar nude introversion jim harbaugh ordinarylife foley disposable	2.0	2.0	2.0	0		1	"[(""'evar'"", ""'selfie'"")]"	0	
15	bae girlfriend virginity wifey starbswiththegirl marriage maury nikki queen impregnate	2.6	1.0	2.0	0		2	"[(""'girlfriend'"", ""'wifey'""), (""'marriage'"", ""'wifey'"")]"	0	
16	hair beard haircut skin makeup act effort furry foolsomeofthepeoplesomeofthetime halloween	2.0	2.0	2.0	3	ˈækt ˈefərt ˈfʊri	1	"[(""'hair'"", ""'beard'"")]"	0	
17	family parent fingered cityofink sheep childhood nephews oralhistory babysteps unconditional	2.0	2.0	2.0	3	fingered cityofink sheep	2	"[(""'parent'"", ""'childhood'""), (""'family'"", ""'nephews'"")]"	1	fingered:** While a valid word
18	spend budget debt finance archive rimpoche student account pay nocreditcarddebt	2.0	2.0	3.0	2	rimpoche archive	2	"[(""'spend'"", ""'pay'""), (""'debt'"", ""'nocreditcarddebt'"")]"	0	
19	flight vacation nyc trip coast fun lifeboat newyorkcityrooftop orleans triathlon	2.0	2.0	3.0	2	ˈlifeboatˈ ˈtriathlonˈ	1	"[(""'nyc'"", ""'newyorkcityrooftop'"")]"	0	
20	gym workout fierce debate fitfam gymmotivation girlswholift workouthard headphone meathead	3.0	1.8	3.0	0		1	"[(""'gym'"", ""'workout'"")]"	1	meathead**: While a commonly *used* term
21	netflix episode film friends movie simpson slate filmisnotdead flatscreen shawshank	3.0	1.4	3.0	3	ˈslate ˈfilmisnotdead ˈflatscreen	1	"[(""'film'"", ""'movie'"")]"	0	
22	meet justin chicago grateful marry valentines singlelife natasha datingadvice grace	2.0	2.0	3.0	0		2	"[(""'meet'"", ""'datingadvice'""), (""'marry'"", ""'valentines'"")]"	0	
