ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	job people work president think year program money congress fund	3.0	2.0	3.0	2	'think' 'year'	1	"[(""'job'"", ""'work'"")]"	1	'congress'
1	san information billion police angeles francisco los california anti york	2.0	1.6	3.0	3	'billion' 'anti' 'york'	2	"[(""'los'"", ""'angeles'""), (""'san'"", ""'francisco'"")]"	2	'san' 'anti'
2	god jesus bible man christian christ love come word believe	3.0	1.0	3.0	3	'man' 'come' 'word'	4	"[(""'jesus'"", ""'christ'""), (""'christ'"", ""'christian'""), (""'god'"", ""'jesus'""), (""'jesus'"", ""'christian'"")]"	1	'come'
3	people morality objective person death think life moral rule murder	3.0	1.2	3.0	2	'think' 'rule'	2	"[(""'morality'"", ""'moral'""), (""'person'"", ""'people'"")]"	0	
4	stuff moon secure think van sun tony michael happy guess	1.2	2.8	3.0	3	'van' 'tony' 'michael'	0	[]	2	'tony' 'michael'
5	article argument jim science quote ethnic context apr posting statement	2.0	1.4	3.0	2	'jim' 'apr'	2	"[(""'argument'"", ""'statement'""), (""'quote'"", ""'statement'"")]"	1	'apr'
6	window hope henrik newsreader peace manager tin display want know	2.0	2.8	3.0	2	'tin' 'henrik'	0	[]	1	'henrik'
7	program unit music server link cross software disk windows use	2.0	2.0	3.0	0		2	"[(""'link'"", ""'cross'""), (""'unit'"", ""'disk'"")]"	0	
8	weapon court expansion legal age capital carry use penalty prison	3.0	1.2	3.0	2	'expansion' 'age'	0	[]	0	
9	win senior idea bank sign reagan think predict way mix	2.0	2.0	3.0	2	'bank' 'mix'	1	"[(""'bank'"", ""'bank'"")]"	0	
10	people come know tell think happen start leave woman like	2.0	2.0	3.0	2	'like' 'woman'	3	"[(""'come'"", ""'start'""), (""'leave'"", ""'start'""), (""'happen'"", ""'start'"")]"	2	'happen' 'start'
11	government attack minority people force use think state civilian law	3.0	2.0	3.0	1	'think'	1	"[(""'government'"", ""'state'"")]"	0	
12	people believe god religion human church mean exist life christian	3.0	1.2	3.0	1	'mean'	1	"[(""'god'"", ""'christian'"")]"	1	'mean'
