ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	level sub different regime method research irrigation recommend design test	2.4	1.8	2.8	0		5	"[(""'level'"", ""'level'""), (""'sub'"", ""'sub'""), (""'irrigation'"", ""'irrigation'""), (""'recommend'"", ""'recommend'""), (""'test'"", ""'test'"")]"	0	
1	receive treatment control herbicide spray post pendimethalin hand pre treat	2.8	1.4	2.8	0		2	"[(""'receive'"", ""'treat'""), (""'treatment'"", ""'treat'"")]"	0	
2	state village respondent district province extension interview university training scheme	3.0	2.6	3.0	1	'scheme'	2	"[(""'state'"", ""'province'""), (""'village'"", ""'district'"")]"	0	
3	scenario hydrological regional scale multi simulation different model series variable	2.6	2.6	3.0	0		3	"[(""'scenario'"", ""'series'""), (""'hydrological'"", ""'variable'""), (""'regional'"", ""'scale'"")]"	0	
4	profile saline moisture layer sandy soil texture clay sodic depth	2.4	1.8	3.0	1	'sodic'	2	"[(""'profile'"", ""'soil'""), (""'sandy'"", ""'sodic'"")]"	0	
5	cultivate rainfed rain feed cultivation region irrigate production expansion vegetable	2.6	2.0	2.8	0		3	"[(""'rainfed'"", ""'rain'""), (""'irrigate'"", ""'rain'""), (""'cultivate'"", ""'cultivation'"")]"	0	
6	phase vegetative stage early degree growth end reproductive flowering late	3.0	1.8	3.0	0		3	"[(""'phase'"", ""'stage'""), (""'vegetative'"", ""'growth'""), (""'early'"", ""'late'"")]"	0	
7	water potential mpa stem deficit supply midday predawn capacity dawn	2.4	1.6	3.0	1	'mpa'	2	"[(""'water'"", ""'supply'""), (""'potential'"", ""'capacity'"")]"	0	
8	block row plastic space split apart design spacing plot bed	2.4	2.2	2.8	1	'bed'	2	"[(""'space'"", ""'bed'""), (""'split'"", ""'design'"")]"	0	
9	salt saline seedling salinity germination tolerance tolerant quinoa nacl rootstock	3.0	1.8	3.0	0		3	"[(""'salt'"", ""'nacl'""), (""'saline'"", ""'nacl'""), (""'salinity'"", ""'nacl'"")]"	0	
10	annual reduction runoff decline decrease loss increase storage percent year	3.0	1.8	3.0	1	'storage'	3	"[(""'increase'"", ""'rise'""), (""'decrease'"", ""'fall'""), (""'reduction'"", ""'decrease'"")]"	0	
11	fraction amendment organic biochar clay material manure matter sorption compost	3.0	1.8	2.8	0		2	"[(""'compost'"", ""'manure'""), (""'organic'"", ""'biochar'"")]"	0	
12	soil capacity moisture site depth irrigate plot low non field	2.8	2.8	3.0	1	'non'	6	"[(""'soil'"", ""'field'""), (""'capacity'"", ""'capacity'""), (""'moisture'"", ""'moisture'""), (""'site'"", ""'site'""), (""'depth'"", ""'depth'""), (""'irrigate'"", ""'irrigate'"")]"	0	
13	fresh weight decrease sugar shoot leave soluble solid increase length	2.6	2.0	2.8	2	'shoot' 'leave'	2	"[(""'fresh'"", ""'leave'""), (""'sugar'"", ""'shoot'"")]"	0	
14	green source product waste industry material environment urban produce consumption	3.0	2.0	3.0	0		4	"[(""'green'"", ""'environment'""), (""'product'"", ""'material'""), (""'waste'"", ""'consumption'""), (""'industry'"", ""'produce'"")]"	0	
15	correlate relationship difference correlation number lai height matter index leaf	2.8	2.2	3.0	1	'lai'	1	"[(""'correlate'"", ""'correlation'"")]"	0	
16	drought recovery stress tolerance expression tolerant heat gene trait genotype	2.8	1.8	3.0	1	'expression'	2	"[(""'drought'"", ""'stress'""), (""'expression'"", ""'trait'"")]"	0	
17	local service scale ecosystem ecological relate community adaptation vulnerability landscape	2.6	2.2	3.0	0		2	"[(""'ecosystem'"", ""'ecological'""), (""'service'"", ""'community'"")]"	0	
18	operation maintenance power optimal tank operate pump rainwater generation canal	2.4	2.2	3.0	2	'rainwater' 'optimal'	2	"[(""'operation'"", ""'operate'""), (""'tank'"", ""'canal'"")]"	0	
19	shallow aquifer depletion suitability groundwater seawater origin rock isotopic recharge	2.8	2.4	2.8	0		3	"[(""'aquifer'"", ""'groundwater'""), (""'seawater'"", ""'groundwater'""), (""'recharge'"", ""'origin'"")]"	0	
20	high low produce solid level oil total value vegetable acid	2.4	2.0	2.6	1	'acid'	5	"[(""'high'"", ""'low'""), (""'solid'"", ""'solid'""), (""'level'"", ""'level'""), (""'oil'"", ""'oil'""), (""'vegetable'"", ""'vegetable'"")]"	0	
21	uptake total biomass estimate nutrient nitrogen dry matter efficiency base	2.6	1.8	3.0	0		2	"[(""'uptake'"", ""'dry'""), (""'total'"", ""'base'"")]"	0	
22	trend seasonal precipitation climatic pattern variability variation series vegetation cover	2.4	1.8	3.0	2	'cover' 'vegetation'	2	"[(""'seasonal'"", ""'variability'""), (""'vegetation'"", ""'cover'"")]"	0	
23	output price net percent return income benefit input hectare gross	3.0	2.2	2.8	0		2	"[(""'output'"", ""'income'""), (""'gross'"", ""'net'"")]"	0	
24	soybean yield corn sorghum cotton grain component gap location planting	3.0	1.6	3.0	0		7	"[(""'soybean'"", ""'soybean'""), (""'cotton'"", ""'cotton'""), (""'grain'"", ""'grain'""), (""'yield'"", ""'yield'""), (""'planting'"", ""'planting'""), (""'gap'"", ""'gap'""), (""'component'"", ""'"")]"	0	
25	old mixed trial fine sand grass location green grow sandy	2.4	2.0	2.8	0		7	"[(""'old'"", ""'old'""), (""'mixed'"", ""'mixed'""), (""'trial'"", ""'trial'""), (""'fine'"", ""'fine'""), (""'sand'"", ""'sand'""), (""'grass'"", ""'grass'""), (""'location'"", ""'location'"")]"	0	
26	regime different growth maize nitrogen uptake potato winter fertilization wheat	2.8	1.8	2.8	0		3	"[(""'maize'"", ""'wheat'""), (""'nitrogen'"", ""'fertilization'""), (""'potato'"", ""'winter'"")]"	0	
27	irrigation reduce leach source application fertilizer risk pesticide contamination drip	3.0	2.2	3.0	0		2	"[(""'irrigation'"", ""'application'""), (""'fertilizer'"", ""'drip'"")]"	0	
28	oxide emission methane ghg fertilization phosphorus ammonia greenhouse n₂o co₂	3.0	1.8	3.0	0		3	"[(""'oxide'"", ""'ammonia'""), (""'emission'"", ""'ghg'""), (""'greenhouse'"", ""'co2'"")]"	0	
29	lowland upland cultivation variety rice aerobic hybrid seeded sri flood	2.6	1.4	3.0	3	'aerobic' 'hybrid' 'seeded'	6	"[(""'lowland'"", ""'lowland'""), (""'upland'"", ""'upland'""), (""'cultivation'"", ""'cultivation'""), (""'variety'"", ""'variety'""), (""'rice'"", ""'rice'""), (""'aerobic'"", ""'aerobic'"")]"	0	
30	plan action transfer local program stakeholder knowledge science problem management	2.8	2.0	3.0	0		3	"[(""'plan'"", ""'program'""), (""'action'"", ""'management'""), (""'transfer'"", ""'knowledge'"")]"	0	
31	relative plant stress growth reduction uptake leaf biomass activity photosynthetic	2.8	2.2	3.0	0		7	"[(""'relative'"", ""'relative'""), (""'plant'"", ""'plant'""), (""'stress'"", ""'stress'""), (""'growth'"", ""'growth'""), (""'reduction'"", ""'reduction'""), (""'uptake'"", ""'uptake'""), (""'leaf'"", ""'leaf'"")]"	0	
32	exposure health risk human vegetable contaminate contamination cancer heavy safety	3.0	1.6	3.0	1	'vegetable'	6	"[(""'exposure'"", ""'contamination'""), (""'health'"", ""'safety'""), (""'contaminate'"", ""'contamination'""), (""'risk'"", ""'heavy'""), (""'human'"", ""'vegetable'""), (""'cancer'"", ""'risk'"")]"	0	
33	irrigation zone wet water dry depth season deep deficit root	2.8	1.8	3.0	0		3	"[(""'irrigation'"", ""'water'""), (""'zone'"", ""'root'""), (""'wet'"", ""'dry'"")]"	0	
34	deep transport table drainage recharge leach nitrate drain shallow no₃	2.8	1.8	2.6	1	'shallow'	3	"[(""'transport'"", ""'drainage'""), (""'drain'"", ""'drainage'""), (""'no₃'"", ""'nitrate'"")]"	1	'no₃'
35	level foliar decrease activity increase concentration low leave salinity application	2.6	1.8	2.6	1	'leave'	5	"[(""'level'"", ""'leave'""), (""'increase'"", ""'increase'""), (""'concentration'"", ""'concentration'""), (""'low'"", ""'low'""), (""'salinity'"", ""'salinity'"")]"	0	
36	wet summer end dry season rainy normal year monsoon rain	2.8	1.8	3.0	0		2	"[(""'wet'"", ""'rainy'""), (""'dry'"", ""'end'"")]"	0	
37	feddan clm hunan blackgram nmol soyabean prb cobs pfp lrwc	2.4	2.0	2.4	1	'nmol'	5	"[(""'feddan'"", ""'clm'""), (""'hunan'"", ""'prb'""), (""'blackgram'"", ""'soyabean'""), (""'nmol'"", ""'pfp'""), (""'cobs'"", ""'lrwc'"")]"	0	
38	band vegetation index spectral correlation ndvi red standard edge regression	2.4	2.2	3.0	2	'standard' 'regression'	3	"[(""'index'"", ""'standard'""), (""'spectral'"", ""'correlation'""), (""'band'"", ""'red'"")]"	0	
39	rotation residue corn winter maize soybean barley conventional cropping cover	2.6	1.8	3.0	2	'conventional' 'residue'	6	"[(""'rotation'"", ""'rotation'""), (""'residue'"", ""'residue'""), (""'corn'"", ""'corn'""), (""'winter'"", ""'winter'""), (""'maize'"", ""'maize'""), (""'soybean'"", ""'soybean'"")]"	0	
40	compound cell extract activity metabolite acid expression bacteria gene pathway	2.8	2.0	3.0	0		7	"[(""'metabolite'"", ""'metabolite'""), (""'gene'"", ""'gene'""), (""'activity'"", ""'activity'""), (""'expression'"", ""'expression'""), (""'cell'"", ""'cell'""), (""'bacteria'"", ""'bacteria'""), (""'acid'"", ""'ac"")]"	0	
41	sugar soluble phosphorus total potassium solid protein content carbon correlate	2.8	1.6	3.0	1	'correlate'	4	"[(""'sugar'"", ""'sugar'""), (""'phosphorus'"", ""'phosphorus'""), (""'potassium'"", ""'potassium'""), (""'protein'"", ""'protein'"")]"	0	
42	component principal type cluster analysis correlation dominant group variable pattern	3.0	2.4	3.0	0		3	"[(""'principal'"", ""'dominant'""), (""'type'"", ""'cluster'""), (""'analysis'"", ""'pattern'"")]"	0	
43	zone root uptake shoot plant growth tomato density rot length	2.8	2.4	3.0	0		7	"[(""'zone'"", ""'zone'""), (""'root'"", ""'root'""), (""'uptake'"", ""'uptake'""), (""'shoot'"", ""'shoot'""), (""'plant'"", ""'plant'""), (""'growth'"", ""'growth'""), (""'tomato'"", ""'tomato'"")]"	0	
44	heat flux thermal radiation air measurement chamber solar wind evaporation	2.6	2.0	3.0	0		2	"[(""'heat'"", ""'thermal'""), (""'radiation'"", ""'solar'"")]"	0	
45	record wue high return low maximum respectively net yield mm	2.2	2.4	2.6	2	'wue' 'mm'	2	"[(""'record'"", ""'yield'""), (""'high'"", ""'maximum'"")]"	2	'wue' 'mm'
46	summer temperature winter reduction decline precipitation scenario early rainfall late	2.8	1.6	3.0	0		2	"[(""'summer'"", ""'winter'""), (""'temperature'"", ""'precipitation'"")]"	0	
47	variable time function pressure point sensitivity test infiltration equation flow	3.0	1.8	3.0	0		4	"[(""'time'"", ""'point'""), (""'equation'"", ""'equation'""), (""'test'"", ""'test'""), (""'function'"", ""'function'"")]"	0	
48	spring line tolerant hybrid late early sorghum variety program durum	2.6	2.4	3.0	0		3	"[(""'spring'"", ""'early'""), (""'line'"", ""'late'""), (""'tolerant'"", ""'durum'"")]"	0	
49	square mean length range coefficient diameter depth zone volume error	2.8	2.4	3.0	1	'error'	2	"[(""'diameter'"", ""'length'""), (""'volume'"", ""'size'"")]"	0	
50	clm prb nts hunan nmol blackgram feddan ctw sst soyabean	2.2	2.8	2.2	0		6	"[(""'nmol'"", ""'nmol'""), (""'blackgram'"", ""'blackgram'""), (""'feddan'"", ""'feddan'""), (""'ctw'"", ""'ctw'""), (""'sst'"", ""'sst'""), (""'soyabean'"", ""'so"")]"	0	
51	detect count bacterial coli bacteria prevalence pathogen spp isolate detection	3.0	2.0	2.8	0		4	"[(""'detect'"", ""'detection'""), (""'bacterial'"", ""'bacteria'""), (""'spp'"", ""'isolate'""), (""'prevalence'"", ""'pathogen'"")]"	0	
52	electron photosynthetic transpiration co₂ net reduction stomatal conductance light quantum	3.0	1.8	3.0	0		5	"[(""'electron'"", ""'light'""), (""'photosynthetic'"", ""'light'""), (""'transpiration'"", ""'co₂'""), (""'net'"", ""'reduction'""), (""'stomatal'"", ""'conductance'"")]"	0	
53	water saline irrigate different irrigation deficit grow capacity regime control	2.8	1.8	2.8	0		2	"[(""'water'"", ""'saline'""), (""'irrigation'"", ""'irrigate'"")]"	0	
54	year harvest fertilizer fruit manure number application apply fertilization yield	3.0	1.6	3.0	1	'number'	7	"[(""'year'"", ""'year'""), (""'fertilizer'"", ""'fertilizer'""), (""'fruit'"", ""'fruit'""), (""'number'"", ""'number'""), (""'application'"", ""'application'""), (""'apply'"", ""'apply'""), (""'fertilization'"", ""'fertilization'"")]"	0	
55	effluent removal industrial sewage treat reuse municipal waste wastewater pollutant	3.0	1.8	3.0	0		4	"[(""'effluent'"", ""'wastewater'""), (""'industrial'"", ""'municipal'""), (""'removal'"", ""'treatment'""), (""'waste'"", ""'pollutant'"")]"	0	
56	zone area east district waterlogging shallow province salinization suitable command	2.2	1.8	2.8	2	'suitable' 'command'	3	"[(""'zone'"", ""'area'""), (""'waterlogging'"", ""'shallow'""), (""'salinization'"", ""'suitable'"")]"	0	
57	limit exceed standard arsenic heavy sample no₃ guideline dissolve range	2.4	2.4	2.6	2	'arsenic' 'sample'	2	"[(""'limit'"", ""'range'""), (""'standard'"", ""'guideline'"")]"	0	
58	species native fish landscape diversity specie bird abundance forest habitat	3.0	2.0	2.8	1	'specie'	1	"[(""'species'"", ""'specie'"")]"	0	
59	percentage ratio sar residual sodium salinity permeability suitable adsorption low	2.6	1.8	3.0	1	'suitable'	2	"[(""'sar'"", ""'salinity'""), (""'low'"", ""'low'"")]"	0	
60	layer soil microbial moisture soc density decrease increase organic carbon	3.0	1.6	3.0	0		3	"[(""'layer'"", ""'soc'""), (""'moisture'"", ""'density'""), (""'carbon'"", ""'organic'"")]"	0	
61	june october december march month february november august date july	3.0	2.4	3.0	1	'date'	6	"[(""'june'"", ""'june'""), (""'october'"", ""'october'""), (""'december'"", ""'december'""), (""'march'"", ""'march'""), (""'february'"", ""'february'""), (""'november'"", ""'november'"")]"	0	
62	adoption knowledge lack behavior benefit access information technology financial training	2.8	2.0	3.0	0		7	"[(""'adoption'"", ""'adoption'""), (""'knowledge'"", ""'knowledge'""), (""'lack'"", ""'lack'""), (""'behavior'"", ""'behavior'""), (""'benefit'"", ""'benefit'""), (""'access'"", ""'access'""), (""'information'"", ""'information'"")]"	0	
63	usda exp ars contribution res joint univ prb oklahoma clm	2.6	2.0	3.0	0		2	"[(""'ars'"", ""'clm'""), (""'exp'"", ""'res'"")]"	0	
64	requirement coefficient evapotranspiration crop actual kcb simulation estimate maize evaporation	2.4	2.2	2.8	1	'estimate'	2	"[(""'requirement'"", ""'actual'""), (""'evaporation'"", ""'evapotranspiration'"")]"	0	
65	non great low irrigated density area leaf tree high leave	2.2	1.8	2.6	2	'non' 'leave'	2	"[(""'non'"", ""'low'""), (""'high'"", ""'irrigated'"")]"	0	
66	irrigation interval apply deficit regime treatment stage frequency schedule day	2.8	2.2	3.0	0		2	"[(""'irrigation'"", ""'treatment'""), (""'stage'"", ""'day'"")]"	0	
67	demand supply water consumption allocation global resource scenario requirement footprint	3.0	2.2	3.0	0		3	"[(""'demand'"", ""'requirement'""), (""'supply'"", ""'allocation'""), (""'consumption'"", ""'footprint'"")]"	0	
68	variety non environment rice yield local drought factor base seed	2.6	1.8	2.8	0		2	"[(""'variety'"", ""'yield'""), (""'drought'"", ""'factor'"")]"	0	
69	olive orchard grape apple citrus orange pear young wine mango	2.6	2.0	3.0	2	'young' 'wine'	6	"[(""'grape'"", ""'grape'""), (""'apple'"", ""'apple'""), (""'orange'"", ""'orange'""), (""'pear'"", ""'pear'""), (""'citrus'"", ""'citrus'""), (""'mango'"", ""'mango'"")]"	0	
70	oil quality date harvest fruit component fiber seed tomato vegetative	2.6	2.2	3.0	1	'date'	5	"[(""'date'"", ""'date'""), (""'fruit'"", ""'fruit'""), (""'seed'"", ""'seed'""), (""'tomato'"", ""'tomato'""), (""'vegetative'"", ""'vegetative'"")]"	0	
71	pot medium substrate solution culture nutrient plant greenhouse container uptake	2.8	2.2	3.0	0		4	"[(""'pot'"", ""'container'""), (""'substrate'"", ""'solution'""), (""'nutrient'"", ""'uptake'""), (""'greenhouse'"", ""'plant'"")]"	0	
72	water ground quality standard source drinking fresh supply reclaimed lake	2.8	2.2	3.0	0		5	"[(""'water'"", ""'drinking'""), (""'source'"", ""'supply'""), (""'ground'"", ""'lake'""), (""'quality'"", ""'standard'""), (""'fresh'"", ""'reclaimed'"")]"	0	
73	apply recommend manure application urea nitrate ammonium fertilizer coat leach	3.0	2.2	3.0	2	'coat' 'leach'	5	"[(""'apply'"", ""'application'""), (""'manure'"", ""'fertilizer'""), (""'urea'"", ""'nitrate'""), (""'ammonium'"", ""'fertilizer'""), (""'nitrate'"", ""'ammonium'"")]"	0	
74	solution tissue calcium chloride aqueous ion leachate liquid form mass	2.2	1.4	3.0	0		1	"[(""'liquid'"", ""'leachate'"")]"	0	
75	genetic selection line group parent trait cluster marker association sequence	2.6	1.6	3.0	0		3	"[(""'genetic'"", ""'trait'""), (""'group'"", ""'cluster'""), (""'parent'"", ""'line'"")]"	0	
76	water deficit index indicator potential relationship factor relate quality requirement	2.6	1.8	3.0	0		2	"[(""'index'"", ""'indicator'""), (""'factor'"", ""'requirement'"")]"	0	
77	water scale resource supply local agricultural state demand management groundwater	3.0	2.4	3.0	2	'state' 'supply'	1	"[(""'water'"", ""'groundwater'"")]"	0	
78	increase application yield grain decrease number reduction wue straw uptake	2.2	2.0	2.8	2	'wue' 'straw'	4	"[(""'increase'"", ""'reduction'""), (""'number'"", ""'yield'""), (""'grain'"", ""'straw'""), (""'application'"", ""'uptake'"")]"	0	
79	irrigation scheme requirement efficiency supply allocation water canal optimal saving	2.6	2.2	3.0	0		4	"[(""'irrigation'"", ""'supply'""), (""'scheme'"", ""'allocation'""), (""'efficiency'"", ""'optimal'""), (""'water'"", ""'saving'"")]"	0	
80	disease pest incidence damage resistant insect spot resistance germination severity	3.0	2.2	3.0	0		4	"[(""'disease'"", ""'insect'""), (""'resistant'"", ""'resistance'""), (""'incidence'"", ""'damage'""), (""'severity'"", ""'spot'"")]"	0	
