ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	concentration control nutrient solution weed germination herbicide nacl spray foliar	3.0	1.2	2.4	2	'weed' 'herbicide'	3	"[(""'concentration'"", ""'solution'""), (""'weed'"", ""'herbicide'""), (""'spray'"", ""'foliar'"")]"	1	'weed'
1	area source variability runoff district sediment cultivate expansion cropland width	3.0	1.4	2.8	2	'cultivate' 'source'	2	[('area', 'district'), ('runoff', 'expansion')]	1	'variability'
2	irrigate wastewater treat effluent reuse sewage freshwater industrial reclaimed municipal	3.0	1.4	3.0	1	'freshwater'	5	"[(""'irrigate'"", ""'treat'""), (""'effluent'"", ""'wastewater'""), (""'sewage'"", ""'effluent'""), (""'sewage'"", ""'wastewater'""), (""'reclaimed'"", ""'treated'"")]"	1	'effluent'
3	land food risk vegetable metal country human health heavy contamination	2.8	2.0	2.2	1	'metal'	2	"[(""'vegetable'"", ""'food'""), (""'country'"", ""'land'"")]"	1	'metal'
4	root dry leaf fruit number weight leave matter shoot stem	3.0	1.0	2.2	2	'number' 'weight'	1	"[(""'leaf'"", ""'leave'"")]"	1	'leave'
5	site variation maximum relationship daily seasonal indicator age cucumber eto	2.2	2.6	2.0	2	'cucumber' 'eto'	1	"[(""'daily'"", ""'seasonal'"")]"	0	
6	stress content activity sugar moderate chlorophyll soluble approximately antioxidant enzyme	3.0	2.0	2.6	3	'sugar' 'chlorophyll' 'soluble'	1	"[(""'stress'"", ""'content'"")]"	2	'chlorophyll' 'soluble'
7	different analysis sample test component group sensitivity extraction cluster sampling	2.8	2.0	3.0	0		2	"[(""'sample'"", ""'sampling'""), (""'test'"", ""'analysis'"")]"	0	
8	water efficiency resource wue consumption depletion footprint right iwue allocate	3.0	1.2	2.0	2	'wue' 'iwue'	2	"[(""'wue'"", ""'iwue'""), (""'water'"", ""'resource'"")]"	2	'wue' 'iwue'
9	soil depth organic moisture layer profile conductivity infiltration fraction soc	3.0	1.0	3.0	1	'soc'	1	"[(""'organic'"", ""'soc'"")]"	1	'soc'
10	level non irrigated pattern cycle volume mass normal flush greece	1.8	2.2	2.0	1	'greece'	1	[('level', 'normal')]	1	'greece'
11	production region arid problem suitable climatic dryland hot salinization humid	3.0	1.4	2.6	1	'problem'	3	"[(""'production'"", ""'suitable'""), (""'arid'"", ""'dryland'""), (""'hot'"", ""'humid'"")]"	2	'climatic' 'salinization'
12	zone clay sandy loam sub sand lysimeter fine mixed kg⁻¹	3.0	2.0	2.2	1	'kg⁻¹'	5	"[(""'zone'"", ""'sub'""), (""'clay'"", ""'loam'""), (""'sandy'"", ""'sand'""), (""'fine'"", ""'kg⁻¹'""), (""'lysimeter'"", ""'zone'"")]"	1	'kg⁻¹'
13	respectively regime ha⁻¹ ecosystem saving gain mid million hectare ton	2.4	2.6	2.0	3	'respectively' 'mid' 'million'	2	"[(""'ton'"", ""'ton'""), (""'hectare'"", ""'hectare'"")]"	1	'ha⁻¹'
14	ratio benefit storage return operation sugarcane power pump generation punjab	3.0	2.0	2.2	2	'sugarcane' 'punjab'	0	[]	2	'punjab' 'sugarcane'
15	rate net structure transpiration hydraulic stomatal transport conductance photosynthetic regulation	3.0	1.4	3.0	3	'rate' 'net' 'regulation'	4	"[(""'rate'"", ""'conductance'""), (""'transpiration'"", ""'transport'""), (""'structure'"", ""'stomatal'""), (""'photosynthetic'"", ""'regulation'"")]"	2	'photosynthetic' 'regulation'
16	high low salinity record evaporation alfalfa class mixture turfgrass white	2.8	1.8	2.0	3	'high' 'low' 'white'	1	"[(""'high'"", ""'low'"")]"	3	'alfalfa' 'salinity' 'evaporation'
17	irrigation surface drip drainage saline canal deep subsurface shallow table	3.0	1.2	2.8	0		5	"[(""'irrigation'"", ""'drainage'""), (""'drip'"", ""'irrigation'""), (""'surface'"", ""'shallow'""), (""'subsurface'"", ""'deep'""), (""'canal'"", ""'drainage'"")]"	0	
18	average type biomass cover annual potato event fish pond movement	2.8	1.8	2.6	3	'type' 'event' 'movement'	4	"[(""'average'"", ""'annual'""), (""'pond'"", ""'cover'""), (""'type'"", ""'event'""), (""'fish'"", ""'biomass'"")]"	0	
19	increase decrease population decline habitat california stock incorporation agroecosystem fixation	3.0	1.6	2.0	3	'increase' 'decrease' 'fixation'	1	"[(""'(increase"", 'decline')]"	0	
20	quality loss information ground form suitability vineyard county fuel century	2.6	2.2	3.0	2	'vineyard' 'county'	2	"[(""'century'"", ""'ground'""), (""'fuel'"", ""'form'"")]"	0	
21	seed cotton planting date furrow mulch row interval fertigation week	3.0	1.6	2.2	3	'date' 'week' 'furrow'	5	"[(""'seed'"", ""'cotton'""), (""'planting'"", ""'fertigation'""), (""'mulch'"", ""'furrow'""), (""'row'"", ""'interval'""), (""'date'"", ""'week'"")]"	1	'fertigation'
22	application apply fertilizer plot design manure recommend mineral release block	2.8	1.2	2.6	1	'block'	3	"[(""'apply'"", ""'application'""), (""'fertilizer'"", ""'manure'""), (""'recommend'"", ""'release'"")]"	0	
23	crop research rainfall requirement winter month schedule optimum june supplemental	2.6	1.6	2.8	2	'research' 'schedule'	2	"[(""'crop'"", ""'research'""), (""'rainfall'"", ""'supplemental'"")]"	0	
24	grow season wet tillage summer spring conventional residue end rotation	3.0	1.6	2.4	0		2	"[(""'season'"", ""'season'""), (""'summer'"", ""'spring'"")]"	1	'conventional'
25	treatment cultivar acid oil protein sensor extract compound tuber sunflower	2.2	1.8	2.8	1	'sunflower'	2	"[(""'treatment'"", ""'extract'""), (""'cultivar'"", ""'tuber'"")]"	0	
26	reduce project sprinkler pressure single contribution intensity damage place peak	3.0	1.8	2.4	2	'sprinkler' 'place'	3	"[(""'project'"", ""'place'""), (""'pressure'"", ""'intensity'""), (""'reduce'"", ""'damage'"")]"	1	'sprinkler'
27	development farm local farming scheme product income household market sector	3.0	1.2	3.0	2	'household' 'product'	1	[('development', 'farm')]	1	'farm'
28	change groundwater climate river flow basin aquifer reservoir lake adaptation	3.0	1.6	3.0	2	'change' 'adaptation'	3	"[(""'groundwater'"", ""'aquifer'""), (""'river'"", ""'basin'""), (""'lake'"", ""'reservoir'"")]"	0	
29	potential time term scale energy available medium receive pot consume	2.8	1.8	2.8	1	'pot'	2	"[(""'potential'"", ""'pot'""), (""'time'"", ""'term'"")]"	1	'pot'
30	agricultural factor landscape wetland watershed tank guideline transformation section shape	3.0	1.4	2.8	4	'factor' 'guideline' 'shape' 'tank'	7	"[(""'agricultural'"", ""'landscape'""), (""'watershed'"", ""'watershed'""), (""'tank'"", ""'tank'""), (""'guideline'"", ""'guideline'""), (""'shape'"", ""'shape'""), (""'section'"", ""'section'""), (""'transformation'"", ""'transformation'"")]"	0	
31	value estimate range mean measurement coefficient correlation standard equation prediction	3.0	1.2	3.0	2	'estimate' 'prediction'	1	"[(""'mean'"", ""'average'"")]"	1	'equation'
32	drought environment salt variety genotype tolerance trait line resistance hybrid	3.0	1.4	3.0	0		5	"[(""'drought'"", ""'variety'""), (""'environment'"", ""'line'""), (""'salt'"", ""'trait'""), (""'tolerance'"", ""'resistance'""), (""'trait'"", ""'tolerance'"")]"	0	
33	temperature period relative precipitation canopy trend flux weather air heat	3.0	1.4	3.0	3	'trend' 'flux' 'canopy'	2	"[(""'temperature'"", ""'heat'""), (""'precipitation'"", ""'weather'"")]"	1	'canopy'
34	produce community disease detect microbial removal diversity bacteria lettuce pathogen	3.0	2.0	2.8	1	'lettuce'	2	"[(""'disease'"", ""'pathogen'""), (""'bacteria'"", ""'microbial'"")]"	1	'removal'
35	method variable size location set state forest like particle plantation	2.8	2.4	2.2	1	'particle'	4	"[(""'method'"", ""'size'""), (""'set'"", ""'set'""), (""'location'"", ""'state'""), (""'particle'"", ""'plantation'"")]"	0	
36	base datum index difference evapotranspiration spatial green vegetation network regression	3.0	1.4	2.4	0		4	"[(""'base'"", ""'index'""), (""'datum'"", ""'difference'""), (""'regression'"", ""'spatial'""), (""'green'"", ""'vegetation'"")]"	1	'evapotranspiration'
37	great parameter reduction distribution cost relate discharge waste initial catchment	3.0	2.2	2.4	2	'great' 'relate'	5	"[(""'great'"", ""'reduction'""), (""'cost'"", ""'waste'""), (""'initial'"", ""'parameter'""), (""'distribution'"", ""'catchment'""), (""'discharge'"", ""'waste'"")]"	0	
38	management farmer practice technology corn soybean conservation adoption bean knowledge	3.0	1.6	2.8	2	'farmer' 'bean'	0	[]	1	'bean'
39	growth deficit stage harvest early late vegetative flowering pre post	3.0	1.6	2.6	3	'deficit' 'pre' 'post'	3	"[(""'early'"", ""'late'""), (""'pre'"", ""'post'""), (""'vegetative'"", ""'flowering'"")]"	0	
40	density capacity reach forage rain feed retention erosion behavior proportion	2.8	2.2	2.8	0		1	"[(""'forage'"", ""'feed'"")]"	1	'forage'
41	year specie grass hydrological head slope legume grassland native perennial	3.0	1.4	2.2	2	'year' 'head'	3	"[(""'year'"", ""'year'""), (""'grass'"", ""'grassland'""), (""'head'"", ""'slope'"")]"	0	
42	field emission carbon greenhouse flood global paddy degree co₂ province	2.8	1.4	2.4	1	'flood'	4	"[(""'global'"", ""'greenhouse'""), (""'co₂'"", ""'carbon'""), (""'paddy'"", ""'flood'""), (""'degree'"", ""'field'"")]"	1	'co₂'
43	rice maize cropping cultivation rainfed lowland upland fallow cereal aerobic	3.0	1.0	3.0	1	'aerobic'	5	[('rice', 'maize'), ('cropping', 'cultivation'), ('rainfed', 'lowland'), ('upland', 'fallow'), ('cereal', 'aerobic')]	1	'aerobic'
44	plant uptake substrate tissue pepper symptom host strawberry micronutrient translocation	3.0	1.4	2.4	2	'pepper' 'strawberry'	4	"[(""'plant'"", ""'tissue'""), (""'uptake'"", ""'translocation'""), (""'substrate'"", ""'host'""), (""'pepper'"", ""'strawberry'"")]"	1	'uptake'
45	day input tomato limit percent recovery vine culture open output	2.6	2.2	2.6	3	'input' 'output' 'limit'	2	"[(""'input'"", ""'output'""), (""'recovery'"", ""'culture'"")]"	1	'tomato'
46	total nitrogen process chemical fertilization nitrate leach phosphorus sodium point	3.0	1.4	2.4	2	'total' 'point'	1	[('nitrogen', 'nitrate')]	0	
47	yield grain wheat sorghum correlate unit percentage straw barley gap	3.0	1.0	2.2	2	'yield' 'correlate'	6	"[(""'yield'"", ""'grain'""), (""'grain'"", ""'wheat'""), (""'grain'"", ""'sorghum'""), (""'grain'"", ""'barley'""), (""'grain'"", ""'straw'""), (""'unit'"", ""'percentage'"")]"	1	'correlate'
48	tree seedling orchard olive frequency old rootstock apple mature citrus	3.0	1.8	2.8	0		3	"[(""'tree'"", ""'seedling'""), (""'orchard'"", ""'olive'""), (""'rootstock'"", ""'apple'"")]"	1	'frequency'
49	model supply demand simulation scenario policy decision function optimal regional	3.0	1.2	3.0	4	'supply' 'demand' 'model' 'function'	4	"[(""'model'"", ""'simulation'""), (""'demand'"", ""'supply'""), (""'scenario'"", ""'decision'""), (""'optimal'"", ""'function'"")]"	0	
