ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	soil irrigation plant yield crop field growth irrigate drought application	3.0	2.0	3.0	0		2	"[(""'soil'"", ""'field'""), (""'irrigation'"", ""'irrigate'"")]"	0	
1	irrigation management river basin efficiency policy reservoir allocation project deficit	3.0	2.2	3.0	0		7	"[(""'irrigation'"", ""'management'""), (""'river'"", ""'basin'""), (""'project'"", ""'project'""), (""'efficiency'"", ""'efficiency'""), (""'policy'"", ""'policy'""), (""'reservoir'"", ""'reservoir'""), (""'allocation'"", ""'all"")]"	0	
2	rice paddy field lowland yield cultivation farmer crop irrigation fertilizer	3.0	2.2	3.0	0		2	"[(""'field'"", ""'crop'""), (""'fertilizer'"", ""'irrigation'"")]"	0	
3	salinity saline nacl salinization soil irrigation sodium groundwater chloride crop	2.6	1.6	2.8	0		4	"[(""'salinity'"", ""'salinization'""), (""'saline'"", ""'sodium'""), (""'nacl'"", ""'sodium'""), (""'chloride'"", ""'saline'"")]"	0	
4	farmer agricultural crop rural farming livelihood climate poverty country adaptation	3.0	1.8	3.0	0		6	"[(""'farmer'"", ""'farmer'""), (""'agricultural'"", ""'agriculture'""), (""'crop'"", ""'crop'""), (""'rural'"", ""'rural'""), (""'farming'"", ""'farming'""), (""'livelihood'"", ""'livelihood'"")]"	0	
5	model datum rmse yield policy regression estimate coefficient project prediction	2.6	2.0	3.0	1	'yield'	3	"[(""'datum'"", ""'data'""), (""'estimate'"", ""'prediction'""), (""'yield'"", ""'output'"")]"	0	
6	seed root plant genotype cultivar germination stem harvest length population	2.6	2.0	3.0	0		2	"[(""'seed'"", ""'germination'""), (""'root'"", ""'stem'"")]"	0	
7	microbial pathogen bacteria antibiotic salmonella rhizosphere fungicide coliform microorganism fungus	2.8	2.4	3.0	1	'fungicide'	3	"[(""'bacteria'"", ""'microorganism'""), (""'salmonella'"", ""'pathogen'""), (""'antibiotic'"", ""'fungicide'"")]"	0	
8	groundwater aquifer recharge basin region irrigation geochemical river alluvial arid	3.0	2.0	3.0	0		4	"[(""'groundwater'"", ""'water'""), (""'basin'"", ""'region'""), (""'irrigation'"", ""'water'""), (""'arid'"", ""'dry'"")]"	0	
9	herbicide pesticide pest insect insecticide application infestation spray crop weevil	3.0	2.0	3.0	0		3	"[(""'herbicide'"", ""'pesticide'""), (""'insect'"", ""'insecticide'""), (""'spray'"", ""'application'"")]"	0	
10	nitrate nitrogen fertilizer ammonium soil groundwater nitrification ammonia nh₃ irrigation	3.0	1.8	3.0	0		3	"[(""'nitrate'"", ""'nitrogen'""), (""'ammonium'"", ""'ammonia'""), (""'nh₃'"", ""'ammonia'"")]"	0	
11	wastewater sewage effluent contamination sludge contaminant irrigate irrigation pollutant disposal	3.0	1.8	3.0	0		2	"[(""'wastewater'"", ""'sewage'""), (""'contamination'"", ""'pollutant'"")]"	0	
12	wheat grain yield spike cultivar spring barley grow irrigation crop	3.0	2.4	3.0	0		3	"[(""'wheat'"", ""'barley'""), (""'grain'"", ""'crop'""), (""'spring'"", ""'grow'"")]"	0	
13	evapotranspiration evaporation estimate crop penman coefficient irrigation precipitation soil requirement	2.6	2.6	3.0	0		2	"[(""'evaporation'"", ""'evapotranspiration'""), (""'irrigation'"", ""'requirement'"")]"	0	
14	fruit apple weight harvest yield orchard irrigation ripen acidity plant	3.0	1.8	3.0	0		2	"[(""'fruit'"", ""'apple'""), (""'yield'"", ""'harvest'"")]"	0	
15	cotton lint seed irrigation plant fibre crop grow yarn cultivar	2.8	2.0	3.0	0		3	"[(""'cotton'"", ""'fibre'""), (""'plant'"", ""'crop'""), (""'seed'"", ""'seed'"")]"	0	
16	conductance photosynthetic chlorophyll fluorescence transpiration plant photochemical stomata drought photosystem	3.0	1.4	2.8	0		3	"[(""'photosynthesis'"", ""'photosynthetic'""), (""'chlorophyll'"", ""'photosystem'""), (""'fluorescence'"", ""'photosynthesis'"")]"	0	
17	temperature rainfall climate precipitation weather datum meteorological humidity region forecast	3.0	2.2	3.0	1	'datum'	3	"[(""'temperature'"", ""'climate'""), (""'rainfall'"", ""'precipitation'""), (""'humidity'"", ""'weather'"")]"	0	
18	maize corn yield wheat irrigation summer crop field soil plant	2.6	2.2	3.0	0		4	"[(""'maize'"", ""'corn'""), (""'yield'"", ""'crop'""), (""'irrigation'"", ""'field'""), (""'summer'"", ""'soil'"")]"	0	
19	lake wetland pond fishery habitat aquaculture ecosystem trout landscape freshwater	2.6	2.6	3.0	0		4	"[(""'lake'"", ""'pond'""), (""'wetland'"", ""'ecosystem'""), (""'fishery'"", ""'aquaculture'""), (""'trout'"", ""'freshwater'"")]"	0	
20	cadmium concentration wastewater copper soil contamination pollution zinc sewage metalloid	2.8	2.2	3.0	0		5	"[(""'cadmium'"", ""'copper'""), (""'zinc'"", ""'copper'""), (""'soil'"", ""'pollution'""), (""'pollution'"", ""'contamination'""), (""'wastewater'"", ""'sewage'"")]"	0	
21	tillage tiller conventional tillering plow soil crop chisel maize harrow	3.0	2.2	3.0	0		6	"[(""'tillage'"", ""'tilling'""), (""'tiller'"", ""'tiller'""), (""'conventional'"", ""'conventional'""), (""'tillering'"", ""'tillering'""), (""'plow'"", ""'plow'""), (""'soil'"", ""'soil'"")]"	0	
22	turfgrass bermudagrass ryegrass bentgrass perennial wheatgrass switchgrass cultivar pasture bromegrass	2.8	2.2	3.0	0		3	"[(""'turfgrass'"", ""'pasture'""), (""'ryegrass'"", ""'wheatgrass'""), (""'bermudagrass'"", ""'pasture'"")]"	0	
23	soil depth sample soc topsoil surface land horizon texture variability	3.0	2.4	3.0	0		2	"[(""'soil'"", ""'topsoil'""), (""'horizon'"", ""'surface'"")]"	0	
24	tomato pepper capsicum yield irrigation plant crop nutrient fertilizer hydroponic	2.6	2.2	3.0	0		7	"[(""'tomato'"", ""'tomato'""), (""'pepper'"", ""'pepper'""), (""'capsicum'"", ""'capsicum'""), (""'yield'"", ""'yield'""), (""'irrigation'"", ""'irrigation'""), (""'plant'"", ""'plant'""), (""'crop'"", ""'"")]"	0	
25	fertilizer fertilization fertigation application fertilize fertiliser nutrient yield irrigation soil	3.0	2.0	3.0	0		3	"[(""'fertilizer'"", ""'fertiliser'""), (""'fertilization'"", ""'fertilize'""), (""'irrigation'"", ""'fertigation'"")]"	0	
26	potato tuber yield russet irrigation cultivar crop planting fertilizer kufri	2.6	2.2	2.8	0		3	"[(""'potato'"", ""'tuber'""), (""'crop'"", ""'planting'""), (""'irrigation'"", ""'fertilizer'"")]"	0	
27	county sir snake aquifer zero program recharge salt salinity soil	2.2	2.0	2.8	1	'sir'	3	"[(""'county'"", ""'soil'""), (""'snake'"", ""'recharge'""), (""'zero'"", ""'salt'"")]"	0	
28	grape vineyard vine berry irrigation chardonnay ripen climate cultivar cluster	2.8	2.2	2.8	0		3	"[(""'grape'"", ""'berry'""), (""'vineyard'"", ""'vine'""), (""'chardonnay'"", ""'cultivar'"")]"	0	
29	moisture sensor soil measurement field capacity zone surface irrigation substrate	3.0	2.0	3.0	0		1	"[(""'soil'"", ""'substrate'"")]"	0	
30	co₂ emission ghg greenhouse n₂o soil increase footprint crop organic	3.0	2.0	2.8	0		6	"[(""'co₂'"", ""'co2'""), (""'n₂o'"", ""'n2o'""), (""'ghg'"", ""'ghg'""), (""'soil'"", ""'soil'""), (""'increase'"", ""'increase'""), (""'crop'"", ""'crop'"")]"	0	
31	olive oil orchard europaea cultivar wastewater irrigation grow barnea irrigate	2.8	1.8	2.6	0		3	"[(""'olive'"", ""'oil'""), (""'irrigation'"", ""'irrigate'""), (""'barnea'"", ""'europaea'"")]"	0	
32	pasture dairy grazing sheep livestock cattle feed beef farm herd	3.0	2.0	3.0	0		5	"[(""'pasture'"", ""'farm'""), (""'dairy'"", ""'livestock'""), (""'grazing'"", ""'feed'""), (""'sheep'"", ""'cattle'""), (""'beef'"", ""'herd'"")]"	0	
33	mulch mulching straw biodegradable polyethylene mulched irrigation maize crop cotton	2.6	2.0	2.6	1	'cotton'	2	"[(""'mulch'"", ""'mulched'""), (""'irrigation'"", ""'crop'"")]"	0	
34	arid region desert desertification resource climate agricultural irrigation landscape vegetation	3.0	2.0	3.0	0		3	"[(""'arid'"", ""'desert'""), (""'desert'"", ""'desertification'""), (""'vegetation'"", ""'landscape'"")]"	0	
35	drought genotype tolerance trait cultivar plant susceptible breeding crop specie	2.8	2.0	3.0	0		2	"[(""'cultivar'"", ""'variety'""), (""'specie'"", ""'species'"")]"	0	
36	hco₃ adsorption ratio carbonate conductivity groundwater permeability alkaline calcium chloride	2.8	2.2	3.0	0		3	"[(""'hco₃'"", ""'carbonate'""), (""'chloride'"", ""'alkaline'""), (""'carbonate'"", ""'carbonate'"")]"	0	
37	sugarcane yield crop officinarum cultivation juice irrigation plant cultivar jaggery	3.0	2.0	3.0	0		6	"[(""'sugarcane'"", ""'cane'""), (""'yield'"", ""'juice'""), (""'crop'"", ""'plant'""), (""'cultivation'"", ""'cultivar'""), (""'irrigation'"", ""'plant'""), (""'jaggery'"", ""'juice'"")]"	0	
38	canopy vegetation temperature ndvi reflectance infrared sensor cwsi solar resistance	2.6	2.2	3.0	2	'sensor' 'resistance'	4	"[(""'canopy'"", ""'vegetation'""), (""'temperature'"", ""'infrared'""), (""'solar'"", ""'reflectance'""), (""'sensor'"", ""'cwsi'"")]"	0	
39	drought agricultural vulnerability severity region meteorological hydrological rainfall spi adaptation	3.0	1.8	3.0	0		5	"[(""'drought'"", ""'drought'""), (""'region'"", ""'region'""), (""'severity'"", ""'severity'""), (""'rainfall'"", ""'rainfall'""), (""'adaptation'"", ""'adaptation'"")]"	0	
40	soybean glycine yield cultivar planting corn irrigation crop bean genotype	2.6	1.8	3.0	0		2	"[(""'soybean'"", ""'bean'""), (""'cultivar'"", ""'genotype'"")]"	0	
41	sorghum grain forage corn crop drought wheat maize soybean cultivar	2.8	2.0	3.0	0		1	"[(""'maize'"", ""'corn'"")]"	0	
42	arsenic selenium groundwater contamination selenite contaminated soil toxicity food cadmium	2.4	1.6	2.8	0		6	"[(""'arsenic'"", ""'arsenic'""), (""'selenium'"", ""'selenium'""), (""'groundwater'"", ""'groundwater'""), (""'contamination'"", ""'contamination'""), (""'selenite'"", ""'selenite'""), (""'contaminated'"", ""'contamin"")]"	0	
43	manure fertilizer poultry compost organic soil feedlot nutrient cow farm	3.0	2.2	3.0	1	'feedlot'	3	"[(""'manure'"", ""'compost'""), (""'fertilizer'"", ""'compost'""), (""'feedlot'"", ""'farm'"")]"	0	
44	leach leachate soil landfill fertilizer irrigation container solute decrease runoff	2.8	1.6	2.8	0		2	"[(""'leach'"", ""'leachate'""), (""'soil'"", ""'landfill'"")]"	0	
45	oil seed oleic linoleic palmitic lavender irrigation plant cultivar herbage	3.0	2.2	2.8	0		3	"[(""'oil'"", ""'oleic'""), (""'oil'"", ""'linoleic'""), (""'oil'"", ""'palmitic'"")]"	0	
46	biochar soil increase straw nutrient compost irrigation organic wastewater biomass	2.8	1.6	3.0	0		4	"[(""'biochar'"", ""'biomass'""), (""'soil'"", ""'organic'""), (""'irrigation'"", ""'water'""), (""'nutrient'"", ""'compost'"")]"	0	
47	phosphorus phosphate nitrogen phosphorous fertilizer superphosphate soil nutrient fertilization plant	2.8	1.6	2.8	0		2	"[(""'phosphorus'"", ""'phosphorous'""), (""'phosphate'"", ""'superphosphate'"")]"	0	
48	antioxidant peroxidase enzyme glutathione drought reductase ascorbic oxygen plant chlorophyll	2.8	2.2	3.0	2	'drought' 'chlorophyll'	3	"[(""'antioxidant'"", ""'peroxidase'""), (""'drought'"", ""'reductase'""), (""'chlorophyll'"", ""'oxygen'"")]"	0	
49	canal irrigation branch operation section controller downstream hydraulic design punjab	3.0	2.0	2.8	0		4	"[(""'canal'"", ""'section'""), (""'irrigation'"", ""'hydraulic'""), (""'branch'"", ""'section'""), (""'operation'"", ""'controller'"")]"	0	
50	alfalfa forage hay salinity harvest irrigation crop soil plant irrigated	3.0	2.2	3.0	0		2	"[(""'alfalfa'"", ""'hay'""), (""'irrigation'"", ""'irrigated'"")]"	0	
51	emitter clogging drip filter irrigation pipe trickle dripper hydraulic microirrigation	3.0	1.8	2.8	0		2	"[(""'emitter'"", ""'dripper'""), (""'drip'"", ""'trickle'"")]"	0	
52	clay sand silty soil texture content hyperthermic depth gravel medium	2.6	1.6	2.8	1	'hyperthermic'	2	"[(""'clay'"", ""'soil'""), (""'gravel'"", ""'medium'"")]"	0	
