ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	soil irrigation plant yield crop field growth irrigate drought application	3.0	2.0	3.0	1	'application'	1	"[(""'irrigation'"", ""'irrigate'"")]"	0	
1	irrigation management river basin efficiency policy reservoir allocation project deficit	3.0	2.6	3.0	2	'project' 'deficit'	7	"[(""'irrigation'"", ""'irrigation'""), (""'management'"", ""'management'""), (""'river'"", ""'river'""), (""'basin'"", ""'basin'""), (""'efficiency'"", ""'efficiency'""), (""'policy'"", ""'policy'""), (""'reservoir'"", ""'res"")]"	0	
2	rice paddy field lowland yield cultivation farmer crop irrigation fertilizer	3.0	2.0	3.0	0		1	"[(""'rice'"", ""'crop'"")]"	0	
3	salinity saline nacl salinization soil irrigation sodium groundwater chloride crop	3.0	2.0	3.0	0		3	"[(""'salinity'"", ""'saline'""), (""'nacl'"", ""'sodium'""), (""'nacl'"", ""'chloride'"")]"	0	
4	farmer agricultural crop rural farming livelihood climate poverty country adaptation	3.0	2.0	3.0	2	'country' 'adaptation'	2	"[(""'farmer'"", ""'farming'""), (""'crop'"", ""'agricultural'"")]"	0	
5	model datum rmse yield policy regression estimate coefficient project prediction	3.0	2.2	3.0	2	'policy' 'project'	7	"[(""'model'"", ""'model'""), (""'datum'"", ""'datum'""), (""'rmse'"", ""'rmse'""), (""'yield'"", ""'yield'""), (""'policy'"", ""'policy'""), (""'regression'"", ""'regression'""), (""'estimate'"", ""'estimate'"")]"	0	
6	seed root plant genotype cultivar germination stem harvest length population	3.0	2.0	3.0	2	'length' 'population'	2	"[(""'seed'"", ""'germination'""), (""'root'"", ""'stem'"")]"	0	
7	microbial pathogen bacteria antibiotic salmonella rhizosphere fungicide coliform microorganism fungus	3.0	2.0	3.0	2	'rhizosphere' 'fungicide'	1	"[(""'microbial'"", ""'microorganism'"")]"	0	
8	groundwater aquifer recharge basin region irrigation geochemical river alluvial arid	3.0	2.6	3.0	2	'geochemical' 'arid'	2	"[(""'groundwater'"", ""'aquifer'""), (""'basin'"", ""'alluvial'"")]"	0	
9	herbicide pesticide pest insect insecticide application infestation spray crop weevil	3.0	2.0	3.0	0		1	"[(""'pesticide'"", ""'insecticide'"")]"	0	
10	nitrate nitrogen fertilizer ammonium soil groundwater nitrification ammonia nh₃ irrigation	3.0	2.0	3.0	0		1	"[(""'ammonia'"", ""'nh₃'"")]"	0	
11	wastewater sewage effluent contamination sludge contaminant irrigate irrigation pollutant disposal	3.0	2.0	3.0	2	'irrigate' 'irrigation'	2	"[(""'wastewater'"", ""'effluent'""), (""'contaminant'"", ""'pollutant'"")]"	0	
12	wheat grain yield spike cultivar spring barley grow irrigation crop	3.0	2.0	3.0	2	'spike' 'spring'	4	"[(""'wheat'"", ""'grain'""), (""'wheat'"", ""'crop'""), (""'grain'"", ""'crop'""), (""'spring'"", ""'barley'"")]"	0	
