	model	number of topics	topic id	topic words	text id	paper id	text	labels	llm_model	llm_model	under_coverage_example	over_coverage_example	under_coverage	over_coverage
0	lda	50	0	concentration control nutrient solution weed germination herbicide nacl spray foliar	138593	40549	the result be as follow :	equations | water conservation | soil aggregates | air drying | alkaline soils | soil structure | maize | soil organic matter | particle size | straw | irrigation | organic matter	gemma-large	gemma-large	"['The document ""the result be as follow :"" is extremely sparse and doesn\'t contain enough information to identify distinct themes. It\'s purely a', ']\n\n**Explanation:**\n\nThe document ""the result be as follow :"" is extremely sparse and doesn\'t contain any concrete themes. It\'', 'The document ""the result be as follow :"" is extremely sparse and doesn\'t contain any explicit themes. It\'s essentially a lead-in', ']', 'The document ""the result be as follow :"" is extremely sparse and doesn\'t contain any explicit themes. It\'s purely a transitional phrase.']"	"['The document ""the result be as follow :"" is extremely short and lacks context.  It\'s impossible to definitively say which topics are *ir', 'Given the extremely short document ""the result be as follow :"", it\'s impossible to determine relevance without more context. However, assuming this is', '].\n\n**Reasoning:**\n\nThe phrase ""the result be as follow :"" is a very generic introductory phrase often preceding a list of findings,', 'Based on the document ""the result be as follow :"", it\'s extremely vague. However, it *implies* a presentation of findings,', 'The document ""the result be as follow :"" is extremely generic. Without more context, it\'s difficult to definitively say which words are *ir']"	1.0	2.5
1	lda	50	0	concentration control nutrient solution weed germination herbicide nacl spray foliar	287062	47616	experiment in control condition include treatment combination of experimental factor , with two intensity of sand burial , rhizobial inoculation and two type of NaCl treatment ( soil irrigation and foliar spray ) .	Anthyllis | biocenosis | biocoenosis | biomass | botany | chlorophylls | enzyme activity | irrigation | peroxidases | petioles | physiological response | salinity | sand | soil | symbiosis	gemma-large	gemma-large	"[""'sand burial',\n'rhizobial inoculation',\n'experimental factor',\n'treatment combination',\n'intensity',\n'soil"", ""'sand burial',\n'rhizobial inoculation',\n'experimental factor',\n'treatment combination',\n'intensity',\n'soil"", ""'sand burial',\n'rhizobial inoculation',\n'experimental factor',\n'treatment combination',\n'intensity',\n'soil"", ""'sand burial',\n'rhizobial inoculation',\n'experimental factor',\n'treatment combination',\n'intensity',\n'soil"", ""'sand burial',\n'rhizobial inoculation',\n'experimental factor',\n'treatment combination',\n'intensity',\n'soil""]"	"[""'concentration',\n'nutrient',\n'solution',\n'weed',\n'germination',\n'herbicide'\n]\n<end_of_turn>"", ""'concentration',\n'nutrient',\n'solution',\n'weed',\n'germination',\n'herbicide'\n]\n\n**"", ""'concentration',\n'nutrient',\n'solution',\n'weed',\n'germination',\n'herbicide'\n]\n<end_of_turn>"", ""'concentration',\n'nutrient',\n'solution',\n'weed',\n'germination',\n'herbicide'\n]\n<end_of_turn>"", ""'concentration',\n'nutrient',\n'solution',\n'weed',\n'germination',\n'herbicide'\n]\n\n**""]"	6.0	6.0
2	lda	50	0	concentration control nutrient solution weed germination herbicide nacl spray foliar	106831	12509	seepage loss from these unlined channel can be significantly alter relative to untreated control by manipulate the sediment particle size and concentration and pam concentration of irrigation water inflow .	irrigation canals | soil amendments | polyacrylamide | drainage water | clay | irrigation water	gemma-large	gemma-large	"[""'seepage',\n'sediment particle size',\n'irrigation water inflow',\n'channel'\n]"", ""'seepage',\n'sediment particle size',\n'manipulation'\n]"", ""'seepage',\n'sediment particle size',\n'manipulation',\n'irrigation',\n'channel'\n]\n<end_of_turn>"", ""'seepage',\n'sediment particle size',\n'manipulation',\n'irrigation water inflow',\n'channel'\n]"", ""'seepage',\n'sediment particle size',\n'irrigation',\n'channel',\n'manipulation'\n]\n<end_of_turn>""]"	"[""'nutrient',\n'weed',\n'germination',\n'herbicide',\n'nacl',\n'spray',\n'fol"", ""'nutrient',\n'weed',\n'germination',\n'herbicide',\n'nacl',\n'spray',\n'fol"", ""'nutrient',\n'weed',\n'germination',\n'herbicide',\n'nacl',\n'spray',\n'fol"", ""'nutrient',\n'weed',\n'germination',\n'herbicide',\n'nacl',\n'spray',\n'fol"", ""'nutrient',\n'weed',\n'germination',\n'herbicide',\n'nacl',\n'spray',\n'fol""]"	4.4	7.0
3	lda	50	0	concentration control nutrient solution weed germination herbicide nacl spray foliar	106406	31638	reduction in hydraulic conductivity from the control be determine as both observe and predict datum .	irrigation systems | models | planning | hydraulic conductivity | dispersions | sodium | swelling | water quality | electrolytes | guidelines | irrigation water	gemma-large	gemma-large	"[""'hydraulic conductivity'\n]"", ""'hydraulic conductivity'\n]"", ""'hydraulic conductivity'\n]"", ""'hydraulic conductivity'\n]"", ""'hydraulic conductivity'\n]""]"	"[""'concentration',\n'nutrient',\n'solution',\n'weed',\n'germination',\n'herbicide',\n'nacl"", ""'concentration',\n'nutrient',\n'solution',\n'weed',\n'germination',\n'herbicide',\n'nacl"", ""'concentration',\n'nutrient',\n'solution',\n'weed',\n'germination',\n'herbicide',\n'nacl"", ""'concentration',\n'nutrient',\n'solution',\n'weed',\n'germination',\n'herbicide',\n'nacl"", ""'concentration',\n'nutrient',\n'solution',\n'weed',\n'germination',\n'herbicide',\n'nacl""]"	1.0	7.0
4	lda	50	0	concentration control nutrient solution weed germination herbicide nacl spray foliar	20109	30066	result show that seed germination be not negatively affect by Al , but the germination rate decrease in both cultivar .	aluminium | roots | cultivars | irrigation water | proline | germination | vigour | vigor | seeds | Lactuca sativa | municipal wastewater | seed germination | aluminum | shoots | toxicity | seedlings | crop yield | irrigation rates | acid soils	gemma-large	gemma-large	"[""'aluminum toxicity'\n]"", ""'Aluminum toxicity'\n]"", ""'aluminum toxicity'\n]"", ""'aluminum toxicity'\n]"", ""'Aluminum toxicity'\n]\n\n**Explanation:**\n\n1. **Identify Themes in the Document:**\n   - The document discusses the effect of""]"	"[""'concentration',\n'control',\n'nutrient',\n'solution',\n'weed',\n'herbicide',\n'nacl',"", ""'concentration',\n'control',\n'nutrient',\n'solution',\n'weed',\n'herbicide',\n'nacl',"", ""'concentration',\n'control',\n'nutrient',\n'solution',\n'weed',\n'herbicide',\n'nacl',"", ""'concentration',\n'control',\n'nutrient',\n'solution',\n'weed',\n'herbicide',\n'nacl',"", ""'concentration',\n'control',\n'nutrient',\n'solution',\n'weed',\n'herbicide',\n'nacl',""]"	1.0	8.0
5	lda	50	1	area source variability runoff district sediment cultivate expansion cropland width	438338	41845	for this purpose , the target area be identify after the development of a land - use map for the basin .	irrigation systems | rapeseed | drought | risk | cost benefit analysis | ecosystems | lakes | land use | environment | soybeans | basins | watersheds | Iran (Islamic Republic of) | Carthamus tinctorius	gemma-large	gemma-large	"[""'purpose',\n'identify',\n'development',\n'land-use',\n'basin'\n]"", ""'purpose',\n'identify',\n'development',\n'land-use',\n'basin'\n]"", ""'purpose',\n'identify',\n'development',\n'land-use',\n'basin'\n]"", ""'purpose',\n'identify',\n'development',\n'land-use',\n'basin'\n]"", ""'purpose',\n'identify',\n'development',\n'land-use',\n'basin'\n]""]"	"[""'source',\n'variability',\n'runoff',\n'district',\n'sediment',\n'cultivate',\n'expansion"", ""'source',\n'variability',\n'runoff',\n'sediment',\n'cultivate',\n'expansion',\n'cro"", ""'source',\n'variability',\n'runoff',\n'district',\n'sediment',\n'cultivate',\n'expansion"", ""'source',\n'variability',\n'runoff',\n'sediment',\n'cultivate',\n'expansion',\n'cro"", ""'source',\n'variability',\n'runoff',\n'sediment',\n'cultivate',\n'expansion',\n'cro""]"	5.0	7.0
6	lda	50	1	area source variability runoff district sediment cultivate expansion cropland width	226728	29297	it be suggest that the chemical component of sediment and groundwater be mainly originate from source rock and seawater intrusion , with the minor impact of irrigation and industry .	iron | multivariate analysis | silicon | manganese | saltwater intrusion | strontium | irrigation | industry | neural networks | principal component analysis | calcium | sodium | aluminum | chlorides | potassium | silicones | groundwater | magnesium | watersheds	gemma-large	gemma-large	"[""'chemical component',\n'groundwater',\n'seawater intrusion',\n'irrigation',\n'industry'\n]\n<end_of_turn>"", ""'chemical component',\n'groundwater',\n'seawater intrusion',\n'irrigation',\n'industry'\n]\n<end_of_turn>"", ""'chemical component',\n'groundwater',\n'seawater intrusion',\n'irrigation',\n'industry'\n]\n<end_of_turn>"", ""'chemical component',\n'groundwater',\n'seawater intrusion',\n'irrigation',\n'industry'\n]\n<end_of_turn>"", ""'chemical component',\n'groundwater',\n'seawater intrusion',\n'irrigation',\n'industry'\n]\n<end_of_turn>""]"	"[""'area',\n'variability',\n'runoff',\n'district',\n'cultivate',\n'expansion',\n'cropland"", ""'area',\n'variability',\n'runoff',\n'district',\n'cultivate',\n'expansion',\n'cropland"", ""'area',\n'variability',\n'runoff',\n'district',\n'cultivate',\n'expansion',\n'cropland"", ""'area',\n'variability',\n'runoff',\n'district',\n'cultivate',\n'expansion',\n'cropland"", ""'area',\n'variability',\n'runoff',\n'district',\n'cultivate',\n'expansion',\n'cropland""]"	5.0	7.0
7	lda	50	1	area source variability runoff district sediment cultivate expansion cropland width	150472	47234	the Villavicencio region ( Colombia ) be an equatorial area where rainfall ( near mm / year ) and temperature ( average ° c ) be high .	Colombia | agricultural land | arable soils | climatic factors | ecosystems | environmental assessment | heavy metals | irrigated soils | irrigation | leaching | organic matter | public health | rain | river water | rivers | soil properties | temperature | toxicity | trace elements | wastes | wastewater irrigation | water pollution	gemma-large	gemma-large	"[""'climate',\n'geography'\n]"", ""'climate',\n'geography'\n]"", ""'climate',\n'geography'\n]"", ""'climate',\n'geography'\n]"", ""'climate',\n'geography'\n]""]"	"[""'source',\n'variability',\n'runoff',\n'sediment',\n'cultivate',\n'expansion',\n'cro"", ""'source',\n'variability',\n'runoff',\n'sediment',\n'cultivate',\n'expansion',\n'cro"", ""'source',\n'variability',\n'runoff',\n'sediment',\n'cultivate',\n'expansion',\n'cro"", ""'source',\n'variability',\n'runoff',\n'sediment',\n'cultivate',\n'expansion',\n'cro"", ""'source',\n'variability',\n'runoff',\n'sediment',\n'cultivate',\n'expansion',\n'cro""]"	2.0	7.0
8	lda	50	1	area source variability runoff district sediment cultivate expansion cropland width	105437	26336	specie composition and spatio - temporal abundance of Anopheles ( Diptera : Culicidae ) larvae and their relationship with environmental variable be study in an endemic malarious area of northwestern Argentina , where Anopheles pseudopunctipennis be the main vector involve in malaria transmission .	environmental factors | Argentina (fish) | irrigation canals | risk | longitudinal studies | ponds | species diversity | Argentina | spring | habitats | larvae | water temperature | malaria | control methods | autumn | regression analysis	gemma-large	gemma-large	"[""'species composition',\n'larvae',\n'malaria transmission',\n'vector'\n]"", ""'species composition',\n'abundance',\n'spatio-temporal',\n'malaria transmission',\n'vector'\n]\n<end_of_turn>"", ""'species composition',\n'larvae',\n'malaria transmission',\n'vector'\n]"", ""'species composition',\n'abundance',\n'spatio-temporal',\n'malaria transmission',\n'vector'\n]\n<end_of_turn>"", ""'species composition',\n'abundance',\n'spatio-temporal',\n'malaria transmission',\n'vector'\n]\n<end_of_turn>""]"	"[""'source',\n'variability',\n'runoff',\n'cultivate',\n'expansion',\n'cropland',\n'width"", ""'source',\n'variability',\n'runoff',\n'cultivate',\n'expansion',\n'cropland',\n'width"", ""'source',\n'variability',\n'runoff',\n'cultivate',\n'expansion',\n'cropland',\n'width"", ""'source',\n'variability',\n'runoff',\n'cultivate',\n'expansion',\n'cropland',\n'width"", ""'source',\n'variability',\n'runoff',\n'cultivate',\n'expansion',\n'cropland',\n'width""]"	4.6	7.0
9	lda	50	1	area source variability runoff district sediment cultivate expansion cropland width	170739	43036	in Europe , soybean still play a minor role and be cultivate mainly in the South and East .	rice | wheat | cotton | protein content | tofu | soybeans | soy protein | yield stability | proteins | cultivars | agronomy | irrigation | climate | temperature | Germany	gemma-large	gemma-large	"['\'geography\'\n]\n\n**Explanation:**\n\nThe document discusses the *geographic* location of soybean cultivation (""in Europe"", ""South and', ""'geography', \n'agricultural production'\n]"", ""'geography',\n'agricultural production'\n]\n\n**Explanation:**\n\nThe document discusses:\n\n*   **Geography:** Specifically, the"", '\'geography\'\n]\n\n**Explanation:**\n\nThe document discusses the *geographical* distribution of soybean cultivation (""in Europe"", ""South', ""'geography',\n'agricultural production'\n]""]"	"[""'area',\n'source',\n'variability',\n'runoff',\n'sediment',\n'district',\n'width'"", ""'area',\n'source',\n'variability',\n'runoff',\n'sediment',\n'district',\n'width'"", ""'area',\n'source',\n'variability',\n'runoff',\n'sediment',\n'district',\n'width'"", ""'area',\n'source',\n'variability',\n'runoff',\n'sediment',\n'district',\n'width'"", ""'area',\n'source',\n'variability',\n'runoff',\n'sediment',\n'district',\n'width'""]"	1.6	7.0
