ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	soil irrigation plant yield crop field growth irrigate drought application	3.0	2.0	3.0	0		1	"[(""'irrigation'"", ""'irrigate'"")]"	0	
1	irrigation management river basin efficiency policy reservoir allocation project deficit	3.0	2.0	3.0	1	'deficit'	0	[]	0	
2	rice paddy field lowland yield cultivation farmer crop irrigation fertilizer	3.0	2.0	3.0	2	'yield' 'cultivation'	0	[]	0	
3	salinity saline nacl salinization soil irrigation sodium groundwater chloride crop	3.0	1.8	3.0	1	'crop'	2	"[(""'salinity'"", ""'saline'""), (""'nacl'"", ""'chloride'"")]"	0	
4	farmer agricultural crop rural farming livelihood climate poverty country adaptation	3.0	2.0	3.0	1	'country'	3	"[(""'farmer'"", ""'farming'""), (""'agricultural'"", ""'crop'""), (""'rural'"", ""'country'"")]"	0	
5	model datum rmse yield policy regression estimate coefficient project prediction	3.0	2.8	3.0	2	'project' 'policy'	7	"[(""'model'"", ""'model'""), (""'datum'"", ""'datum'""), (""'rmse'"", ""'rmse'""), (""'yield'"", ""'yield'""), (""'policy'"", ""'policy'""), (""'regression'"", ""'regression'""), (""'estimate'"", ""'estimate'"")]"	0	
6	seed root plant genotype cultivar germination stem harvest length population	3.0	2.6	3.0	3	'genotype' 'cultivar' 'population'	0	[]	0	
7	microbial pathogen bacteria antibiotic salmonella rhizosphere fungicide coliform microorganism fungus	3.0	2.0	3.0	2	'rhizosphere' 'fungicide'	2	"[(""'microbial'"", ""'microorganism'""), (""'bacteria'"", ""'microorganism'"")]"	0	
8	groundwater aquifer recharge basin region irrigation geochemical river alluvial arid	3.0	2.0	3.0	2	'geochemical' 'arid'	0	[]	0	
9	herbicide pesticide pest insect insecticide application infestation spray crop weevil	3.0	2.0	3.0	1	'application'	2	"[(""'herbicide'"", ""'application'""), (""'insecticide'"", ""'pesticide'"")]"	0	
10	nitrate nitrogen fertilizer ammonium soil groundwater nitrification ammonia nh₃ irrigation	3.0	2.0	3.0	1	'groundwater'	1	"[(""'nitrate'"", ""'nh₃'"")]"	0	
11	wastewater sewage effluent contamination sludge contaminant irrigate irrigation pollutant disposal	3.0	2.0	3.0	2	'irrigate' 'irrigation'	4	"[(""'wastewater'"", ""'sewage'""), (""'effluent'"", ""'sewage'""), (""'contamination'"", ""'pollutant'""), (""'sludge'"", ""'contaminant'"")]"	0	
12	wheat grain yield spike cultivar spring barley grow irrigation crop	3.0	2.0	3.0	7	'spike' 'cultivar' 'spring' 'barley' 'grow' 'irrigation' 'crop'	0	[]	0	
13	evapotranspiration evaporation estimate crop penman coefficient irrigation precipitation soil requirement	3.0	2.0	3.0	0		1	"[(""'evapotranspiration'"", ""'evaporation'"")]"	0	
14	fruit apple weight harvest yield orchard irrigation ripen acidity plant	3.0	2.0	3.0	1	'acidity'	1	"[(""'fruit'"", ""'apple'"")]"	0	
15	cotton lint seed irrigation plant fibre crop grow yarn cultivar	3.0	2.0	3.0	1	'lint'	1	"[(""'cotton'"", ""'fibre'"")]"	0	
16	conductance photosynthetic chlorophyll fluorescence transpiration plant photochemical stomata drought photosystem	3.0	2.4	3.0	2	'conductance' 'drought'	0	[]	0	
17	temperature rainfall climate precipitation weather datum meteorological humidity region forecast	3.0	1.6	3.0	2	'datum' 'meteorological'	3	"[(""'temperature'"", ""'humidity'""), (""'rainfall'"", ""'precipitation'""), (""'climate'"", ""'weather'"")]"	2	'datum' 'meteorological'
18	maize corn yield wheat irrigation summer crop field soil plant	3.0	1.6	3.0	2	'yield' 'wheat'	1	"[(""'maize'"", ""'corn'"")]"	0	
19	lake wetland pond fishery habitat aquaculture ecosystem trout landscape freshwater	3.0	2.0	3.0	1	'landscape'	6	"[(""'lake'"", ""'pond'""), (""'lake'"", ""'wetland'""), (""'lake'"", ""'freshwater'""), (""'pond'"", ""'wetland'""), (""'pond'"", ""'freshwater'""), (""'wetland'"", ""'freshwater'"")]"	0	
20	cadmium concentration wastewater copper soil contamination pollution zinc sewage metalloid	3.0	2.0	3.0	1	'metalloid'	0	[]	0	
21	tillage tiller conventional tillering plow soil crop chisel maize harrow	3.0	2.0	3.0	2	'conventional' 'crop'	6	"[(""'tillage'"", ""'tillering'""), (""'tillage'"", ""'plow'""), (""'tillage'"", ""'chisel'""), (""'tiller'"", ""'tillering'""), (""'tiller'"", ""'plow'""), (""'tiller'"", ""'chisel'"")]"	0	
22	turfgrass bermudagrass ryegrass bentgrass perennial wheatgrass switchgrass cultivar pasture bromegrass	3.0	2.0	3.0	2	'perennial' 'cultivar'	5	"[(""'turfgrass'"", ""'bermudagrass'""), (""'turfgrass'"", ""'ryegrass'""), (""'turfgrass'"", ""'bentgrass'""), (""'turfgrass'"", ""'wheatgrass'""), (""'turfgrass'"", ""'switchgrass"")]"	0	
23	soil depth sample soc topsoil surface land horizon texture variability	3.0	2.0	3.0	1	'land'	2	"[(""'soil'"", ""'topsoil'""), (""'surface'"", ""'topsoil'"")]"	0	
