ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	nutrient solution nacl element rich boron strength synthetic closed hydroponic	3.0	2.0	3.0	0		3	"[(""'nutrient'"", ""'element'""), (""'solution'"", ""'synthetic'""), (""'hydroponic'"", ""'closed'"")]"	0	
1	concentration total fresh soluble solid ion exceed dissolve leachate dominant	3.0	2.0	3.0	2	'exceed' 'dominant'	3	"[(""'concentration'"", ""'total'""), (""'fresh'"", ""'soluble'""), (""'solid'"", ""'leachate'"")]"	0	
2	production gap begin coffee cranberry cocoa cacao constantly ouagadougou bog	2.0	2.0	2.0	5	'coffee' 'cranberry' 'cocoa' 'cacao' 'bog'	0	[]	0	
3	salt drainage leach subsurface tolerant drain humid migration ditch waterlogging	3.0	2.0	3.0	1	humid	3	"[(""'drain'"", ""'drain'""), (""'drain'"", ""'ditch'""), (""'drain'"", ""'waterlogging'"")]"	0	
4	root activity shoot length protein sugar gene antioxidant enzyme fiber	3.0	2.0	3.0	1	length	2	"[(""'root'"", ""'shoot'""), (""'protein'"", ""'enzyme'"")]"	0	
5	produce indicator like pathogen survival chain gradient virus reaction organism	2.0	2.0	3.0	2	'like' 'gradient'	2	"[(""'organism'"", ""'virus'""), (""'organism'"", ""'pathogen'"")]"	1	'indicator' - While a valid word
6	stress drought tolerance recovery compartment spi spei warning tam rewatere	2.0	2.0	3.0	3	spi spei tam	2	"[(""'stress'"", ""'tolerance'""), (""'spi'"", ""'spei'"")]"	4	'spi' 'spei' 'tam' 'rewatere'
7	sample mass standard material phase extraction sampling category liquid deviation	3.0	2.0	3.0	2	'category' 'deviation'	2	"[(""'sample'"", ""'sampling'""), (""'mass'"", ""'standard'"")]"	1	'deviation' - While a valid word
8	efficiency resource water freshwater vulnerability competition withdrawal usage charge externality	3.0	2.0	3.0	1	vulnerability	3	"[(""'resource'"", ""'usage'""), (""'water'"", ""'freshwater'""), (""'water'"", ""'withdrawal'"")]"	1	'charge' - While a common word
9	soil depth carbon layer profile microbial soc pool respiration amend	3.0	2.0	3.0	0		1	"[(""'soil'"", ""'layer'"")]"	0	
10	irrigated pattern approximately water article trap internet iot mound moth	2.0	2.0	2.8	1	'moth'	2	"[(""'water'"", ""'irrigation'""), (""'mound'"", ""'trap'"")]"	0	
11	region great arid suitable history mena sat volga campo karoo	2.0	2.0	3.0	3	'sat' 'volga' 'campo'	2	"[(""'mena'"", ""'region'""), (""'volga'"", ""'region'"")]"	0	
