LLM-based Metric	LLM	K	LDA-20NG	ProdLDA-20NG	CombineTM-20NG	BERTopic-20NG	LDA-AGRIS	ProdLDA-AGRIS	CombineTM-AGRIS	BERTopic-AGRIS	LDA-TWEETS_NYR	ProdLDA-TWEETS_NYR	CombineTM-TWEETS_NYR	BERTopic-TWEETS_NYR
L_rate	Gemma	50	2.752	2.532	2.848	2.927	2.98	2.94	2.94	3	2.604	2.552	2.748	2.673
L_rate	Gemma-large	50	2.84	2.456	2.844	2.942	2.98	2.92	2.92	3	2.68	2.52	2.72	2.558
L_rate	Llama	50	2.3	2.088	2.204	2.323	2.568	2.476	2.54	2.652	2.076	2.084	2.18	2.204
L_rate	Llama-large	50	2.976	2.52	2.868	2.969	2.98	2.94	2.94	3	2.868	2.656	2.788	2.542
L_rate	Mistral	50	2.792	2.564	2.796	2.904	2.904	2.904	2.88	2.931	2.768	2.64	2.768	2.758
L_rate	Mistral-large	50	2.856	2.504	2.72	2.931	2.948	2.908	2.928	2.969	2.656	2.344	2.728	2.504
L_rate	Qwen	50	2.996	2.264	2.756	2.992	2.924	2.868	2.96	3	2.668	2.48	2.716	2.619
L_rate	Qwen-large	50	2.984	2.32	2.912	3	2.98	2.94	2.96	3	2.912	2.688	2.872	2.681
L_rate	Gemma	100	2.84	2.664	2.768	2.935	2.864	2.95	2.948	3	2.666	2.398	2.62	2.532
L_rate	Gemma-large	100	2.85	2.602	2.75	2.941	2.846	2.942	2.94	3	2.618	2.466	2.61	2.507
L_rate	Llama	100	2.25	2.188	2.192	2.249	2.366	2.586	2.554	2.639	2.164	2.062	2.12	2.111
L_rate	Llama-large	100	2.964	2.698	2.808	2.937	2.91	2.95	2.95	3	2.856	2.628	2.778	2.58
L_rate	Mistral	100	2.83	2.676	2.776	2.865	2.83	2.916	2.904	2.92	2.748	2.672	2.714	2.668
L_rate	Mistral-large	100	2.816	2.596	2.732	2.869	2.802	2.944	2.934	2.976	2.656	2.372	2.564	2.425
L_rate	Qwen	100	2.884	2.588	2.662	2.953	2.882	2.902	2.93	2.989	2.722	2.424	2.596	2.604
L_rate	Qwen-large	100	2.986	2.692	2.786	2.982	2.94	2.928	2.966	3	2.88	2.71	2.804	2.634
L_nonword	Gemma	50	0.22	0.24	0.22	0.096	0.36	0.2	0.38	0.069	0.22	0.28	0.34	0.481
L_nonword	Gemma-large	50	0.26	0.3	0.2	0.192	0.04	0.02	0.18	0.103	0.36	0.38	0.18	0.211
L_nonword	Llama	50	1.06	2.14	1.34	0.962	0.78	0.74	1.14	1.052	1.04	1.22	1.16	1.635
L_nonword	Llama-large	50	0.9	2.9	1.22	0.942	0.76	0.78	0.98	0.724	0.9	1.02	1.16	1.5
L_nonword	Mistral	50	0	1.14	0.12	0	0.02	0.04	0.06	0.035	0.02	0.28	0.12	0.327
L_nonword	Mistral-large	50	0.26	2.22	0.62	0.211	0.2	0.28	0.34	0.121	0.6	1.18	0.6	1.442
L_nonword	Qwen	50	1.62	2.8	2.14	1.135	0.78	0.74	1.04	0.448	2.02	2.5	1.6	2.231
L_nonword	Qwen-large	50	0.16	1.1	0.62	0.096	0.18	0.26	0.36	0.052	0.46	0.92	0.52	1.192
L_nonword	Gemma	100	0.18	0.51	0.2	0.188	0.27	0.15	0.22	0.183	0.19	0.27	0.23	0.5
