ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	guitar everyday learn yes black school big sugar gym motto	2.4	2.0	3.0	1	'sugar'	1	"[(""'school'"", ""'motto'"")]"	0	
1	smoking gain waste fat ticket lose husband way newyearnewme cookie	2.2	2.0	2.8	1	'cookie'	3	"[(""'gain'"", ""'newyearnewme'""), (""'smoking'"", ""'husband'""), (""'way'"", ""'ticket'"")]"	0	
2	priority effort lose pound watch realistic moment reality super chicken	2.8	2.6	2.8	1	'chicken'	2	"[(""'pound'"", ""'super'""), (""'watch'"", ""'moment'"")]"	0	
3	party fail simply half track better york tall channel idk	2.4	2.0	2.8	1	'idk'	7	"[(""'party'"", ""'party'""), (""'fail'"", ""'fail'""), (""'simply'"", ""'simply'""), (""'half'"", ""'half'""), (""'track'"", ""'track'""), (""'better'"", ""'better'""), (""'york'"", ""'york'"")]"	0	
4	share star monday tone definitely come effect homeless learn shit	1.8	2.0	2.4	1	'shit'	2	"[(""'star'"", ""'come'""), (""'effect'"", ""'learn'"")]"	0	
5	fresh family oop spend eve calendar app yesterday healthy rockin	2.4	2.2	2.6	0		2	"[(""'fresh'"", ""'healthy'""), (""'rockin'"", ""'app'"")]"	0	
6	stuff pack dick buy adventure music haha attitude goal save	2.4	2.2	2.4	2	'haha' 'dick'	2	"[(""'attitude'"", ""'goal'""), (""'buy'"", ""'save'"")]"	0	
7	completely fake candy begin pop email trust battle deal emotion	2.4	2.2	3.0	1	'fake'	3	"[(""'completely'"", ""'trust'""), (""'battle'"", ""'deal'""), (""'pop'"", ""'emotion'"")]"	0	
8	travel fucking burn draw tattoo internship band course settle delete	2.4	2.0	2.6	1	'delete'	3	"[(""'travel'"", ""'travel'""), (""'band'"", ""'band'""), (""'course'"", ""'course'"")]"	0	
9	habit catch season home difference break wife sleep popular healthy	2.6	2.2	2.4	1	'wife'	2	"[(""'home'"", ""'home'""), (""'sleep'"", ""'sleep'"")]"	0	
10	chuck paper special lie state lmao watch dead blair netflix	2.2	2.4	2.6	2	'dead' 'lmao'	3	"[(""'chuck'"", ""'lmao'""), (""'paper'"", ""'special'""), (""'state'"", ""'blair'"")]"	0	
11	control water clothe box physically mentally res read baseball tough	2.6	2.4	2.6	2	'baseball' 'clothe'	3	"[(""'control'"", ""'baseball'""), (""'water'"", ""'physically'""), (""'clothe'"", ""'res'"")]"	0	
12	fast beat involve able truth advice winter instagram potato twitter	2.0	2.0	3.0	1	'potato'	3	"[(""'fast'"", ""'able'""), (""'involve'"", ""'able'""), (""'truth'"", ""'winter'"")]"	0	
13	mistake meet long accept fuck sorry passion great niggas release	1.6	2.2	2.8	1	'niggas'	3	"[(""'mistake'"", ""'fuck'""), (""'meet'"", ""'release'""), (""'long'"", ""'great'"")]"	1	'niggas'
14	house asshole mouth consider little today creative drop free heart	2.4	1.8	3.0	2	'asshole' 'drop'	1	"[(""'house'"", ""'home'"")]"	0	
