ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	action science national program department plan knowledge transfer state local	2.0	2.0	3.0	2	'program' 'plan'	0	[]	0	
1	actual series station fao meteorological classification weather eto aerial uav	3.0	2.6	3.0	1	'uav'	8	"[(""'actual'"", ""'actual'""), (""'series'"", ""'series'""), (""'station'"", ""'station'""), (""'fao'"", ""'fao'""), (""'meteorological'"", ""'meteorological'""), (""'classification'"", ""'classification'""), (""'weather'"", ""'weather'""), (""'eto'"", ""'"")]"	3	'fao' 'eto' 'uav'
2	square mean correlation coefficient relationship error deviation length correlate linear	3.0	2.2	3.0	1	'length'	0	[]	0	
3	expansion degradation cultivate cropland urban farmland arable land area forest	3.0	2.0	3.0	2	'degradation' 'expansion'	2	"[(""'farmland'"", ""'cropland'""), (""'arable'"", ""'farmland'"")]"	0	
4	feed import product milk export industry cultivation dairy fuel cycle	3.0	2.0	3.0	1	'cycle'	1	"[(""'feed'"", ""'fuel'"")]"	0	
5	conventional practice rice weed paddy pest cultivation pesticide field technology	3.0	2.0	3.0	2	'conventional' 'practice'	0	[]	0	
6	shallow seawater origin isotopic suitability dominant rock isotope district hard	1.8	2.8	3.0	4	'origin' 'isotopic' 'isotope' 'suitability'	1	"[(""'isotopic'"", ""'isotope'"")]"	0	
7	block receive herbicide spray emergence week pre split plot control	2.6	3.0	3.0	2	'split' 'plot'	0	[]	0	
8	cluster group principal structure component variance pattern analysis sampling type	3.0	2.4	3.0	2	'principal' 'type'	2	"[(""'cluster'"", ""'group'""), (""'structure'"", ""'component'"")]"	0	
9	rainfed lowland paddy trial upland university wet mixed irri institute	2.0	2.2	3.0	3	'trial' 'university' 'institute'	1	"[(""'rainfed'"", ""'irri'"")]"	1	'irri'
10	irrigation reduce drainage water practice saline efficiency management source loss	3.0	2.0	3.0	0		0	[]	0	
11	wue increase reduction straw yield maize efficiency corn grain reduce	3.0	2.0	2.2	1	'wue'	3	"[(""'increase'"", ""'yield'""), (""'corn'"", ""'maize'""), (""'reduction'"", ""'reduce'"")]"	1	'wue'
12	wetland delta fish watershed downstream nile dam restoration floodplain pond	3.0	2.0	3.0	2	'nile' 'dam'	0	[]	0	
13	prediction linear optimal simulation uncertainty fit optimization multi artificial machine	3.0	2.0	3.0	1	'optimal'	0	[]	0	
14	grape olive wine orchard drip sprinkler oil apple cherry tomato	2.0	2.0	3.0	2	'oil' 'tomato'	0	[]	2	'drip' 'sprinkler'
15	ips adi fdi accumulative lrwc soyabean sws prb bpm ventilate	1.0	3.0	2.4	8	adi fdi accumulative lrwc sws prb bpm ventilate	0	[]	4	'lrwc' 'prb' 'bpm' 'ventilate'
16	potato residue rotation soybean conventional corn alfalfa sorghum forage cotton	2.2	3.0	3.0	2	'residue' 'forage'	0	[]	0	
17	allocation supply demand right resource user water blue virtual trade	3.0	2.2	3.0	5	right user blue trade virtual	0	[]	3	'blue' 'virtual' 'trade'
18	respondent access village family market adoption member extension income education	2.6	2.8	3.0	2	'respondent' 'extension'	0	[]	0	
19	exposure health contaminate contamination industrial safety risk heavy reuse human	3.0	2.0	3.0	1	'reuse'	1	"[(""'contaminate'"", ""'contamination'"")]"	0	
20	usda exp ars joint fdi adi accumulative ips pfp apri	1.8	3.0	3.0	4	'exp' 'ips' 'pfp' 'apri'	0	[]	4	'exp' 'fdi' 'pfp' 'apri'
21	adi ips accumulative soyabean sws lrwc znso₄ ccs uncovered bpm	1.0	3.0	2.4	3	ips lrwc bpm	0	[]	3	'lrwc' 'znso₄' 'bpm'
22	profile layer soil moisture sodicity texture deep sodic sandy clay	3.0	2.0	3.0	0		1	"[(""'sodicity'"", ""'sodic'"")]"	0	
23	medium substrate pot culture solution greenhouse uptake hydroponic container tomato	3.0	2.0	3.0	10	'medium' 'substrate' 'pot' 'culture' 'solution' 'greenhouse' 'uptake' 'hydroponic' 'container' 'tomato'	2	"[(""'medium'"", ""'solution'""), (""'hydroponic'"", ""'solution'"")]"	0	
24	cell disease infection spot isolate agent host sequence wilt pest	3.0	2.0	3.0	2	'spot' 'wilt'	0	[]	4	'spot' 'isolate' 'wilt' 'pest'
25	fresh height number stem length weight diameter shoot leave mass	2.0	2.4	3.0	2	'height' 'diameter'	2	"[(""'length'"", ""'diameter'""), (""'mass'"", ""'weight'"")]"	6	'height' 'length' 'weight' 'diameter' 'shoot' 'leave'
26	water quality area low irrigate groundwater suitable high level table	2.8	2.2	3.0	1	'table'	1	"[(""'low'"", ""'level'"")]"	1	'table'
27	organic matter low microbial great carbon biomass high total concentration	3.0	2.0	3.0	4	'great' 'high' 'total' 'concentration'	0	[]	0	
28	zone capacity regime depth drip irrigation deep field wet moisture	3.0	2.0	3.0	2	'regime' 'field'	1	"[(""'depth'"", ""'deep'"")]"	0	
29	crop requirement scenario production regional scale decision climate pattern base	3.0	3.0	3.0	1	'base'	0	[]	0	
30	inhibitor nitrification phosphorus ammonia volatilization nh₃ denitrification oxide slurry coat	2.8	2.0	3.0	1	'coat'	1	"[(""'nh₃'"", ""'ammonia'"")]"	1	'nh₃'
31	irrigation level regime yield different stage application recommend apply drip	3.0	2.2	3.0	0		0	[]	0	
