model	number of topics	topic id	topic words	text id	paper id	text	labels
lda	50	0	concentration control nutrient solution weed germination herbicide nacl spray foliar	138593	40549	the result be as follow :	equations | water conservation | soil aggregates | air drying | alkaline soils | soil structure | maize | soil organic matter | particle size | straw | irrigation | organic matter
lda	50	0	concentration control nutrient solution weed germination herbicide nacl spray foliar	287062	47616	experiment in control condition include treatment combination of experimental factor , with two intensity of sand burial , rhizobial inoculation and two type of NaCl treatment ( soil irrigation and foliar spray ) .	Anthyllis | biocenosis | biocoenosis | biomass | botany | chlorophylls | enzyme activity | irrigation | peroxidases | petioles | physiological response | salinity | sand | soil | symbiosis
lda	50	0	concentration control nutrient solution weed germination herbicide nacl spray foliar	106831	12509	seepage loss from these unlined channel can be significantly alter relative to untreated control by manipulate the sediment particle size and concentration and pam concentration of irrigation water inflow .	irrigation canals | soil amendments | polyacrylamide | drainage water | clay | irrigation water
lda	50	0	concentration control nutrient solution weed germination herbicide nacl spray foliar	106406	31638	reduction in hydraulic conductivity from the control be determine as both observe and predict datum .	irrigation systems | models | planning | hydraulic conductivity | dispersions | sodium | swelling | water quality | electrolytes | guidelines | irrigation water
lda	50	0	concentration control nutrient solution weed germination herbicide nacl spray foliar	20109	30066	result show that seed germination be not negatively affect by Al , but the germination rate decrease in both cultivar .	aluminium | roots | cultivars | irrigation water | proline | germination | vigour | vigor | seeds | Lactuca sativa | municipal wastewater | seed germination | aluminum | shoots | toxicity | seedlings | crop yield | irrigation rates | acid soils
lda	50	1	area source variability runoff district sediment cultivate expansion cropland width	438338	41845	for this purpose , the target area be identify after the development of a land - use map for the basin .	irrigation systems | rapeseed | drought | risk | cost benefit analysis | ecosystems | lakes | land use | environment | soybeans | basins | watersheds | Iran (Islamic Republic of) | Carthamus tinctorius
lda	50	1	area source variability runoff district sediment cultivate expansion cropland width	226728	29297	it be suggest that the chemical component of sediment and groundwater be mainly originate from source rock and seawater intrusion , with the minor impact of irrigation and industry .	iron | multivariate analysis | silicon | manganese | saltwater intrusion | strontium | irrigation | industry | neural networks | principal component analysis | calcium | sodium | aluminum | chlorides | potassium | silicones | groundwater | magnesium | watersheds
lda	50	1	area source variability runoff district sediment cultivate expansion cropland width	150472	47234	the Villavicencio region ( Colombia ) be an equatorial area where rainfall ( near mm / year ) and temperature ( average ° c ) be high .	Colombia | agricultural land | arable soils | climatic factors | ecosystems | environmental assessment | heavy metals | irrigated soils | irrigation | leaching | organic matter | public health | rain | river water | rivers | soil properties | temperature | toxicity | trace elements | wastes | wastewater irrigation | water pollution
lda	50	1	area source variability runoff district sediment cultivate expansion cropland width	105437	26336	specie composition and spatio - temporal abundance of Anopheles ( Diptera : Culicidae ) larvae and their relationship with environmental variable be study in an endemic malarious area of northwestern Argentina , where Anopheles pseudopunctipennis be the main vector involve in malaria transmission .	environmental factors | Argentina (fish) | irrigation canals | risk | longitudinal studies | ponds | species diversity | Argentina | spring | habitats | larvae | water temperature | malaria | control methods | autumn | regression analysis
lda	50	1	area source variability runoff district sediment cultivate expansion cropland width	170739	43036	in Europe , soybean still play a minor role and be cultivate mainly in the South and East .	rice | wheat | cotton | protein content | tofu | soybeans | soy protein | yield stability | proteins | cultivars | agronomy | irrigation | climate | temperature | Germany
lda	50	2	irrigate wastewater treat effluent reuse sewage freshwater industrial reclaimed municipal	378501	6572	two representative freshwater fish specie , the bluegill sunfish ( Lepomis macrochirus ) and the channel catfish ( Ictalurus punctatus ) , and two representative freshwater shellfish species , a unionacean clam ( Elliptio complanata ) and the northern crayfish ( orconecte virilis ) , be expose separately to two application of [ , with d between the two dosing .	irrigation canals | glycerol | clams | Ictalurus punctatus | metabolism | Lepomis macrochirus | crayfish | shellfish | metabolites | irrigation water | freshwater
