	model	number of topics	topic id	topic words	text id	paper id	text	labels	llm_model	llm_model	under_coverage_example	over_coverage_example	under_coverage	over_coverage
0	lda	50	0	concentration control nutrient solution weed germination herbicide nacl spray foliar	138593	40549	the result be as follow :	equations | water conservation | soil aggregates | air drying | alkaline soils | soil structure | maize | soil organic matter | particle size | straw | irrigation | organic matter	llama	llama	[']', ']', ']', ']', ']']	"[""'germination' ]"", ']', ']', ""'concentration', 'spray', 'foliar', 'herbicide' ]"", ']']"	0.0	2.5
1	lda	50	0	concentration control nutrient solution weed germination herbicide nacl spray foliar	287062	47616	experiment in control condition include treatment combination of experimental factor , with two intensity of sand burial , rhizobial inoculation and two type of NaCl treatment ( soil irrigation and foliar spray ) .	Anthyllis | biocenosis | biocoenosis | biomass | botany | chlorophylls | enzyme activity | irrigation | peroxidases | petioles | physiological response | salinity | sand | soil | symbiosis	llama	llama	"[""'intensity', 'inoculation', 'combination', 'factor', 'experimental', 'condition', 'treatment', 'rhizobial"", ""'intensity', 'experimental' ]"", ""'intensity', 'inoculation', 'condition', 'combination', 'experimental', 'factor', 'burial', 'soil', '"", ""'experiment', 'condition', 'combination', 'factor', 'intensity', 'soil', 'irrigation', 'inoculation',"", ""'intensity', 'experimental', 'factor', 'condition', 'inoculation' ]""]"	"[""'concentration', 'weed', 'herbicide' ]"", ""'concentration', 'weed', 'herbicide' ]"", ""'concentration', 'weed', 'herbicide' ]"", ""'concentration', 'weed', 'herbicide' ]"", ""'concentration', 'weed', 'herbicide' ]""]"	6.6	3.0
2	lda	50	0	concentration control nutrient solution weed germination herbicide nacl spray foliar	106831	12509	seepage loss from these unlined channel can be significantly alter relative to untreated control by manipulate the sediment particle size and concentration and pam concentration of irrigation water inflow .	irrigation canals | soil amendments | polyacrylamide | drainage water | clay | irrigation water	llama	llama	"[""'seepage', 'manipulate', 'irrigation', 'sediment', 'pam'  ]"", ""'sediment', 'irrigation', 'water' ]"", ""'seepage', 'sediment', 'irrigation' ]"", ""'sediment', 'irrigation', 'pam' ]"", ""'sediment', 'particle' ]""]"	"[""'weed', 'herbicide', 'germination', 'foliar' ]"", ""'weed', 'herbicide', 'germination', 'foliar', 'spray' ]"", ""'weed', 'germination', 'herbicide', 'spray', 'foliar' ]"", ""'weed', 'herbicide', 'germination', 'spray', 'foliar' ]"", ""'weed', 'herbicide', 'germination', 'foliar', 'spray' ]""]"	3.2	4.8
3	lda	50	0	concentration control nutrient solution weed germination herbicide nacl spray foliar	106406	31638	reduction in hydraulic conductivity from the control be determine as both observe and predict datum .	irrigation systems | models | planning | hydraulic conductivity | dispersions | sodium | swelling | water quality | electrolytes | guidelines | irrigation water	llama	llama	"[""'reduction', 'hydraulic', 'datum', 'observe' ]"", ""'hydraulic', 'conductivity', 'determine', 'observe', 'predict' ]"", ""'hydraulic', 'conductivity', 'datum' ]"", ""'hydraulic', 'conductivity', 'datum', 'observe', 'predict' ]"", ""'hydraulic', 'conductivity', 'predict' ]""]"	"[""'concentration', 'nutrient', 'weed', 'herbicide', 'foliar' ]"", ""'concentration', 'nutrient', 'weed', 'germination', 'herbicide', 'spray', 'foliar' ]"", ""'concentration', 'solution', 'weed', 'germination', 'herbicide', 'foliar' ]"", ""'concentration', 'nutrient', 'weed', 'herbicide' ]"", ""'concentration', 'nutrient', 'weed', 'germination', 'herbicide' ]""]"	4.0	5.4
4	lda	50	0	concentration control nutrient solution weed germination herbicide nacl spray foliar	20109	30066	result show that seed germination be not negatively affect by Al , but the germination rate decrease in both cultivar .	aluminium | roots | cultivars | irrigation water | proline | germination | vigour | vigor | seeds | Lactuca sativa | municipal wastewater | seed germination | aluminum | shoots | toxicity | seedlings | crop yield | irrigation rates | acid soils	llama	llama	"[""'cultivar', 'al' ]"", ']', ']', ""'al', 'cultivar', 'decrease', 'e', 'not', 'rate', 'result', 'show', 'that' ]"", ""'seed', 'rate', 'cultivar', 'affect' ]""]"	"[""'concentration', 'control', 'weed', 'herbicide', 'spray', 'foliar' ]"", ""'weed', 'herbicide' ]"", ""'weed', 'herbicide' ]"", ""'concentration', 'weed', 'herbicide', 'spray', 'foliar' ]"", ""'weed', 'herbicide', 'foliar' ]""]"	5.0	3.6
5	lda	50	1	area source variability runoff district sediment cultivate expansion cropland width	438338	41845	for this purpose , the target area be identify after the development of a land - use map for the basin .	irrigation systems | rapeseed | drought | risk | cost benefit analysis | ecosystems | lakes | land use | environment | soybeans | basins | watersheds | Iran (Islamic Republic of) | Carthamus tinctorius	llama	llama	"[""'purpose', 'development', 'land-use' ]"", ""'development', 'land-use', 'map', 'basin' ]"", ""'development', 'land-use', 'purpose', 'basin' ]"", ""'purpose', 'development', 'map', 'basin' ]"", ""'purpose', 'land-use', 'basin', 'development' ]""]"	"[""'source', 'variability', 'sediment', 'cultivate', 'expansion', 'width' ]"", ""'source', 'variability', 'sediment', 'cultivate', 'expansion', 'width' ]"", ""'source', 'variability', 'sediment', 'cultivate', 'expansion', 'width' ]"", ""'source', 'variability', 'sediment', 'cultivate', 'expansion', 'width' ]"", ""'source', 'variability', 'sediment', 'cultivate', 'expansion', 'width' ]""]"	3.8	6.0
6	lda	50	1	area source variability runoff district sediment cultivate expansion cropland width	226728	29297	it be suggest that the chemical component of sediment and groundwater be mainly originate from source rock and seawater intrusion , with the minor impact of irrigation and industry .	iron | multivariate analysis | silicon | manganese | saltwater intrusion | strontium | irrigation | industry | neural networks | principal component analysis | calcium | sodium | aluminum | chlorides | potassium | silicones | groundwater | magnesium | watersheds	llama	llama	"[""'irrigation', 'industry', 'seawater intrusion' ]"", ""'variability', 'expansion', 'width' ]"", ""'variability', 'cropland', 'expansion' ]"", ""'variability', 'runoff', 'cropland' ]"", ""'irrigation', 'industry' ]""]"	"[""'variability', 'runoff', 'width', 'cultivate' ]"", ""'area', 'runoff', 'district', 'cultivate', 'expansion', 'width' ]"", ""'area', 'variability', 'runoff', 'district', 'cultivate', 'expansion', 'width' ]"", ""'area', 'variability', 'runoff', 'district', 'cultivate', 'expansion', 'width' ]"", ""'area', 'variability', 'runoff', 'district', 'cultivate', 'expansion', 'cropland', 'width'""]"	2.8	6.4
7	lda	50	1	area source variability runoff district sediment cultivate expansion cropland width	150472	47234	the Villavicencio region ( Colombia ) be an equatorial area where rainfall ( near mm / year ) and temperature ( average ° c ) be high .	Colombia | agricultural land | arable soils | climatic factors | ecosystems | environmental assessment | heavy metals | irrigated soils | irrigation | leaching | organic matter | public health | rain | river water | rivers | soil properties | temperature | toxicity | trace elements | wastes | wastewater irrigation | water pollution	llama	llama	"[""'equatorial', 'Colombia' ]"", ""'equatorial', 'Colombia' , 'rainfall', 'temperature' ]"", ""'variability', 'source', 'expansion', 'cropland', 'district' ]"", ""'equatorial', 'rainfall', 'temperature', 'high' ]"", ""'variability', 'expansion' ]""]"	"[""'source', 'variability', 'sediment', 'cultivate', 'expansion', 'width' ]"", ""'source', 'variability', 'runoff', 'sediment', 'cultivate', 'expansion', 'cropland', 'width"", ""'variability', 'runoff', 'sediment', 'cultivate', 'expansion', 'cropland', 'width' ]"", ""'source', 'variability', 'sediment', 'cultivate', 'expansion', 'width' ]"", ""'source', 'variability', 'runoff', 'sediment', 'cultivate', 'expansion', 'cropland', 'width""]"	3.4	7.0
8	lda	50	1	area source variability runoff district sediment cultivate expansion cropland width	105437	26336	specie composition and spatio - temporal abundance of Anopheles ( Diptera : Culicidae ) larvae and their relationship with environmental variable be study in an endemic malarious area of northwestern Argentina , where Anopheles pseudopunctipennis be the main vector involve in malaria transmission .	environmental factors | Argentina (fish) | irrigation canals | risk | longitudinal studies | ponds | species diversity | Argentina | spring | habitats | larvae | water temperature | malaria | control methods | autumn | regression analysis	llama	llama	"[""'spatio - temporal', 'environmental', 'vector', 'transmission', 'endemic', 'northwestern', 'Argentina', 'main"", ""'spatio - temporal', 'anopheles', 'diptera', 'culicidae', 'malaria', 'transmission', '"", ""'spatio', 'environmental', 'vector', 'transmission', 'malaria', 'composition', 'endemic', 'northwestern',"", ""'spatio - temporal', 'composition', 'environmental', 'endemic', 'transmission' ]"", ""'spatio', 'temporal', 'environmental', 'malaria', 'transmission', 'vector', 'endemic', 'northwestern""]"	"[""'source', 'sediment', 'cultivate', 'expansion', 'width' ]"", ""'source', 'variability', 'runoff', 'sediment', 'cultivate', 'expansion', 'cropland', 'width"", ""'source', 'runoff', 'sediment', 'cultivate', 'expansion', 'cropland', 'width' ]"", ""'cultivate', 'expansion', 'cropland', 'width' ]"", ""'source', 'runoff', 'sediment', 'cultivate', 'expansion', 'width' ]""]"	7.4	6.0
9	lda	50	1	area source variability runoff district sediment cultivate expansion cropland width	170739	43036	in Europe , soybean still play a minor role and be cultivate mainly in the South and East .	rice | wheat | cotton | protein content | tofu | soybeans | soy protein | yield stability | proteins | cultivars | agronomy | irrigation | climate | temperature | Germany	llama	llama	"[""'cultivate', 'expansion', 'cropland' ]"", ""'variability', 'runoff', 'sediment' ]"", ""'area', 'source', 'variability', 'runoff', 'district', 'sediment', 'expansion', 'cropland',"", ""'Europe' ,  'minor' ,  'South' ,  'East' ]"", ""'variability', 'expansion' ]""]"	"[""'source', 'variability', 'runoff', 'sediment', 'width' ]"", ""'area', 'source', 'variability', 'runoff', 'district', 'sediment', 'expansion', 'cropland',"", ""'area', 'source', 'variability', 'runoff', 'district', 'sediment', 'expansion', 'cropland',"", ""'area', 'source', 'variability', 'runoff', 'sediment', 'expansion', 'width' ]"", ""'area', 'source', 'variability', 'runoff', 'sediment', 'width', 'expansion' ]""]"	4.2	7.4
